Provinsi,Tahun,Jalur,Tahap,Sekolah,Jurusan,Indikator,Nilai Akhir
Lampung,2018,Reguler,-,SMAN 11 Bandar Lampung,IPA,Rata - Rata,525.2
Lampung,2018,Reguler,-,SMAN 11 Bandar Lampung,IPS,Terendah,522.5
Lampung,2018,Reguler,-,SMAN 11 Bandar Lampung,IPS,Tertinggi,615.0
Lampung,2018,Reguler,-,SMAN 11 Bandar Lampung,IPS,Rata - Rata,551.89
Lampung,2018,Reguler,-,SMAN 12 Bandar Lampung,IPA,Terendah,575.5
Lampung,2018,Reguler,-,SMAN 12 Bandar Lampung,IPA,Tertinggi,709.0
Lampung,2018,Reguler,-,SMAN 12 Bandar Lampung,IPA,Rata - Rata,616.64
Lampung,2018,Reguler,-,SMAN 12 Bandar Lampung,IPS,Terendah,532.0
Lampung,2018,Reguler,-,SMAN 12 Bandar Lampung,IPS,Tertinggi,675.0
Lampung,2018,Reguler,-,SMAN 12 Bandar Lampung,IPS,Rata - Rata,575.64
Lampung,2018,Reguler,-,SMAN 13 Bandar Lampung,IPA,Terendah,521.5
Lampung,2018,Reguler,-,SMAN 13 Bandar Lampung,IPA,Tertinggi,722.5
Lampung,2018,Reguler,-,SMAN 13 Bandar Lampung,IPA,Rata - Rata,573.85
Lampung,2018,Reguler,-,SMAN 13 Bandar Lampung,IPS,Terendah,526.5
Lampung,2018,Reguler,-,SMAN 13 Bandar Lampung,IPS,Tertinggi,659.0
Lampung,2018,Reguler,-,SMAN 13 Bandar Lampung,IPS,Rata - Rata,567.17
Lampung,2018,Reguler,-,SMAN 14 Bandar Lampung,IPA,Terendah,563.5
Lampung,2018,Reguler,-,SMAN 14 Bandar Lampung,IPA,Tertinggi,717.0
Lampung,2018,Reguler,-,SMAN 14 Bandar Lampung,IPA,Rata - Rata,610.57
Lampung,2018,Reguler,-,SMAN 14 Bandar Lampung,IPS,Terendah,534.0
Lampung,2018,Reguler,-,SMAN 14 Bandar Lampung,IPS,Tertinggi,712.0
Lampung,2018,Reguler,-,SMAN 14 Bandar Lampung,IPS,Rata - Rata,572.94
Lampung,2018,Reguler,-,SMAN 15 Bandar Lampung,IPA,Terendah,607.0
Lampung,2018,Reguler,-,SMAN 15 Bandar Lampung,IPA,Tertinggi,700.0
Lampung,2018,Reguler,-,SMAN 15 Bandar Lampung,IPA,Rata - Rata,640.53
Lampung,2018,Reguler,-,SMAN 15 Bandar Lampung,IPS,Terendah,581.5
Lampung,2018,Reguler,-,SMAN 15 Bandar Lampung,IPS,Tertinggi,676.5
Lampung,2018,Reguler,-,SMAN 15 Bandar Lampung,IPS,Rata - Rata,606.63
Lampung,2018,Reguler,-,SMAN 16 Bandar Lampung,IPA,Terendah,523.0
Lampung,2018,Reguler,-,SMAN 16 Bandar Lampung,IPA,Tertinggi,700.0
Lampung,2018,Reguler,-,SMAN 16 Bandar Lampung,IPA,Rata - Rata,584.89
Lampung,2018,Reguler,-,SMAN 16 Bandar Lampung,IPS,Terendah,543.5
Lampung,2018,Reguler,-,SMAN 16 Bandar Lampung,IPS,Tertinggi,683.5
Lampung,2018,Reguler,-,SMAN 16 Bandar Lampung,IPS,Rata - Rata,577.3
Lampung,2018,Reguler,-,SMAN 17 Bandar Lampung,IPA,Terendah,240.5
Lampung,2018,Reguler,-,SMAN 17 Bandar Lampung,IPA,Tertinggi,660.0
Lampung,2018,Reguler,-,SMAN 17 Bandar Lampung,IPA,Rata - Rata,514.98
Lampung,2018,Reguler,-,SMAN 17 Bandar Lampung,IPS,Terendah,366.5
Lampung,2018,Reguler,-,SMAN 17 Bandar Lampung,IPS,Tertinggi,611.5
Lampung,2018,Reguler,-,SMAN 17 Bandar Lampung,IPS,Rata - Rata,534.97
Lampung,2018,Reguler,-,SMAN 1 Metro,IPA,Terendah,638.5
Lampung,2018,Reguler,-,SMAN 1 Metro,IPA,Tertinggi,767.5
Lampung,2018,Reguler,-,SMAN 1 Metro,IPA,Rata - Rata,676.65
Lampung,2018,Reguler,-,SMAN 1 Metro,IPS,Terendah,623.5
Lampung,2018,Reguler,-,SMAN 1 Metro,IPS,Tertinggi,747.5
Lampung,2018,Reguler,-,SMAN 1 Metro,IPS,Rata - Rata,648.93
Lampung,2018,Reguler,-,SMAN 2 Metro,IPA,Terendah,513.5
Lampung,2018,Reguler,-,SMAN 2 Metro,IPA,Tertinggi,727.5
Lampung,2018,Reguler,-,SMAN 2 Metro,IPA,Rata - Rata,579.76
Lampung,2018,Reguler,-,SMAN 2 Metro,IPS,Terendah,426.0
Lampung,2018,Reguler,-,SMAN 2 Metro,IPS,Tertinggi,697.3
Lampung,2018,Reguler,-,SMAN 2 Metro,IPS,Rata - Rata,515.14
Lampung,2018,Reguler,-,SMAN 3 Metro,IPA,Terendah,591.5
Lampung,2018,Reguler,-,SMAN 3 Metro,IPA,Tertinggi,711.5
Lampung,2018,Reguler,-,SMAN 3 Metro,IPA,Rata - Rata,627.84
Lampung,2018,Reguler,-,SMAN 3 Metro,IPS,Terendah,558.0
Lampung,2018,Reguler,-,SMAN 3 Metro,IPS,Tertinggi,680.0
Lampung,2018,Reguler,-,SMAN 3 Metro,IPS,Rata - Rata,590.08
Lampung,2018,Reguler,-,SMAN 4 Metro,IPA,Terendah,557.0
Lampung,2018,Reguler,-,SMAN 4 Metro,IPA,Tertinggi,705.5
Lampung,2018,Reguler,-,SMAN 4 Metro,IPA,Rata - Rata,601.99
Lampung,2018,Reguler,-,SMAN 4 Metro,IPS,Terendah,518.5
Lampung,2018,Reguler,-,SMAN 4 Metro,IPS,Tertinggi,642.0
Lampung,2018,Reguler,-,SMAN 4 Metro,IPS,Rata - Rata,562.7
Lampung,2018,Reguler,-,SMAN 5 Metro,IPA,Terendah,565.0
Lampung,2018,Reguler,-,SMAN 5 Metro,IPA,Tertinggi,672.0
Lampung,2018,Reguler,-,SMAN 5 Metro,IPA,Rata - Rata,596.97
Lampung,2018,Reguler,-,SMAN 5 Metro,IPS,Terendah,520.0
Lampung,2018,Reguler,-,SMAN 5 Metro,IPS,Tertinggi,641.0
Lampung,2018,Reguler,-,SMAN 5 Metro,IPS,Rata - Rata,554.76
Lampung,2018,Reguler,-,SMAN 6 Metro,IPA,Terendah,240.5
Lampung,2018,Reguler,-,SMAN 6 Metro,IPA,Tertinggi,652.5
Lampung,2018,Reguler,-,SMAN 6 Metro,IPA,Rata - Rata,406.08
Lampung,2018,Reguler,-,SMAN 6 Metro,IPS,Terendah,228.5
Lampung,2018,Reguler,-,SMAN 6 Metro,IPS,Tertinggi,592.5
Lampung,2018,Reguler,-,SMAN 6 Metro,IPS,Rata - Rata,428.02
Lampung,2018,Reguler,-,SMAN 1 Kotabumi,IPA,Terendah,626.0
Lampung,2018,Reguler,-,SMAN 1 Kotabumi,IPA,Tertinggi,734.0
Lampung,2018,Reguler,-,SMAN 1 Kotabumi,IPA,Rata - Rata,665.2
Lampung,2018,Reguler,-,SMAN 1 Kotabumi,IPS,Terendah,620.0
Lampung,2018,Reguler,-,SMAN 1 Kotabumi,IPS,Tertinggi,714.5
Lampung,2018,Reguler,-,SMAN 1 Kotabumi,IPS,Rata - Rata,653.01
Lampung,2018,Reguler,-,SMAN 2 Kotabumi,IPA,Terendah,413.5
Lampung,2018,Reguler,-,SMAN 2 Kotabumi,IPA,Tertinggi,684.5
Lampung,2018,Reguler,-,SMAN 2 Kotabumi,IPA,Rata - Rata,525.42
Lampung,2018,Reguler,-,SMAN 2 Kotabumi,IPS,Terendah,430.0
Lampung,2018,Reguler,-,SMAN 2 Kotabumi,IPS,Tertinggi,626.0
Lampung,2018,Reguler,-,SMAN 2 Kotabumi,IPS,Rata - Rata,515.91
Lampung,2018,Reguler,-,SMAN 3 Kotabumi,IPA,Terendah,625.5
Lampung,2018,Reguler,-,SMAN 3 Kotabumi,IPA,Tertinggi,763.5
Lampung,2018,Reguler,-,SMAN 3 Kotabumi,IPA,Rata - Rata,678.22
Lampung,2018,Reguler,-,SMAN 3 Kotabumi,IPS,Terendah,508.0
Lampung,2018,Reguler,-,SMAN 3 Kotabumi,IPS,Tertinggi,718.0
Lampung,2018,Reguler,-,SMAN 3 Kotabumi,IPS,Rata - Rata,588.12
Lampung,2018,Reguler,-,SMAN 4 Kotabumi,IPA,Terendah,577.5
Lampung,2018,Reguler,-,SMAN 4 Kotabumi,IPA,Tertinggi,675.5
Lampung,2018,Reguler,-,SMAN 4 Kotabumi,IPA,Rata - Rata,604.57
Lampung,2018,Reguler,-,SMAN 4 Kotabumi,IPS,Terendah,559.0
Lampung,2018,Reguler,-,SMAN 4 Kotabumi,IPS,Tertinggi,755.0
Lampung,2018,Reguler,-,SMAN 4 Kotabumi,IPS,Rata - Rata,589.69
Lampung,2018,Reguler,-,SMAN 1 Abung Semuli,IPA,Terendah,398.0
Lampung,2018,Reguler,-,SMAN 1 Abung Semuli,IPA,Tertinggi,714.5
Lampung,2018,Reguler,-,SMAN 1 Abung Semuli,IPA,Rata - Rata,530.39
Lampung,2018,Reguler,-,SMAN 1 Abung Semuli,IPS,Terendah,502.5
Lampung,2018,Reguler,-,SMAN 1 Abung Semuli,IPS,Tertinggi,651.5
Lampung,2018,Reguler,-,SMAN 1 Abung Semuli,IPS,Rata - Rata,552.39
Lampung,2018,Reguler,-,SMAN 2 Abung Semuli,IPA,Terendah,346.0
Lampung,2018,Reguler,-,SMAN 2 Abung Semuli,IPA,Tertinggi,633.5
Lampung,2018,Reguler,-,SMAN 2 Abung Semuli,IPA,Rata - Rata,492.54
Lampung,2018,Reguler,-,SMAN 2 Abung Semuli,IPS,Terendah,424.5
Lampung,2018,Reguler,-,SMAN 2 Abung Semuli,IPS,Tertinggi,606.1
Lampung,2018,Reguler,-,SMAN 2 Abung Semuli,IPS,Rata - Rata,482.2
Lampung,2018,Reguler,-,SMAN 1 Abung Selatan,IPA,Terendah,290.5
Lampung,2018,Reguler,-,SMAN 1 Abung Selatan,IPA,Tertinggi,698.0
Lampung,2018,Reguler,-,SMAN 1 Abung Selatan,IPA,Rata - Rata,507.99
Lampung,2018,Reguler,-,SMAN 1 Abung Selatan,IPS,Terendah,439.0
Lampung,2018,Reguler,-,SMAN 1 Abung Selatan,IPS,Tertinggi,617.5
Lampung,2018,Reguler,-,SMAN 1 Abung Selatan,IPS,Rata - Rata,523.85
Lampung,2018,Reguler,-,SMAN 1 Bukit Kemuning,IPA,Terendah,546.5
Lampung,2018,Reguler,-,SMAN 1 Bukit Kemuning,IPA,Tertinggi,682.0
Lampung,2018,Reguler,-,SMAN 1 Bukit Kemuning,IPA,Rata - Rata,593.6
Lampung,2018,Reguler,-,SMAN 1 Bukit Kemuning,IPS,Terendah,546.5
Lampung,2018,Reguler,-,SMAN 1 Bukit Kemuning,IPS,Tertinggi,655.5
Lampung,2018,Reguler,-,SMAN 1 Bukit Kemuning,IPS,Rata - Rata,575.01
Lampung,2018,Reguler,-,SMAN 1 Abung Barat,IPA,Terendah,513.5
Lampung,2018,Reguler,-,SMAN 1 Abung Barat,IPA,Tertinggi,643.5
Lampung,2018,Reguler,-,SMAN 1 Abung Barat,IPA,Rata - Rata,555.27
Lampung,2018,Reguler,-,SMAN 1 Abung Barat,IPS,Terendah,321.5
Lampung,2018,Reguler,-,SMAN 1 Abung Barat,IPS,Tertinggi,578.5
Lampung,2018,Reguler,-,SMAN 1 Abung Barat,IPS,Rata - Rata,470.27
Lampung,2018,Reguler,-,SMAN 1 Abung Pekurun,IPA,Terendah,262.5
Lampung,2018,Reguler,-,SMAN 1 Abung Pekurun,IPA,Tertinggi,605.0
Lampung,2018,Reguler,-,SMAN 1 Abung Pekurun,IPA,Rata - Rata,392.08
Lampung,2018,Reguler,-,SMAN 1 Abung Pekurun,IPS,Terendah,248.0
Lampung,2018,Reguler,-,SMAN 1 Abung Pekurun,IPS,Tertinggi,601.5
Lampung,2018,Reguler,-,SMAN 1 Abung Pekurun,IPS,Rata - Rata,397.22
Lampung,2018,Reguler,-,SMAN 1 Tanjung Raja,IPA,Terendah,383.0
Lampung,2018,Reguler,-,SMAN 1 Tanjung Raja,IPA,Tertinggi,593.5
Lampung,2018,Reguler,-,SMAN 1 Tanjung Raja,IPA,Rata - Rata,463.41
Lampung,2018,Reguler,-,SMAN 1 Tanjung Raja,IPS,Terendah,301.5
Lampung,2018,Reguler,-,SMAN 1 Tanjung Raja,IPS,Tertinggi,563.0
Lampung,2018,Reguler,-,SMAN 1 Tanjung Raja,IPS,Rata - Rata,415.38
Lampung,2018,Reguler,-,SMAN 1 Abung Tinggi,IPA,Terendah,451.0
Lampung,2018,Reguler,-,SMAN 1 Abung Tinggi,IPA,Tertinggi,668.5
Lampung,2018,Reguler,-,SMAN 1 Abung Tinggi,IPA,Rata - Rata,541.27
Lampung,2018,Reguler,-,SMAN 1 Abung Tinggi,IPS,Terendah,487.5
Lampung,2018,Reguler,-,SMAN 1 Abung Tinggi,IPS,Tertinggi,626.0
Lampung,2018,Reguler,-,SMAN 1 Abung Tinggi,IPS,Rata - Rata,532.15
Lampung,2018,Reguler,-,SMAN 2 Tanjung Raja,IPA,Terendah,242.0
Lampung,2018,Reguler,-,SMAN 2 Tanjung Raja,IPA,Tertinggi,632.0
Lampung,2018,Reguler,-,SMAN 2 Tanjung Raja,IPA,Rata - Rata,498.41
Lampung,2018,Reguler,-,SMAN 2 Tanjung Raja,IPS,Terendah,267.0
Lampung,2018,Reguler,-,SMAN 2 Tanjung Raja,IPS,Tertinggi,613.0
Lampung,2018,Reguler,-,SMAN 2 Tanjung Raja,IPS,Rata - Rata,498.23
Lampung,2018,Reguler,-,SMAN 1 Sungkai Utara,IPA,Terendah,481.0
Lampung,2018,Reguler,-,SMAN 1 Sungkai Utara,IPA,Tertinggi,671.5
Lampung,2018,Reguler,-,SMAN 1 Sungkai Utara,IPA,Rata - Rata,549.89
Lampung,2018,Reguler,-,SMAN 1 Sungkai Utara,IPS,Terendah,450.0
Lampung,2018,Reguler,-,SMAN 1 Sungkai Utara,IPS,Tertinggi,616.5
Lampung,2018,Reguler,-,SMAN 1 Sungkai Utara,IPS,Rata - Rata,517.27
Lampung,2018,Reguler,-,SMAN 1 Sungkai Selatan,IPA,Terendah,296.0
Lampung,2018,Reguler,-,SMAN 1 Sungkai Selatan,IPA,Tertinggi,568.5
Lampung,2018,Reguler,-,SMAN 1 Sungkai Selatan,IPA,Rata - Rata,434.09
Lampung,2018,Reguler,-,SMAN 1 Sungkai Selatan,IPS,Terendah,256.0
Lampung,2018,Reguler,-,SMAN 1 Sungkai Selatan,IPS,Tertinggi,563.5
Lampung,2018,Reguler,-,SMAN 1 Sungkai Selatan,IPS,Rata - Rata,369.07
Lampung,2018,Reguler,-,SMAN 1 Abung Timur,IPA,Terendah,119.0
Lampung,2018,Reguler,-,SMAN 1 Abung Timur,IPA,Tertinggi,613.0
Lampung,2018,Reguler,-,SMAN 1 Abung Timur,IPA,Rata - Rata,347.41
Lampung,2018,Reguler,-,SMAN 1 Abung Timur,IPS,Terendah,134.0
Lampung,2018,Reguler,-,SMAN 1 Abung Timur,IPS,Tertinggi,635.0
Lampung,2018,Reguler,-,SMAN 1 Abung Timur,IPS,Rata - Rata,345.07
Lampung,2018,Reguler,-,SMAN 1 Sungkai Barat,IPA,Terendah,255.5
Lampung,2018,Reguler,-,SMAN 1 Sungkai Barat,IPA,Tertinggi,466.5
Lampung,2018,Reguler,-,SMAN 1 Sungkai Barat,IPA,Rata - Rata,294.66
Lampung,2018,Reguler,-,SMAN 1 Sungkai Barat,IPS,Terendah,246.5
Lampung,2018,Reguler,-,SMAN 1 Sungkai Barat,IPS,Tertinggi,321.5
Lampung,2018,Reguler,-,SMAN 1 Sungkai Barat,IPS,Rata - Rata,266.05
Lampung,2018,Reguler,-,SMAN SUNGKAI Jaya,IPA,Terendah,264.0
Lampung,2018,Reguler,-,SMAN SUNGKAI Jaya,IPA,Tertinggi,559.5
Lampung,2018,Reguler,-,SMAN SUNGKAI Jaya,IPA,Rata - Rata,445.14
Lampung,2018,Reguler,-,SMAN SUNGKAI Jaya,IPS,Terendah,237.0
Lampung,2018,Reguler,-,SMAN SUNGKAI Jaya,IPS,Tertinggi,577.0
Lampung,2018,Reguler,-,SMAN SUNGKAI Jaya,IPS,Rata - Rata,446.71
Lampung,2018,Reguler,-,SMAN BHAKTI Mulya Bunga Mayang,IPA,Terendah,524.5
Lampung,2018,Reguler,-,SMAN BHAKTI Mulya Bunga Mayang,IPA,Tertinggi,607.0
Lampung,2018,Reguler,-,SMAN BHAKTI Mulya Bunga Mayang,IPA,Rata - Rata,567.82
Lampung,2018,Reguler,-,SMAN BHAKTI Mulya Bunga Mayang,IPS,Terendah,502.5
Lampung,2018,Reguler,-,SMAN BHAKTI Mulya Bunga Mayang,IPS,Tertinggi,602.0
Lampung,2018,Reguler,-,SMAN BHAKTI Mulya Bunga Mayang,IPS,Rata - Rata,550.53
Lampung,2018,Reguler,-,SMAN 1 Abung Tengah,IPA,Terendah,465.5
Lampung,2018,Reguler,-,SMAN 1 Abung Tengah,IPA,Tertinggi,630.5
Lampung,2018,Reguler,-,SMAN 1 Abung Tengah,IPA,Rata - Rata,519.32
Lampung,2018,Reguler,-,SMAN 1 Abung Tengah,IPS,Terendah,514.0
Lampung,2018,Reguler,-,SMAN 1 Abung Tengah,IPS,Tertinggi,630.5
Lampung,2018,Reguler,-,SMAN 1 Abung Tengah,IPS,Rata - Rata,551.91
Lampung,2018,Reguler,-,SMAN 1 Abung Kunang,IPA,Terendah,512.0
Lampung,2018,Reguler,-,SMAN 1 Abung Kunang,IPA,Tertinggi,608.5
Lampung,2018,Reguler,-,SMAN 1 Abung Kunang,IPA,Rata - Rata,552.3
Lampung,2018,Reguler,-,SMAN 1 Abung Kunang,IPS,Terendah,444.0
Lampung,2018,Reguler,-,SMAN 1 Abung Kunang,IPS,Tertinggi,584.0
Lampung,2018,Reguler,-,SMAN 1 Abung Kunang,IPS,Rata - Rata,503.64
Lampung,2018,Reguler,-,SMAN 1 Gadingrejo,IPA,Terendah,282.5
Lampung,2018,Reguler,-,SMAN 1 Gadingrejo,IPA,Tertinggi,701.5
Lampung,2018,Reguler,-,SMAN 1 Gadingrejo,IPA,Rata - Rata,525.84
Lampung,2018,Reguler,-,SMAN 1 Gadingrejo,IPS,Terendah,485.0
Lampung,2018,Reguler,-,SMAN 1 Gadingrejo,IPS,Tertinggi,653.0
Lampung,2018,Reguler,-,SMAN 1 Gadingrejo,IPS,Rata - Rata,556.77
Lampung,2018,Reguler,-,SMAN 1  Pringsewu,IPA,Terendah,558.0
Lampung,2018,Reguler,-,SMAN 1  Pringsewu,IPA,Tertinggi,744.5
Lampung,2018,Reguler,-,SMAN 1  Pringsewu,IPA,Rata - Rata,626.53
Lampung,2018,Reguler,-,SMAN 1  Pringsewu,IPS,Terendah,576.0
Lampung,2018,Reguler,-,SMAN 1  Pringsewu,IPS,Tertinggi,737.5
Lampung,2018,Reguler,-,SMAN 1  Pringsewu,IPS,Rata - Rata,616.01
Lampung,2018,Reguler,-,SMAN 2 Pringsewu,IPA,Terendah,286.0
Lampung,2018,Reguler,-,SMAN 2 Pringsewu,IPA,Tertinggi,717.5
Lampung,2018,Reguler,-,SMAN 2 Pringsewu,IPA,Rata - Rata,522.42
Lampung,2018,Reguler,-,SMAN 2 Pringsewu,IPS,Terendah,418.5
Lampung,2018,Reguler,-,SMAN 2 Pringsewu,IPS,Tertinggi,637.5
Lampung,2018,Reguler,-,SMAN 2 Pringsewu,IPS,Rata - Rata,525.68
Lampung,2018,Reguler,-,SMAN 1 Banyumas,IPA,Terendah,458.0
Lampung,2018,Reguler,-,SMAN 1 Banyumas,IPA,Tertinggi,602.5
Lampung,2018,Reguler,-,SMAN 1 Banyumas,IPA,Rata - Rata,525.38
Lampung,2018,Reguler,-,SMAN 1 Banyumas,IPS,Terendah,347.0
Lampung,2018,Reguler,-,SMAN 1 Banyumas,IPS,Tertinggi,583.0
Lampung,2018,Reguler,-,SMAN 1 Banyumas,IPS,Rata - Rata,493.4
Lampung,2018,Reguler,-,SMAN 1 Pagelaran,IPA,Terendah,187.5
Lampung,2018,Reguler,-,SMAN 1 Pagelaran,IPA,Tertinggi,713.5
Lampung,2018,Reguler,-,SMAN 1 Pagelaran,IPA,Rata - Rata,477.05
Lampung,2018,Reguler,-,SMAN 1 Pagelaran,IPS,Terendah,254.0
Lampung,2018,Reguler,-,SMAN 1 Pagelaran,IPS,Tertinggi,626.5
Lampung,2018,Reguler,-,SMAN 1 Pagelaran,IPS,Rata - Rata,476.64
Lampung,2018,Reguler,-,SMAN 1 Ambarawa,IPA,Terendah,455.5
Lampung,2018,Reguler,-,SMAN 1 Ambarawa,IPA,Tertinggi,693.5
Lampung,2018,Reguler,-,SMAN 1 Ambarawa,IPA,Rata - Rata,540.95
Lampung,2018,Reguler,-,SMAN 1 Ambarawa,IPS,Terendah,255.5
Lampung,2018,Reguler,-,SMAN 1 Ambarawa,IPS,Tertinggi,635.5
Lampung,2018,Reguler,-,SMAN 1 Ambarawa,IPS,Rata - Rata,492.3
Lampung,2018,Reguler,-,SMAN 2 Gadingrejo,IPA,Terendah,260.5
Lampung,2018,Reguler,-,SMAN 2 Gadingrejo,IPA,Tertinggi,710.0
Lampung,2018,Reguler,-,SMAN 2 Gadingrejo,IPA,Rata - Rata,507.38
Lampung,2018,Reguler,-,SMAN 2 Gadingrejo,IPS,Terendah,436.5
Lampung,2018,Reguler,-,SMAN 2 Gadingrejo,IPS,Tertinggi,635.5
Lampung,2018,Reguler,-,SMAN 2 Gadingrejo,IPS,Rata - Rata,535.09
Lampung,2018,Reguler,-,SMAN 1 Sukoharjo,IPA,Terendah,233.5
Lampung,2018,Reguler,-,SMAN 1 Sukoharjo,IPA,Tertinggi,664.5
Lampung,2018,Reguler,-,SMAN 1 Sukoharjo,IPA,Rata - Rata,501.53
Lampung,2018,Reguler,-,SMAN 1 Sukoharjo,IPS,Terendah,327.0
Lampung,2018,Reguler,-,SMAN 1 Sukoharjo,IPS,Tertinggi,677.5
