Provinsi,Tahun,Domisili,Tahap,Sekolah,Jurusan,Indikator,Nilai UN,Jumlah Nilai UN
Jakarta,2018,Dalam,2,SMAN 8,IPA,Tertinggi,97.38,-
Jakarta,2018,Dalam,2,SMAN 8,IPA,Rata - Rata,92.77,-
Jakarta,2018,Dalam,2,SMAN 8,IPS,Terendah,89.25,-
Jakarta,2018,Dalam,2,SMAN 8,IPS,Tertinggi,92.38,-
Jakarta,2018,Dalam,2,SMAN 8,IPS,Rata - Rata,90.36,-
Jakarta,2018,Dalam,2,SMAN 9,IPA,Terendah,68,-
Jakarta,2018,Dalam,2,SMAN 9,IPA,Tertinggi,79.13,-
Jakarta,2018,Dalam,2,SMAN 9,IPA,Rata - Rata,70.06,-
Jakarta,2018,Dalam,2,SMAN 9,IPS,Terendah,67.63,-
Jakarta,2018,Dalam,2,SMAN 9,IPS,Tertinggi,71.88,-
Jakarta,2018,Dalam,2,SMAN 9,IPS,Rata - Rata,68.52,-
Jakarta,2018,Dalam,2,SMAN 10,IPA,Terendah,62.75,-
Jakarta,2018,Dalam,2,SMAN 10,IPA,Tertinggi,72,-
Jakarta,2018,Dalam,2,SMAN 10,IPA,Rata - Rata,66.22,-
Jakarta,2018,Dalam,2,SMAN 10,IPS,Terendah,61,-
Jakarta,2018,Dalam,2,SMAN 10,IPS,Tertinggi,68.25,-
Jakarta,2018,Dalam,2,SMAN 10,IPS,Rata - Rata,62.93,-
Jakarta,2018,Dalam,2,SMAN 11,IPA,Terendah,65.13,-
Jakarta,2018,Dalam,2,SMAN 11,IPA,Tertinggi,77.5,-
Jakarta,2018,Dalam,2,SMAN 11,IPA,Rata - Rata,69.16,-
Jakarta,2018,Dalam,2,SMAN 11,IPS,Terendah,64.63,-
Jakarta,2018,Dalam,2,SMAN 11,IPS,Tertinggi,69.5,-
Jakarta,2018,Dalam,2,SMAN 11,IPS,Rata - Rata,65.82,-
Jakarta,2018,Dalam,2,SMAN 12,IPA,Terendah,84.63,-
Jakarta,2018,Dalam,2,SMAN 12,IPA,Tertinggi,91.25,-
Jakarta,2018,Dalam,2,SMAN 12,IPA,Rata - Rata,86.5,-
Jakarta,2018,Dalam,2,SMAN 12,IPS,Terendah,73.75,-
Jakarta,2018,Dalam,2,SMAN 12,IPS,Tertinggi,83.25,-
Jakarta,2018,Dalam,2,SMAN 12,IPS,Rata - Rata,77.25,-
Jakarta,2018,Dalam,2,SMAN 13,IPA,Terendah,82.13,-
Jakarta,2018,Dalam,2,SMAN 13,IPA,Tertinggi,87.63,-
Jakarta,2018,Dalam,2,SMAN 13,IPA,Rata - Rata,84.17,-
Jakarta,2018,Dalam,2,SMAN 13,IPS,Terendah,76.25,-
Jakarta,2018,Dalam,2,SMAN 13,IPS,Tertinggi,81.75,-
Jakarta,2018,Dalam,2,SMAN 13,IPS,Rata - Rata,79.35,-
Jakarta,2018,Dalam,2,SMAN 14,IPA,Terendah,78.5,-
Jakarta,2018,Dalam,2,SMAN 14,IPA,Tertinggi,88.5,-
Jakarta,2018,Dalam,2,SMAN 14,IPA,Rata - Rata,81.53,-
Jakarta,2018,Dalam,2,SMAN 14,IPS,Terendah,73,-
Jakarta,2018,Dalam,2,SMAN 14,IPS,Tertinggi,84.88,-
Jakarta,2018,Dalam,2,SMAN 14,IPS,Rata - Rata,75.94,-
Jakarta,2018,Dalam,2,SMAN 15,IPA,Terendah,60.25,-
Jakarta,2018,Dalam,2,SMAN 15,IPA,Tertinggi,70.38,-
Jakarta,2018,Dalam,2,SMAN 15,IPA,Rata - Rata,61.73,-
Jakarta,2018,Dalam,2,SMAN 15,IPS,Terendah,60,-
Jakarta,2018,Dalam,2,SMAN 15,IPS,Tertinggi,64.25,-
Jakarta,2018,Dalam,2,SMAN 15,IPS,Rata - Rata,60.87,-
Jakarta,2018,Dalam,2,SMAN 16,IPA,Terendah,66.13,-
Jakarta,2018,Dalam,2,SMAN 16,IPA,Tertinggi,80.75,-
Jakarta,2018,Dalam,2,SMAN 16,IPA,Rata - Rata,70.77,-
Jakarta,2018,Dalam,2,SMAN 16,IPS,Terendah,65.75,-
Jakarta,2018,Dalam,2,SMAN 16,IPS,Tertinggi,74,-
Jakarta,2018,Dalam,2,SMAN 16,IPS,Rata - Rata,68.09,-
Jakarta,2018,Dalam,2,SMAN 17,IPA,Terendah,60.88,-
Jakarta,2018,Dalam,2,SMAN 17,IPA,Tertinggi,71.25,-
Jakarta,2018,Dalam,2,SMAN 17,IPA,Rata - Rata,62.78,-
Jakarta,2018,Dalam,2,SMAN 17,IPS,Terendah,60.75,-
Jakarta,2018,Dalam,2,SMAN 17,IPS,Tertinggi,70.13,-
Jakarta,2018,Dalam,2,SMAN 17,IPS,Rata - Rata,62.92,-
Jakarta,2018,Dalam,2,SMAN 18,IPA,Terendah,62.38,-
Jakarta,2018,Dalam,2,SMAN 18,IPA,Tertinggi,78.75,-
Jakarta,2018,Dalam,2,SMAN 18,IPA,Rata - Rata,66.23,-
Jakarta,2018,Dalam,2,SMAN 18,IPS,Terendah,60.5,-
Jakarta,2018,Dalam,2,SMAN 18,IPS,Tertinggi,70.38,-
Jakarta,2018,Dalam,2,SMAN 18,IPS,Rata - Rata,61.91,-
Jakarta,2018,Dalam,2,SMAN 18,BAHASA,Terendah,59.5,-
Jakarta,2018,Dalam,2,SMAN 18,BAHASA,Tertinggi,60.75,-
Jakarta,2018,Dalam,2,SMAN 18,BAHASA,Rata - Rata,60.03,-
Jakarta,2018,Dalam,2,SMAN 19,IPA,Terendah,74.25,-
Jakarta,2018,Dalam,2,SMAN 19,IPA,Tertinggi,82.88,-
Jakarta,2018,Dalam,2,SMAN 19,IPA,Rata - Rata,78.34,-
Jakarta,2018,Dalam,2,SMAN 19,IPS,Terendah,71.38,-
Jakarta,2018,Dalam,2,SMAN 19,IPS,Tertinggi,80.88,-
Jakarta,2018,Dalam,2,SMAN 19,IPS,Rata - Rata,74.48,-
Jakarta,2018,Dalam,2,SMAN 20,IPA,Terendah,61.88,-
Jakarta,2018,Dalam,2,SMAN 20,IPA,Tertinggi,73.88,-
Jakarta,2018,Dalam,2,SMAN 20,IPA,Rata - Rata,63.23,-
Jakarta,2018,Dalam,2,SMAN 20,IPS,Terendah,61.25,-
Jakarta,2018,Dalam,2,SMAN 20,IPS,Tertinggi,76.75,-
Jakarta,2018,Dalam,2,SMAN 20,IPS,Rata - Rata,62.65,-
Jakarta,2018,Dalam,2,SMAN 21,IPA,Terendah,84.25,-
Jakarta,2018,Dalam,2,SMAN 21,IPA,Tertinggi,93.13,-
Jakarta,2018,Dalam,2,SMAN 21,IPA,Rata - Rata,86.2,-
Jakarta,2018,Dalam,2,SMAN 21,IPS,Terendah,77.13,-
Jakarta,2018,Dalam,2,SMAN 21,IPS,Tertinggi,87,-
Jakarta,2018,Dalam,2,SMAN 21,IPS,Rata - Rata,80.33,-
Jakarta,2018,Dalam,2,SMAN 22,IPA,Terendah,65,-
Jakarta,2018,Dalam,2,SMAN 22,IPA,Tertinggi,69.5,-
Jakarta,2018,Dalam,2,SMAN 22,IPA,Rata - Rata,66.11,-
Jakarta,2018,Dalam,2,SMAN 22,IPS,Terendah,65,-
Jakarta,2018,Dalam,2,SMAN 22,IPS,Tertinggi,70.13,-
Jakarta,2018,Dalam,2,SMAN 22,IPS,Rata - Rata,66.08,-
Jakarta,2018,Dalam,2,SMAN 23,IPA,Terendah,63.38,-
Jakarta,2018,Dalam,2,SMAN 23,IPA,Tertinggi,77.88,-
Jakarta,2018,Dalam,2,SMAN 23,IPA,Rata - Rata,67.86,-
Jakarta,2018,Dalam,2,SMAN 23,IPS,Terendah,62.88,-
Jakarta,2018,Dalam,2,SMAN 23,IPS,Tertinggi,71.25,-
Jakarta,2018,Dalam,2,SMAN 23,IPS,Rata - Rata,64.59,-
Jakarta,2018,Dalam,2,SMAN 24,IPA,Terendah,64.88,-
Jakarta,2018,Dalam,2,SMAN 24,IPA,Tertinggi,77.13,-
Jakarta,2018,Dalam,2,SMAN 24,IPA,Rata - Rata,67.01,-
Jakarta,2018,Dalam,2,SMAN 24,IPS,Terendah,64.5,-
Jakarta,2018,Dalam,2,SMAN 24,IPS,Tertinggi,67.88,-
Jakarta,2018,Dalam,2,SMAN 24,IPS,Rata - Rata,65.41,-
Jakarta,2018,Dalam,2,SMAN 25,IPA,Terendah,62.38,-
Jakarta,2018,Dalam,2,SMAN 25,IPA,Tertinggi,73,-
Jakarta,2018,Dalam,2,SMAN 25,IPA,Rata - Rata,64.52,-
Jakarta,2018,Dalam,2,SMAN 25,IPS,Terendah,61.75,-
Jakarta,2018,Dalam,2,SMAN 25,IPS,Tertinggi,66.75,-
Jakarta,2018,Dalam,2,SMAN 25,IPS,Rata - Rata,62.37,-
Jakarta,2018,Dalam,2,SMAN 26,IPA,Terendah,84.88,-
Jakarta,2018,Dalam,2,SMAN 26,IPA,Tertinggi,90.38,-
Jakarta,2018,Dalam,2,SMAN 26,IPA,Rata - Rata,86.84,-
Jakarta,2018,Dalam,2,SMAN 26,IPS,Terendah,79.5,-
Jakarta,2018,Dalam,2,SMAN 26,IPS,Tertinggi,86.38,-
Jakarta,2018,Dalam,2,SMAN 26,IPS,Rata - Rata,82.62,-
Jakarta,2018,Dalam,2,SMAN 27,IPA,Terendah,63.5,-
Jakarta,2018,Dalam,2,SMAN 27,IPA,Tertinggi,76.25,-
Jakarta,2018,Dalam,2,SMAN 27,IPA,Rata - Rata,65.75,-
Jakarta,2018,Dalam,2,SMAN 27,IPS,Terendah,63.25,-
Jakarta,2018,Dalam,2,SMAN 27,IPS,Tertinggi,69,-
Jakarta,2018,Dalam,2,SMAN 27,IPS,Rata - Rata,64.76,-
Jakarta,2018,Dalam,2,SMAN 28,IPA,Terendah,89.38,-
Jakarta,2018,Dalam,2,SMAN 28,IPA,Tertinggi,95,-
Jakarta,2018,Dalam,2,SMAN 28,IPA,Rata - Rata,91.2,-
Jakarta,2018,Dalam,2,SMAN 28,IPS,Terendah,86.75,-
Jakarta,2018,Dalam,2,SMAN 28,IPS,Tertinggi,90.63,-
Jakarta,2018,Dalam,2,SMAN 28,IPS,Rata - Rata,87.99,-
Jakarta,2018,Dalam,2,SMAN 29,IPA,Terendah,69,-
Jakarta,2018,Dalam,2,SMAN 29,IPA,Tertinggi,86.38,-
Jakarta,2018,Dalam,2,SMAN 29,IPA,Rata - Rata,73.56,-
Jakarta,2018,Dalam,2,SMAN 29,IPS,Terendah,68.25,-
Jakarta,2018,Dalam,2,SMAN 29,IPS,Tertinggi,75.25,-
Jakarta,2018,Dalam,2,SMAN 29,IPS,Rata - Rata,70.6,-
Jakarta,2018,Dalam,2,SMAN 30,IPA,Terendah,66.13,-
Jakarta,2018,Dalam,2,SMAN 30,IPA,Tertinggi,84.25,-
Jakarta,2018,Dalam,2,SMAN 30,IPA,Rata - Rata,70.66,-
Jakarta,2018,Dalam,2,SMAN 30,IPS,Terendah,65.13,-
Jakarta,2018,Dalam,2,SMAN 30,IPS,Tertinggi,74.25,-
Jakarta,2018,Dalam,2,SMAN 30,IPS,Rata - Rata,67.76,-
Jakarta,2018,Dalam,2,SMAN 31,IPA,Terendah,67.88,-
Jakarta,2018,Dalam,2,SMAN 31,IPA,Tertinggi,85.75,-
Jakarta,2018,Dalam,2,SMAN 31,IPA,Rata - Rata,74.76,-
Jakarta,2018,Dalam,2,SMAN 31,IPS,Terendah,66.25,-
Jakarta,2018,Dalam,2,SMAN 31,IPS,Tertinggi,74,-
Jakarta,2018,Dalam,2,SMAN 31,IPS,Rata - Rata,68.59,-
Jakarta,2018,Dalam,2,SMAN 31,BAHASA,Terendah,66.13,-
Jakarta,2018,Dalam,2,SMAN 31,BAHASA,Tertinggi,77.5,-
Jakarta,2018,Dalam,2,SMAN 31,BAHASA,Rata - Rata,69.96,-
Jakarta,2018,Dalam,2,SMAN 32,IPA,Terendah,65.5,-
Jakarta,2018,Dalam,2,SMAN 32,IPA,Tertinggi,76.88,-
Jakarta,2018,Dalam,2,SMAN 32,IPA,Rata - Rata,67.83,-
Jakarta,2018,Dalam,2,SMAN 32,IPS,Terendah,65.13,-
Jakarta,2018,Dalam,2,SMAN 32,IPS,Tertinggi,73.88,-
Jakarta,2018,Dalam,2,SMAN 32,IPS,Rata - Rata,66.9,-
Jakarta,2018,Dalam,2,SMAN 33,IPA,Terendah,80.38,-
Jakarta,2018,Dalam,2,SMAN 33,IPA,Tertinggi,88.38,-
Jakarta,2018,Dalam,2,SMAN 33,IPA,Rata - Rata,83.21,-
Jakarta,2018,Dalam,2,SMAN 33,IPS,Terendah,71.5,-
Jakarta,2018,Dalam,2,SMAN 33,IPS,Tertinggi,93.38,-
Jakarta,2018,Dalam,2,SMAN 33,IPS,Rata - Rata,76.85,-
Jakarta,2018,Dalam,2,SMAN 33,BAHASA,Terendah,69,-
Jakarta,2018,Dalam,2,SMAN 33,BAHASA,Tertinggi,83.13,-
Jakarta,2018,Dalam,2,SMAN 33,BAHASA,Rata - Rata,73.46,-
Jakarta,2018,Dalam,2,SMAN 34,IPA,Terendah,87.13,-
Jakarta,2018,Dalam,2,SMAN 34,IPA,Tertinggi,92,-
Jakarta,2018,Dalam,2,SMAN 34,IPA,Rata - Rata,88.43,-
Jakarta,2018,Dalam,2,SMAN 34,IPS,Terendah,84.13,-
Jakarta,2018,Dalam,2,SMAN 34,IPS,Tertinggi,86.88,-
Jakarta,2018,Dalam,2,SMAN 34,IPS,Rata - Rata,85.5,-
Jakarta,2018,Dalam,2,SMAN 35,IPA,Terendah,63.13,-
Jakarta,2018,Dalam,2,SMAN 35,IPA,Tertinggi,81.5,-
Jakarta,2018,Dalam,2,SMAN 35,IPA,Rata - Rata,65.21,-
Jakarta,2018,Dalam,2,SMAN 35,IPS,Terendah,63,-
Jakarta,2018,Dalam,2,SMAN 35,IPS,Tertinggi,66.13,-
Jakarta,2018,Dalam,2,SMAN 35,IPS,Rata - Rata,64.05,-
Jakarta,2018,Dalam,2,SMAN 35,BAHASA,Terendah,62.25,-
Jakarta,2018,Dalam,2,SMAN 35,BAHASA,Tertinggi,64.88,-
Jakarta,2018,Dalam,2,SMAN 35,BAHASA,Rata - Rata,62.99,-
Jakarta,2018,Dalam,2,SMAN 36,IPA,Terendah,65.13,-
Jakarta,2018,Dalam,2,SMAN 36,IPA,Tertinggi,82.63,-
Jakarta,2018,Dalam,2,SMAN 36,IPA,Rata - Rata,69.78,-
Jakarta,2018,Dalam,2,SMAN 36,IPS,Terendah,65,-
Jakarta,2018,Dalam,2,SMAN 36,IPS,Tertinggi,73.5,-
Jakarta,2018,Dalam,2,SMAN 36,IPS,Rata - Rata,67.32,-
Jakarta,2018,Dalam,2,SMAN 37,IPA,Terendah,68.25,-
Jakarta,2018,Dalam,2,SMAN 37,IPA,Tertinggi,84.75,-
Jakarta,2018,Dalam,2,SMAN 37,IPA,Rata - Rata,71.16,-
Jakarta,2018,Dalam,2,SMAN 37,IPS,Terendah,67.5,-
Jakarta,2018,Dalam,2,SMAN 37,IPS,Tertinggi,76.13,-
Jakarta,2018,Dalam,2,SMAN 37,IPS,Rata - Rata,69.22,-
Jakarta,2018,Dalam,2,SMAN 38,IPA,Terendah,83.75,-
Jakarta,2018,Dalam,2,SMAN 38,IPA,Tertinggi,90.5,-
Jakarta,2018,Dalam,2,SMAN 38,IPA,Rata - Rata,85.77,-
Jakarta,2018,Dalam,2,SMAN 38,IPS,Terendah,78.88,-
Jakarta,2018,Dalam,2,SMAN 38,IPS,Tertinggi,84.25,-
Jakarta,2018,Dalam,2,SMAN 38,IPS,Rata - Rata,81.96,-
Jakarta,2018,Dalam,2,SMAN 39,IPA,Terendah,85.13,-
Jakarta,2018,Dalam,2,SMAN 39,IPA,Tertinggi,95.13,-
Jakarta,2018,Dalam,2,SMAN 39,IPA,Rata - Rata,87.92,-
Jakarta,2018,Dalam,2,SMAN 39,IPS,Terendah,79.75,-
Jakarta,2018,Dalam,2,SMAN 39,IPS,Tertinggi,85.63,-
Jakarta,2018,Dalam,2,SMAN 39,IPS,Rata - Rata,81.06,-
Jakarta,2018,Dalam,2,SMAN 40,IPA,Terendah,59.63,-
Jakarta,2018,Dalam,2,SMAN 40,IPA,Tertinggi,66.75,-
Jakarta,2018,Dalam,2,SMAN 40,IPA,Rata - Rata,61.17,-
Jakarta,2018,Dalam,2,SMAN 40,IPS,Terendah,59,-
Jakarta,2018,Dalam,2,SMAN 40,IPS,Tertinggi,67.38,-
Jakarta,2018,Dalam,2,SMAN 40,IPS,Rata - Rata,60.29,-
Jakarta,2018,Dalam,2,SMAN 41,IPA,Terendah,59.25,-
Jakarta,2018,Dalam,2,SMAN 41,IPA,Tertinggi,69.25,-
Jakarta,2018,Dalam,2,SMAN 41,IPA,Rata - Rata,60.73,-
Jakarta,2018,Dalam,2,SMAN 41,IPS,Terendah,59.25,-
Jakarta,2018,Dalam,2,SMAN 41,IPS,Tertinggi,63.13,-
Jakarta,2018,Dalam,2,SMAN 41,IPS,Rata - Rata,60.07,-
Jakarta,2018,Dalam,2,SMAN 42,IPA,Terendah,69.25,-
Jakarta,2018,Dalam,2,SMAN 42,IPA,Tertinggi,84.25,-
Jakarta,2018,Dalam,2,SMAN 42,IPA,Rata - Rata,72.54,-
Jakarta,2018,Dalam,2,SMAN 42,IPS,Terendah,68.13,-
Jakarta,2018,Dalam,2,SMAN 42,IPS,Tertinggi,74.38,-
Jakarta,2018,Dalam,2,SMAN 42,IPS,Rata - Rata,69.19,-
Jakarta,2018,Dalam,2,SMAN 43,IPA,Terendah,66.75,-
Jakarta,2018,Dalam,2,SMAN 43,IPA,Tertinggi,84.13,-
Jakarta,2018,Dalam,2,SMAN 43,IPA,Rata - Rata,69.06,-
Jakarta,2018,Dalam,2,SMAN 43,IPS,Terendah,65.63,-
Jakarta,2018,Dalam,2,SMAN 43,IPS,Tertinggi,74.13,-
Jakarta,2018,Dalam,2,SMAN 43,IPS,Rata - Rata,67.25,-
Jakarta,2018,Dalam,2,SMAN 44,IPA,Terendah,77,-
Jakarta,2018,Dalam,2,SMAN 44,IPA,Tertinggi,83,-
Jakarta,2018,Dalam,2,SMAN 44,IPA,Rata - Rata,79.31,-
Jakarta,2018,Dalam,2,SMAN 44,IPS,Terendah,69.25,-
Jakarta,2018,Dalam,2,SMAN 44,IPS,Tertinggi,76,-
Jakarta,2018,Dalam,2,SMAN 44,IPS,Rata - Rata,71.37,-
Jakarta,2018,Dalam,2,SMAN 45,IPA,Terendah,62.63,-
Jakarta,2018,Dalam,2,SMAN 45,IPA,Tertinggi,71.25,-
Jakarta,2018,Dalam,2,SMAN 45,IPA,Rata - Rata,64.26,-
Jakarta,2018,Dalam,2,SMAN 45,IPS,Terendah,62.38,-
Jakarta,2018,Dalam,2,SMAN 45,IPS,Tertinggi,67,-
Jakarta,2018,Dalam,2,SMAN 45,IPS,Rata - Rata,63.41,-
Jakarta,2018,Dalam,2,SMAN 46,IPA,Terendah,70.25,-
Jakarta,2018,Dalam,2,SMAN 46,IPA,Tertinggi,79.75,-
Jakarta,2018,Dalam,2,SMAN 46,IPA,Rata - Rata,72.48,-
Jakarta,2018,Dalam,2,SMAN 46,IPS,Terendah,67.75,-
Jakarta,2018,Dalam,2,SMAN 46,IPS,Tertinggi,76.25,-
Jakarta,2018,Dalam,2,SMAN 46,IPS,Rata - Rata,69.47,-
Jakarta,2018,Dalam,2,SMAN 47,IPA,Terendah,85.88,-
Jakarta,2018,Dalam,2,SMAN 47,IPA,Tertinggi,93.75,-
Jakarta,2018,Dalam,2,SMAN 47,IPA,Rata - Rata,88.6,-
Jakarta,2018,Dalam,2,SMAN 47,IPS,Terendah,76.38,-
Jakarta,2018,Dalam,2,SMAN 47,IPS,Tertinggi,88.63,-
Jakarta,2018,Dalam,2,SMAN 47,IPS,Rata - Rata,80.78,-
Jakarta,2018,Dalam,2,SMAN 48,IPA,Terendah,83.5,-
Jakarta,2018,Dalam,2,SMAN 48,IPA,Tertinggi,91.5,-
Jakarta,2018,Dalam,2,SMAN 48,IPA,Rata - Rata,85.97,-
Jakarta,2018,Dalam,2,SMAN 48,IPS,Terendah,74.88,-
Jakarta,2018,Dalam,2,SMAN 48,IPS,Tertinggi,86,-
Jakarta,2018,Dalam,2,SMAN 48,IPS,Rata - Rata,79.12,-
Jakarta,2018,Dalam,2,SMAN 49,IPA,Terendah,80.13,-
Jakarta,2018,Dalam,2,SMAN 49,IPA,Tertinggi,86.25,-
Jakarta,2018,Dalam,2,SMAN 49,IPA,Rata - Rata,82.31,-
Jakarta,2018,Dalam,2,SMAN 49,IPS,Terendah,76.75,-
Jakarta,2018,Dalam,2,SMAN 49,IPS,Tertinggi,82.75,-
Jakarta,2018,Dalam,2,SMAN 49,IPS,Rata - Rata,78.24,-
Jakarta,2018,Dalam,2,SMAN 50,IPA,Terendah,66.63,-
Jakarta,2018,Dalam,2,SMAN 50,IPA,Tertinggi,74.38,-
Jakarta,2018,Dalam,2,SMAN 50,IPA,Rata - Rata,68.92,-
Jakarta,2018,Dalam,2,SMAN 50,IPS,Terendah,66.88,-
Jakarta,2018,Dalam,2,SMAN 50,IPS,Tertinggi,74.5,-
Jakarta,2018,Dalam,2,SMAN 50,IPS,Rata - Rata,68.41,-
Jakarta,2018,Dalam,2,SMAN 51,IPA,Terendah,68.5,-
Jakarta,2018,Dalam,2,SMAN 51,IPA,Tertinggi,72.63,-
Jakarta,2018,Dalam,2,SMAN 51,IPA,Rata - Rata,69.78,-
Jakarta,2018,Dalam,2,SMAN 51,IPS,Terendah,68.13,-
Jakarta,2018,Dalam,2,SMAN 51,IPS,Tertinggi,73.25,-
Jakarta,2018,Dalam,2,SMAN 51,IPS,Rata - Rata,69.14,-
Jakarta,2018,Dalam,2,SMAN 52,IPA,Terendah,70.63,-
Jakarta,2018,Dalam,2,SMAN 52,IPA,Tertinggi,82,-
Jakarta,2018,Dalam,2,SMAN 52,IPA,Rata - Rata,75.49,-
Jakarta,2018,Dalam,2,SMAN 52,IPS,Terendah,64.25,-
Jakarta,2018,Dalam,2,SMAN 52,IPS,Tertinggi,74.5,-
Jakarta,2018,Dalam,2,SMAN 52,IPS,Rata - Rata,67.09,-
Jakarta,2018,Dalam,2,SMAN 53,IPA,Terendah,67.38,-
Jakarta,2018,Dalam,2,SMAN 53,IPA,Tertinggi,82.88,-
Jakarta,2018,Dalam,2,SMAN 53,IPA,Rata - Rata,71.24,-
Jakarta,2018,Dalam,2,SMAN 53,IPS,Terendah,67,-
Jakarta,2018,Dalam,2,SMAN 53,IPS,Tertinggi,74.13,-
Jakarta,2018,Dalam,2,SMAN 53,IPS,Rata - Rata,68.77,-
Jakarta,2018,Dalam,2,SMAN 54,IPA,Terendah,72.88,-
Jakarta,2018,Dalam,2,SMAN 54,IPA,Tertinggi,86.25,-
Jakarta,2018,Dalam,2,SMAN 54,IPA,Rata - Rata,77.94,-
Jakarta,2018,Dalam,2,SMAN 54,IPS,Terendah,67.88,-
Jakarta,2018,Dalam,2,SMAN 54,IPS,Tertinggi,86.63,-
Jakarta,2018,Dalam,2,SMAN 54,IPS,Rata - Rata,70.06,-
Jakarta,2018,Dalam,2,SMAN 55,IPA,Terendah,75.88,-
Jakarta,2018,Dalam,2,SMAN 55,IPA,Tertinggi,84.88,-
Jakarta,2018,Dalam,2,SMAN 55,IPA,Rata - Rata,79.65,-
Jakarta,2018,Dalam,2,SMAN 55,IPS,Terendah,71.75,-
Jakarta,2018,Dalam,2,SMAN 55,IPS,Tertinggi,78.75,-
Jakarta,2018,Dalam,2,SMAN 55,IPS,Rata - Rata,73.76,-
Jakarta,2018,Dalam,2,SMAN 56,IPA,Terendah,63.25,-
Jakarta,2018,Dalam,2,SMAN 56,IPA,Tertinggi,71.63,-
Jakarta,2018,Dalam,2,SMAN 56,IPA,Rata - Rata,64.84,-
Jakarta,2018,Dalam,2,SMAN 56,IPS,Terendah,63.25,-
Jakarta,2018,Dalam,2,SMAN 56,IPS,Tertinggi,69.25,-
