Tahap,Sekolah,Jurusan,Kapasitas
1,SMA NEGERI 66,IPA,37
1,SMA NEGERI 66,IPS,47
1,SMA NEGERI 67,IPA,53
1,SMA NEGERI 67,IPS,57
1,SMA NEGERI 68,IPA,76
1,SMA NEGERI 68,IPS,49
1,SMA NEGERI 70,IPA,123
1,SMA NEGERI 70,IPS,31
1,SMA NEGERI 71,IPA,53
1,SMA NEGERI 71,IPS,55
1,SMA NEGERI 72,IPA,49
1,SMA NEGERI 72,IPS,37
1,SMA NEGERI 72,BAHASA,12
1,SMA NEGERI 73,IPA,25
1,SMA NEGERI 73,IPS,49
1,SMA NEGERI 74,IPA,37
1,SMA NEGERI 74,IPS,48
1,SMA NEGERI 75,IPA,51
1,SMA NEGERI 75,IPS,37
1,SMA NEGERI 76,IPA,37
1,SMA NEGERI 76,IPS,23
1,SMA NEGERI 77,IPA,40
1,SMA NEGERI 77,IPS,40
1,SMA NEGERI 78,IPA,112
1,SMA NEGERI 78,IPS,30
1,SMA NEGERI 78,BAHASA,15
1,SMA NEGERI 79,IPA,30
1,SMA NEGERI 79,IPS,37
1,SMA NEGERI 80,IPA,50
1,SMA NEGERI 80,IPS,36
1,SMA NEGERI 81,IPA,70
1,SMA NEGERI 81,IPS,27
1,SMA NEGERI 82,IPA,51
1,SMA NEGERI 82,IPS,49
1,SMA NEGERI 83,IPA,24
1,SMA NEGERI 83,IPS,38
1,SMA NEGERI 84,IPA,38
1,SMA NEGERI 84,IPS,38
1,SMA NEGERI 84,BAHASA,13
1,SMA NEGERI 85,IPA,49
1,SMA NEGERI 85,IPS,24
1,SMA NEGERI 86,IPA,36
1,SMA NEGERI 86,IPS,35
1,SMA NEGERI 87,IPA,37
1,SMA NEGERI 87,IPS,37
1,SMA NEGERI 88,IPA,25
1,SMA NEGERI 88,IPS,38
1,SMA NEGERI 89,IPA,37
1,SMA NEGERI 89,IPS,37
1,SMA NEGERI 90,IPA,63
1,SMA NEGERI 90,IPS,50
1,SMA NEGERI 91,IPA,46
1,SMA NEGERI 91,IPS,47
1,SMA NEGERI 92,IPA,64
1,SMA NEGERI 92,IPS,47
1,SMA NEGERI 92,BAHASA,15
1,SMA NEGERI 93,IPA,45
1,SMA NEGERI 93,IPS,28
1,SMA NEGERI 94,IPA,38
1,SMA NEGERI 94,IPS,37
1,SMA NEGERI 95,IPA,57
1,SMA NEGERI 95,IPS,56
1,SMA NEGERI 95,BAHASA,15
1,SMA NEGERI 97,IPA,38
1,SMA NEGERI 97,IPS,76
1,SMA NEGERI 98,IPA,63
1,SMA NEGERI 98,IPS,50
1,SMA NEGERI 99,IPA,72
1,SMA NEGERI 99,IPS,58
1,SMA NEGERI 100,IPA,49
1,SMA NEGERI 100,IPS,48
1,SMA NEGERI 101,IPA,50
1,SMA NEGERI 101,IPS,50
1,SMA NEGERI 102,IPA,43
1,SMA NEGERI 102,IPS,57
1,SMA NEGERI 103,IPA,40
1,SMA NEGERI 103,IPS,56
1,SMA NEGERI 104,IPA,63
1,SMA NEGERI 104,IPS,37
1,SMA NEGERI 105,IPA,50
1,SMA NEGERI 105,IPS,38
1,SMA NEGERI 106,IPA,38
1,SMA NEGERI 106,IPS,51
1,SMA NEGERI 107,IPA,38
1,SMA NEGERI 107,IPS,38
1,SMA NEGERI 108,IPA,24
1,SMA NEGERI 108,IPS,38
1,SMA NEGERI 109,IPA,49
1,SMA NEGERI 109,IPS,37
1,SMA NEGERI 110,IPA,37
1,SMA NEGERI 110,IPS,49
1,SMA NEGERI 110,BAHASA,13
1,SMA NEGERI 111,IPA,22
1,SMA NEGERI 111,IPS,23
1,SMA NEGERI 112,IPA,62
1,SMA NEGERI 112,IPS,37
1,SMA NEGERI 113,IPA,68
1,SMA NEGERI 113,IPS,64
1,SMA NEGERI 113,BAHASA,18
1,SMA NEGERI 114,IPA,22
1,SMA NEGERI 114,IPS,22
1,SMA NEGERI 115,IPA,23
1,SMA NEGERI 115,IPS,23
