Tahap,Sekolah,Jurusan,Kapasitas
3,SMA NEGERI 57,MIPA,2
3,SMA NEGERI 57,IPS,2
3,SMA NEGERI 59,MIPA,0
3,SMA NEGERI 59,IPS,5
3,SMA NEGERI 60,MIPA,4
3,SMA NEGERI 60,IPS,3
3,SMA NEGERI 61,MIPA,2
3,SMA NEGERI 61,IPS,0
3,SMA NEGERI 62,MIPA,1
3,SMA NEGERI 62,IPS,2
3,SMA NEGERI 63,MIPA,1
3,SMA NEGERI 63,IPS,1
3,SMA NEGERI 64,MIPA,2
3,SMA NEGERI 64,IPS,2
3,SMA NEGERI 65,MIPA,0
3,SMA NEGERI 65,IPS,1
3,SMA NEGERI 66,MIPA,4
3,SMA NEGERI 66,IPS,3
3,SMA NEGERI 68,MIPA,2
3,SMA NEGERI 68,IPS,1
3,SMA NEGERI 70,MIPA,4
3,SMA NEGERI 70,IPS,1
3,SMA NEGERI 71,MIPA,2
3,SMA NEGERI 71,IPS,0
3,SMA NEGERI 72,MIPA,4
3,SMA NEGERI 72,IPS,2
3,SMA NEGERI 72,BAHASA,0
3,SMA NEGERI 73,MIPA,0
3,SMA NEGERI 73,IPS,3
3,SMA NEGERI 74,MIPA,3
3,SMA NEGERI 74,IPS,4
3,SMA NEGERI 75,MIPA,0
3,SMA NEGERI 75,IPS,1
3,SMA NEGERI 76,MIPA,2
3,SMA NEGERI 76,IPS,2
3,SMA NEGERI 78,MIPA,1
3,SMA NEGERI 78,IPS,2
3,SMA NEGERI 78,BAHASA,1
3,SMA NEGERI 79,MIPA,2
3,SMA NEGERI 79,IPS,4
3,SMA NEGERI 80,MIPA,1
3,SMA NEGERI 80,IPS,1
3,SMA NEGERI 81,MIPA,1
3,SMA NEGERI 81,IPS,0
3,SMA NEGERI 82,MIPA,3
3,SMA NEGERI 82,IPS,3
3,SMA NEGERI 83,MIPA,1
3,SMA NEGERI 83,IPS,4
3,SMA NEGERI 84,MIPA,0
3,SMA NEGERI 84,IPS,1
3,SMA NEGERI 84,BAHASA,0
3,SMA NEGERI 85,MIPA,3
3,SMA NEGERI 85,IPS,1
3,SMA NEGERI 86,MIPA,0
3,SMA NEGERI 86,IPS,3
3,SMA NEGERI 87,MIPA,3
3,SMA NEGERI 87,IPS,2
3,SMA NEGERI 88,MIPA,1
3,SMA NEGERI 88,IPS,0
3,SMA NEGERI 89,MIPA,0
3,SMA NEGERI 89,IPS,1
3,SMA NEGERI 90,MIPA,1
3,SMA NEGERI 90,IPS,0
3,SMA NEGERI 93,MIPA,1
3,SMA NEGERI 93,IPS,1
3,SMA NEGERI 94,MIPA,1
3,SMA NEGERI 94,IPS,0
3,SMA NEGERI 96,IPA,2
3,SMA NEGERI 96,IPS,4
3,SMA NEGERI 97,MIPA,2
3,SMA NEGERI 97,IPS,2
3,SMA NEGERI 98,MIPA,2
3,SMA NEGERI 98,IPS,0
3,SMA NEGERI 99,MIPA,1
3,SMA NEGERI 99,IPS,0
3,SMA NEGERI 100,MIPA,2
3,SMA NEGERI 100,IPS,5
3,SMA NEGERI 101,MIPA,3
3,SMA NEGERI 101,IPS,2
3,SMA NEGERI 103,MIPA,0
3,SMA NEGERI 103,IPS,1
3,SMA NEGERI 104,MIPA,0
3,SMA NEGERI 104,IPS,1
3,SMA NEGERI 105,MIPA,1
3,SMA NEGERI 105,IPS,1
3,SMA NEGERI 107,MIPA,1
3,SMA NEGERI 107,IPS,3
3,SMA NEGERI 108,MIPA,2
3,SMA NEGERI 108,IPS,2
3,SMA NEGERI 109,MIPA,2
3,SMA NEGERI 109,IPS,1
3,SMA NEGERI 111,MIPA,11
3,SMA NEGERI 111,IPS,11
3,SMA NEGERI 112,MIPA,2
3,SMA NEGERI 112,IPS,3
3,SMA NEGERI 113,MIPA,0
3,SMA NEGERI 113,IPS,1
3,SMA NEGERI 113,BAHASA,0
3,SMA NEGERI 114,MIPA,1
3,SMA NEGERI 114,IPS,0
3,SMA NEGERI 115,MIPA,6
3,SMA NEGERI 115,IPS,1
