Nomor,Tahun,Daerah,No Pasangan,Jabatan,Nama,Jumlah Suara,Persentase Suara (%),wakil,,,
7,2018,Provinsi Lampung,1,Wakil Gubernur,"Bachtiar Basri, Sh., Mm",934407,22,TRUE,0,46.32,
7,2018,Provinsi Lampung,2,Wakil Gubernur,"Ir. Sutono, Mm",1033159,24.32,TRUE,0,61.09,
7,2018,Provinsi Lampung,3,Wakil Gubernur,"Hj. Chusnunia, Ph.D",1562020,36.77,TRUE,0,53.67,
7,2018,Provinsi Lampung,4,Wakil Gubernur,"H. Ahmad Jajuli Sip.,M.Si",717974,16.9,TRUE,1,,53.67
8,2018,Provinsi Maluku,1,Wakil Gubernur,Ir.Anderias Rentanubun,246583,31.76,TRUE,0,71.25,
8,2018,Provinsi Maluku,2,Wakil Gubernur,Drs. Barnabas Orno,306636,39.49,TRUE,0,68.24,
8,2018,Provinsi Maluku,3,Wakil Gubernur,"H.Abdullah Vanath,S.Sos,Mmp",223198,28.75,TRUE,1,,68.24
9,2018,Provinsi Maluku Utara,1,Wakil Gubernur,Dr. Rivai Umar,176973,31.91,TRUE,0,57.78,
9,2018,Provinsi Maluku Utara,2,Wakil Gubernur,"Drs. Ishak Jamaluddin, M.Pd.",143439,25.87,TRUE,0,56.34,
9,2018,Provinsi Maluku Utara,3,Wakil Gubernur,"Ir. M. Al Yasin Ali, M.Mt.",168946,30.47,TRUE,0,42.22,
9,2018,Provinsi Maluku Utara,4,Wakil Gubernur,"Drs. A. Madjid Husen, M.M.",65169,11.75,TRUE,1,,42.22
10,2018,Provinsi Nusa Tenggara Barat,1,Wakil Gubernur,"H. Muh. Amin, Sh., M.Si",674954,26.44,TRUE,0,51.36,
10,2018,Provinsi Nusa Tenggara Barat,2,Wakil Gubernur,"H. Mori Hanafi, Se.",636027,24.92,TRUE,0,56.71,
10,2018,Provinsi Nusa Tenggara Barat,3,Wakil Gubernur,"Dr. Ir. Hj. Sitti Rohmi Djalilah, M.Pd",811489,31.79,TRUE,0,48.64,
10,2018,Provinsi Nusa Tenggara Barat,4,Wakil Gubernur,"Tgh. Lalu Gede Muhamad Ali Wirasakti Amir Murni, Lc, Ma.",430136,16.85,TRUE,1,,48.64
11,2018,Provinsi Nusa Tenggara Timur,1,Wakil Gubernur,Drs. Christian Rotok,447871,19.44,TRUE,0,44.78,
11,2018,Provinsi Nusa Tenggara Timur,2,Wakil Gubernur,Ir. Emelia Julia Nomleni,583794,25.34,TRUE,0,46.06,
11,2018,Provinsi Nusa Tenggara Timur,3,Wakil Gubernur,"Drs. Benny Alexander Litelnoni, Sh., M.Si",477252,20.72,TRUE,0,55.22,
11,2018,Provinsi Nusa Tenggara Timur,4,Wakil Gubernur,Josef Adreanus Nae Soi,794695,34.5,TRUE,1,,55.22
12,2018,Provinsi Papua,1,Wakil Gubernur,"Klemen Tinal, Se.,Mm",846105,62.36,TRUE,0,100,
12,2018,Provinsi Papua,2,Wakil Gubernur,"Dr. Habel Melkias Suwae, S.Sos,. Mm",51068,37.64,TRUE,1,,100
13,2018,Provinsi Riau,1,Wakil Gubernur,H. Edy Nasution,720695,31.87,TRUE,0,47.78,
13,2018,Provinsi Riau,2,Wakil Gubernur,"Hardianto, Se",35979,15.91,TRUE,0,35.18,
13,2018,Provinsi Riau,3,Wakil Gubernur,"H. Rusli Effendi, Se, S.Pd.I, M.Si",435725,19.27,TRUE,0,52.23,
13,2018,Provinsi Riau,4,Wakil Gubernur,"H. Suyatno, Amp",745389,32.96,TRUE,1,,52.23
14,2018,Provinsi Sulawesi Selatan,1,Wakil Gubernur,Dr. Ir. H. Abd. Aziz Qahhar Mudzakkar,1153814,27.36,TRUE,0,37.39,
14,2018,Provinsi Sulawesi Selatan,2,Wakil Gubernur,"Mayjen Tni (Purn) Drs. Tanribali Lamo, Sh",422889,10.03,TRUE,0,53.3,
14,2018,Provinsi Sulawesi Selatan,3,Wakil Gubernur,"Andi Sudirman Sulaiman, St",1824516,43.27,TRUE,0,62.61,
14,2018,Provinsi Sulawesi Selatan,4,Wakil Gubernur,"Ir. H. Andi Muzakkar, Mh",815316,19.34,TRUE,1,,62.61
15,2018,Provinsi Sulawesi Tenggara,1,Wakil Gubernur,"Dr. H. Lukman Abunawas, Sh, M.Si",495283,43.64,TRUE,0,68.39,
15,2018,Provinsi Sulawesi Tenggara,2,Wakil Gubernur,Ir. Hugua,280834,24.75,TRUE,0,56.36,
15,2018,Provinsi Sulawesi Tenggara,3,Wakil Gubernur,Ir.H.Lm. Sjafei Kahar,358763,31.61,TRUE,1,,56.36
16,2018,Provinsi Sumatera Selatan,1,Wakil Gubernur,Ir. H. Mawardi Yahya,776988,29.57,TRUE,0,39.77,
16,2018,Provinsi Sumatera Selatan,2,Wakil Gubernur,"H.M. Irwansyah, S.Sos, M.Si",268144,10.2,TRUE,0,26.9,
16,2018,Provinsi Sumatera Selatan,3,Wakil Gubernur,"Yudha Pratomo, M.Sc. Ph.D",438839,16.7,TRUE,0,60.22,
16,2018,Provinsi Sumatera Selatan,4,Wakil Gubernur,"H.M Giri Ramanda N. Kiemas Se, Mm",1143617,43.52,TRUE,1,,60.22
17,2018,Provinsi Sumatera Utara,1,Wakil Gubernur,Musa Rajekshah,3234017,57.41,TRUE,0,100,
17,2018,Provinsi Sumatera Utara,2,Wakil Gubernur,Sihar P.H. Sitorus,2399218,42.59,TRUE,1,,100
18,2018,Kabupaten Aceh Selatan,1,Wakil Bupati,"Dr. Mustafril, St, M.Si",5796,4.47,TRUE,0,40.13,
18,2018,Kabupaten Aceh Selatan,2,Wakil Bupati,Tgk. Amran,46291,35.66,TRUE,0,36.74,
18,2018,Kabupaten Aceh Selatan,3,Wakil Bupati,M. Jasa,1396,1.08,TRUE,0,2.38,
18,2018,Kabupaten Aceh Selatan,4,Wakil Bupati,"Baital Makmur, Se",1693,1.3,TRUE,0,30.09,
18,2018,Kabupaten Aceh Selatan,5,Wakil Bupati,"Drs. H. Harmaini, M.Si",37372,28.79,TRUE,0,54.78,
18,2018,Kabupaten Aceh Selatan,6,Wakil Bupati,"Zirhan, Sp",33739,25.99,TRUE,0,28.7,
18,2018,Kabupaten Aceh Selatan,7,Wakil Bupati,H. Afdhal Yasin,352,2.71,TRUE,1,,28.7
19,2018,Kota Subulussalam,1,Wakil Walikota,Wagiman,139,0.3,TRUE,0,29.98,
19,2018,Kota Subulussalam,2,Wakil Walikota,"Dedi Anwar Bancin, Se",13673,29.68,TRUE,0,55.65,
19,2018,Kota Subulussalam,3,Wakil Walikota,"Hj. Asmidar, S.Pd",11962,25.97,TRUE,0,28.61,
19,2018,Kota Subulussalam,4,Wakil Walikota,Sabaruddin S. S.Pd.I,1214,2.64,TRUE,0,44.05,
19,2018,Kota Subulussalam,5,Wakil Walikota,"Drs. Salmaza, M.Ap",19073,41.41,TRUE,1,,44.05
20,2018,Kabupaten Pidie Jaya,1,Wakil Bupati,Kolonel (Purn) Saifullah,23543,29.62,TRUE,0,81.13,
20,2018,Kabupaten Pidie Jaya,2,Wakil Bupati,"Said Mulyadi, Se, M.Si",40945,51.51,TRUE,0,62.82,
20,2018,Kabupaten Pidie Jaya,3,Wakil Bupati,H. M. Yusuf Ibrahim,8987,11.31,TRUE,0,18.88,
20,2018,Kabupaten Pidie Jaya,4,Wakil Bupati,Ir.Anwar Ishak,6014,7.57,TRUE,1,,18.88
21,2018,Kabupaten Gianyar,1,Wakil Bupati,"Pande Istri Maharani Prima Dewi,Se.,Mm.",94666,32.96,TRUE,0,100,
21,2018,Kabupaten Gianyar,2,Wakil Bupati,"Anak Agung Gde Mayun, Sh.",192533,67.04,TRUE,1,,100
22,2018,Kabupaten Klungkung,1,Wakil Bupati,I Ketut Mandia,29173,23.94,TRUE,0,100,
22,2018,Kabupaten Klungkung,2,Wakil Bupati,I Made Kasta,92699,76.06,TRUE,1,,100
23,2018,Kota Serang,1,Wakil Walikota,"Nurhasan, Se",24341,30.08,TRUE,0,56.95,
23,2018,Kota Serang,2,Wakil Walikota,"Rohman, S.Pd.I, M.A.",21743,26.87,TRUE,0,69.91,
23,2018,Kota Serang,3,Wakil Walikota,"H. Subadri Usuludin, Sh",34828,43.04,TRUE,1,,69.91
24,2018,Kota Tangerang,1,Wakil Walikota,Drs. H. Sachrudin,604108,85.58,TRUE,1,,128.62
25,2018,Kabupaten Lebak,1,Wakil Bupati,"H. Ade Sumardi, Se",453299,76.99,TRUE,1,,162.57
26,2018,Kabupaten Tangerang,1,Wakil Bupati,"H. Mad Romli, Sh.,Mm",941111,83.73,TRUE,1,,160.72
27,2018,Kota Bengkulu,1,Wakil Walikota,"Drs. Bakhsir, Mm",29688,22.3,TRUE,0,39.35,
27,2018,Kota Bengkulu,2,Wakil Walikota,"H. Ahmad Zarkasi, S.P., M.Si",22699,17.05,TRUE,0,50.29,
27,2018,Kota Bengkulu,3,Wakil Walikota,"Dedy Wahyudi, S.E, M.M",44254,33.24,TRUE,0,60.66,
27,2018,Kota Bengkulu,4,Wakil Walikota,"Mirza, S.H., M.Kn",36506,27.42,TRUE,1,,60.66
28,2018,Kabupaten Gorontalo Utara,1,Wakil Bupati,"Thariq Modanggu, S.Ag., M.Pd.I",31391,43.54,TRUE,0,67.81,
28,2018,Kabupaten Gorontalo Utara,2,Wakil Bupati,Hj. Suhelah,17502,24.27,TRUE,0,56.46,
28,2018,Kabupaten Gorontalo Utara,3,Wakil Bupati,Ir. H. Ismail Patamani,23208,32.19,TRUE,1,,56.46
29,2018,Kota Gorontalo,1,Wakil Walikota,"Hardi Saleh Hemeto, Se, M.Si",37032,36.05,TRUE,0,77.33,
29,2018,Kota Gorontalo,2,Wakil Walikota,"Ryan Fahrichsan Kono, B.Com",42399,41.28,TRUE,0,63.95,
29,2018,Kota Gorontalo,3,Wakil Walikota,Dr. Rusliyanto Monoarfa,23282,22.67,TRUE,1,,63.95
30,2018,Kabupaten Kerinci,1,Wakil Bupati,"Edison, Sh",42686,28.84,TRUE,0,66.23,
30,2018,Kabupaten Kerinci,2,Wakil Bupati,Ir. H. Ami Taher,55341,37.39,TRUE,0,71.16,
30,2018,Kabupaten Kerinci,3,Wakil Bupati,Arsal Apri,49989,33.77,TRUE,1,,71.16
31,2018,Kota Jambi,1,Wakil Walikota,"Kemas Alfarizi, Se",116554,44.27,TRUE,0,100,
31,2018,Kota Jambi,2,Wakil Walikota,"Dr. Dr. H. Maulana, Mkm",146704,55.73,TRUE,1,,100
32,2018,Kabupaten Merangin,1,Wakil Bupati,Sujarmin,37333,19.88,TRUE,0,64.65,
32,2018,Kabupaten Merangin,2,Wakil Bupati,"Mashuri, S.Pd., Mm.",84068,44.77,TRUE,0,80.12,
32,2018,Kabupaten Merangin,3,Wakil Bupati,"Drs. H. Abdul Khafidh.,Mm.",66392,35.35,TRUE,1,,80.12
33,2018,Kabupaten Bandung Barat,1,Wakil Bupati,"Drs. Maman Sulaeman Sunjaya, M.Si",195763,22.62,TRUE,0,51.55,
33,2018,Kabupaten Bandung Barat,2,Wakil Bupati,"Dr. Hj. Pupu Sari Rohayati, Mh. Kes",250355,28.93,TRUE,0,77.38,
33,2018,Kabupaten Bandung Barat,3,Wakil Bupati,Hengki Kurniawan,419225,48.45,TRUE,1,,77.38
34,2018,Kabupaten Bogor,1,Wakil Bupati,H. R. Bayu Syahjohan,18355,8.26,TRUE,0,48.89,
34,2018,Kabupaten Bogor,2,Wakil Bupati,"H. Iwan Setiawan, Se",903231,40.63,TRUE,0,79.36,
34,2018,Kabupaten Bogor,3,Wakil Bupati,"Ingrid Maria Palupi Kansil, S.Sos",860958,38.73,TRUE,0,43.31,
34,2018,Kabupaten Bogor,4,Wakil Bupati,Ficky Rhoma Irama,101711,4.58,TRUE,0,12.38,
34,2018,Kabupaten Bogor,5,Wakil Bupati,"Asep Ruhiyat, S.Sos.,Mm",173378,7.8,TRUE,1,,12.38
35,2018,Kabupaten Ciamis,1,Wakil Bupati,Yana Diana Putra,41456,59.59,TRUE,0,100,
35,2018,Kabupaten Ciamis,2,Wakil Bupati,H. Oih Burhanudin,281177,40.41,TRUE,1,,100
36,2018,Kabupaten Cirebon,1,Wakil Bupati,Dian Hernawa Susanty,272429,27.28,TRUE,0,58.22,
36,2018,Kabupaten Cirebon,2,Wakil Bupati,Drs. H. Imron,309048,30.94,TRUE,0,46.31,
36,2018,Kabupaten Cirebon,3,Wakil Bupati,Drs. H. Yayat Ruhyat,153524,15.37,TRUE,0,41.78,
36,2018,Kabupaten Cirebon,4,Wakil Bupati,Nurul Qomar,263788,26.41,TRUE,1,,41.78
37,2018,Kabupaten Garut,1,Wakil Bupati,Helmi Budiman,427463,35.83,TRUE,0,68.64,
37,2018,Kabupaten Garut,2,Wakil Bupati,"Dedi Hasan, Se",391393,32.81,TRUE,0,43.99,
37,2018,Kabupaten Garut,3,Wakil Bupati,"Wiwin Suwindaryati, Sh",133317,11.18,TRUE,0,31.36,
37,2018,Kabupaten Garut,4,Wakil Bupati,Pradana Aditya Wicaksana,240702,20.18,TRUE,1,,31.36
38,2018,Kota Bandung,1,Wakil Walikota,Chairul Yaqin Hidayat,302291,23.9,TRUE,0,49.98,
38,2018,Kota Bandung,2,Wakil Walikota,"Aries Supriyatna, Sh., Mh",329878,26.08,TRUE,0,76.1,
38,2018,Kota Bandung,3,Wakil Walikota,H. Yana Mulyana,632723,50.02,TRUE,1,,76.1
39,2018,Kota Banjar,1,Wakil Walikota,Nana Suryana,5802,52.36,TRUE,0,100,
39,2018,Kota Banjar,2,Wakil Walikota,Dr. Hj. Irma Darmawatie Bastaman,52784,47.64,TRUE,1,,100
40,2018,Kota Bekasi,1,Wakil Walikota,"Dr. Tri Adhianto Tjahyono, Se, Mm",694446,67.5,TRUE,0,100,
40,2018,Kota Bekasi,2,Wakil Walikota,"Dr. H. Adhy Firdaus Saady, Mm",334389,32.5,TRUE,1,,100
41,2018,Kota Bogor,1,Wakil Walikota,Zaenul Mutaqin,146929,31.03,TRUE,0,43.59,
41,2018,Kota Bogor,2,Wakil Walikota,Sefwelly Gynanjar Djoyodiningrat,59456,12.56,TRUE,0,56,
41,2018,Kota Bogor,3,Wakil Walikota,"Drs. Dedie A Rachim, Ma",205686,43.44,TRUE,0,56.42,
41,2018,Kota Bogor,4,Wakil Walikota,"Sugeng Teguh Santoso, S.H",61444,12.98,TRUE,1,,56.42
42,2018,Kota Cirebon,1,Wakil Walikota,"Effendi Edo, Sap., M.Si",78587,49.42,TRUE,0,100,
42,2018,Kota Cirebon,2,Wakil Walikota,Dra. Hj. Eti Herawati,80422,50.58,TRUE,1,,100
43,2018,Kota Sukabumi,1,Wakil Walikota,"Dr. H. Muhamad Noor Hanafie Zain, M.Si.",38217,23.26,TRUE,0,74.4,
43,2018,Kota Sukabumi,2,Wakil Walikota,H. Andri Setiawan Hamami,84032,51.14,TRUE,0,68.92,
43,2018,Kota Sukabumi,3,Wakil Walikota,Hj. Ima Slamet,2922,17.78,TRUE,0,25.6,
43,2018,Kota Sukabumi,4,Wakil Walikota,"Hikmat Nuristawan, Se., Mm.",12856,7.82,TRUE,1,,25.6
44,2018,Kabupaten Kuningan,1,Wakil Bupati,"H. Yosa Octora Santono, S.Si,. M.M.",196002,32.58,TRUE,0,60.27,
44,2018,Kabupaten Kuningan,2,Wakil Bupati,"H. Udin Kusnedi, S.E., M.Si.",166545,27.69,TRUE,0,67.42,
44,2018,Kabupaten Kuningan,3,Wakil Bupati,"Muhammad Ridho Suganda, S.H., M.Si.",23902,39.73,TRUE,1,,67.42
45,2018,Kabupaten Majalengka,1,Wakil Bupati,Jefry Romdonny,133433,19.87,TRUE,0,65.97,
45,2018,Kabupaten Majalengka,2,Wakil Bupati,Tarsono D. Mardiana,309633,46.1,TRUE,0,80.13,
45,2018,Kabupaten Majalengka,3,Wakil Bupati,Drs. H.M. Taufan Ansyar,228535,34.03,TRUE,1,,80.13
46,2018,Kabupaten Purwakarta,1,Wakil Bupati,Acep Maman,87961,17.71,TRUE,0,61.5,
46,2018,Kabupaten Purwakarta,2,Wakil Bupati,H. Aming,217488,43.79,TRUE,0,82.29,
46,2018,Kabupaten Purwakarta,3,Wakil Bupati,"Luthfi, A. Md",191252,38.5,TRUE,1,,82.29
47,2018,Kabupaten Subang,1,Wakil Bupati,"Ir. Agus Masykur Rosyadi, S.Si",307157,39.95,TRUE,0,69.71,
47,2018,Kabupaten Subang,2,Wakil Bupati,Sutarno,228751,29.76,TRUE,0,60.05,
47,2018,Kabupaten Subang,3,Wakil Bupati,"Dr. Drs. H. Budi Setiadi, M.Si",232858,30.29,TRUE,1,,60.05
48,2018,Kabupaten Sumedang,1,Wakil Bupati,"Erwan Setiawan, S.E.",275323,42.83,TRUE,0,53.56,
48,2018,Kabupaten Sumedang,2,Wakil Bupati,"Sonia Sugian, S.H.",68949,10.73,TRUE,0,29.42,
48,2018,Kabupaten Sumedang,3,Wakil Bupati,"Asep Kurnia, S.H., M.H.",120163,18.69,TRUE,0,34.66,
48,2018,Kabupaten Sumedang,4,Wakil Bupati,"Sidik Jafar, S.E.",10267,15.97,TRUE,0,27.74,
48,2018,Kabupaten Sumedang,5,Wakil Bupati,"Mohamad Agung Anugrah, S.E., Ak.",75667,11.77,TRUE,1,,27.74
49,2018,Kabupaten Banyumas,1,Wakil Bupati,"Dr. Ir. H. Ifan Haryanto, M.Sc",409408,44.32,TRUE,0,100,
49,2018,Kabupaten Banyumas,2,Wakil Bupati,Drs. H. Sadewo Tri Lastiono,514412,55.68,TRUE,1,,100
50,2018,Kabupaten Karanganyar,1,Wakil Bupati,"Ida Retno Wahyuningsih, Se",231356,43.8,TRUE,0,100,
50,2018,Kabupaten Karanganyar,2,Wakil Bupati,"H. Rober Christanto, Se",296873,56.2,TRUE,1,,100
51,2018,Kota Tegal,1,Wakil Walikota,H. Wartono,21029,15.48,TRUE,0,28.13,
51,2018,Kota Tegal,2,Wakil Walikota,Dr. H. Muslih Dahlan,17189,12.65,TRUE,0,40.66,
51,2018,Kota Tegal,3,Wakil Walikota,"Muhamad Jumadi, S.T., M.M.",38041,28.01,TRUE,0,55.82,
51,2018,Kota Tegal,4,Wakil Walikota,"Hj. Tanty Prasetyo Ningrum, S.H., M.M.",3777,27.81,TRUE,0,43.86,
51,2018,Kota Tegal,5,Wakil Walikota,Sugono,21802,16.05,TRUE,1,,43.86
52,2018,Kabupaten Kudus,1,Wakil Bupati,"Drs. H. Noor Yasin, Mm",194205,38.52,TRUE,0,39.99,
52,2018,Kabupaten Kudus,2,Wakil Bupati,"Junaidi, Sh",7389,1.47,TRUE,0,16.72,
52,2018,Kabupaten Kudus,3,Wakil Bupati,"H. Setia Budi Wibowo, S.Ag, Mm",76904,15.25,TRUE,0,17.49,
52,2018,Kabupaten Kudus,4,Wakil Bupati,"H. Hadi Sucipto, S.Pd, Mm",11315,2.24,TRUE,0,44.75,
52,2018,Kabupaten Kudus,5,Wakil Bupati,"Hm. Hartopo, St, Mm, Mh",214313,42.51,TRUE,1,,44.75
53,2018,Kabupaten Magelang,1,Wakil Bupati,"Edi Cahyana, Se",392996,55.6,TRUE,0,100,
53,2018,Kabupaten Magelang,2,Wakil Bupati,"H. Rohadi Pratoto, Sh, M.Si",313817,44.4,TRUE,1,,100
54,2018,Kabupaten Tegal,1,Wakil Bupati,"H. Fatchuddin, Se",6415,8.78,TRUE,0,29.04,
54,2018,Kabupaten Tegal,2,Wakil Bupati,"H. Drajat Adi Prayitno, S.Kom, Mm",148037,20.26,TRUE,0,91.21,
54,2018,Kabupaten Tegal,3,Wakil Bupati,"Sabilillah Ardie, B.Sc",518327,70.95,TRUE,1,,91.21
55,2018,Kabupaten Temanggung,1,Wakil Bupati,Matoha,156964,32.97,TRUE,0,45.76,
55,2018,Kabupaten Temanggung,2,Wakil Bupati,Irawan Prasetyadi,60894,12.79,TRUE,0,67.03,
55,2018,Kabupaten Temanggung,3,Wakil Bupati,Drs.R.Heri Ibnu Wibowo,258243,54.24,TRUE,1,,67.03
56,2018,Kabupaten Bangkalan,1,Wakil Bupati,"Drs. Ec. Sudarmawan, Mm",184358,33.85,TRUE,0,55.22,
56,2018,Kabupaten Bangkalan,2,Wakil Bupati,Ir. H. Mondir A. Rofii,1164,21.37,TRUE,0,66.15,
56,2018,Kabupaten Bangkalan,3,Wakil Bupati,"Drs. Mohni, Mm",243939,44.78,TRUE,1,,66.15
57,2018,Kabupaten Bojonegoro,1,Wakil Bupati,"Hj. Mitro'Atin, S.Pd.",187487,25.49,TRUE,0,44.93,
57,2018,Kabupaten Bojonegoro,2,Wakil Bupati,"Drs. H. Kuswiyanto, M.Si.",142948,19.44,TRUE,0,50,
57,2018,Kabupaten Bojonegoro,3,Wakil Bupati,"Drs. H. Budi Irawanto, M.Pd.",224756,30.56,TRUE,0,55.07,
57,2018,Kabupaten Bojonegoro,4,Wakil Bupati,"Pudji Dewanto, Sh., Mm.",180287,24.51,TRUE,1,,55.07
58,2018,Kabupaten Bondowoso,1,Wakil Bupati,"H. Irwan Bachtiar Rachmat,Se.M.Si",227521,52.04,TRUE,0,100,
58,2018,Kabupaten Bondowoso,2,Wakil Bupati,Drs. Hidayat.M.Si,20965,47.96,TRUE,1,,100
59,2018,Kabupaten Jombang,1,Wakil Bupati,Sumrambah,308609,48.29,TRUE,0,82.64,
59,2018,Kabupaten Jombang,2,Wakil Bupati,"Drs. M. Subaidi, M.Si.",219517,34.35,TRUE,0,51.71,
59,2018,Kabupaten Jombang,3,Wakil Bupati,"H. Choirul Anam, St",11093,17.36,TRUE,1,,51.71
60,2018,Kota Kediri,1,Wakil Walikota,Sudjono Teguh Widjaja,29848,20.15,TRUE,0,77.89,
60,2018,Kota Kediri,2,Wakil Walikota,Lilik Muhibbah,85514,57.74,TRUE,0,79.85,
60,2018,Kota Kediri,3,Wakil Walikota,"Teguh Juniadi, Se",32752,22.11,TRUE,1,,79.85
61,2018,Kota Madiun,1,Wakil Walikota,"Inda Raya Ayu Miko Saputri, S.E., Mib",39465,38.53,TRUE,0,73.05,
61,2018,Kota Madiun,2,Wakil Walikota,"Arief Rahman, S.T., M.M.",35353,34.52,TRUE,0,61.47,
61,2018,Kota Madiun,3,Wakil Walikota,"Bambang Wahyudi, St",27608,26.95,TRUE,1,,61.47
62,2018,Kota Malang,1,Wakil Walikota,H. Wanedi,70006,18.89,TRUE,0,55.49,
62,2018,Kota Malang,2,Wakil Walikota,"H. Syamsul Mahmud, Se",135652,36.6,TRUE,0,81.11,
62,2018,Kota Malang,3,Wakil Walikota,Sofyan Edi Jarwoko,164995,44.51,TRUE,1,,81.11
63,2018,Kota Mojokerto,1,Wakil Walikota,Rambo Garudo,19853,27.63,TRUE,0,54.6,
63,2018,Kota Mojokerto,2,Wakil Walikota,"Ade Ria Suryani, Sh., Mh",19378,26.97,TRUE,0,39.52,
63,2018,Kota Mojokerto,3,Wakil Walikota,Moeljadi,9013,12.55,TRUE,0,45.4,
63,2018,Kota Mojokerto,4,Wakil Walikota,Achmad Rizal Zakaria,236,32.85,TRUE,1,,45.4
64,2018,Kota Probolinggo,1,Wakil Walikota,Ferry Rahyuwono,3342,2.66,TRUE,0,39.94,
64,2018,Kota Probolinggo,2,Wakil Walikota,Ir. H. Zulfikar Imawan,46777,37.28,TRUE,0,49.25,
64,2018,Kota Probolinggo,3,Wakil Walikota,"Kulup Widyono, Se",15022,11.97,TRUE,0,60.06,
64,2018,Kota Probolinggo,4,Wakil Walikota,Moch. Soufis Subri,6035,48.09,TRUE,1,,60.06
65,2018,Kabupaten Lumajang,1,Wakil Bupati,"Ir. Hj.  Indah Amperawati, M.Si",246954,42.53,TRUE,0,77.2,
65,2018,Kabupaten Lumajang,2,Wakil Bupati,H. Thoriq,201305,34.67,TRUE,0,57.48,
65,2018,Kabupaten Lumajang,3,Wakil Bupati,Ir. Nurul Huda,132431,22.81,TRUE,1,,57.48
66,2018,Kabupaten Madiun,1,Wakil Bupati,"H.Hari Wuryanto,Sh,M.Ak",162012,40.17,TRUE,0,62.65,
66,2018,Kabupaten Madiun,2,Wakil Bupati,Ir.Sukiman.M.Si,9067,22.48,TRUE,0,59.83,
66,2018,Kabupaten Madiun,3,Wakil Bupati,"Suprapto,Se",150668,37.35,TRUE,1,,59.83
67,2018,Kabupaten Magetan,1,Wakil Bupati,Nur Wahid,115395,30.09,TRUE,0,56.99,
67,2018,Kabupaten Magetan,2,Wakil Bupati,"Joko Suyono, S.Sos",103176,26.9,TRUE,0,69.91,
67,2018,Kabupaten Magetan,3,Wakil Bupati,"Hj. Nanik Endang Rusminiarti, M.Pd",164932,43.01,TRUE,1,,69.91
68,2018,Kabupaten Nganjuk,1,Wakil Bupati,"Dr. Drs. H. Marhaen Djumadi, Se, Sh, Mm, Mba",303175,54.71,TRUE,0,89.78,
68,2018,Kabupaten Nganjuk,2,Wakil Bupati,"Bimantoro Wiyono, Sh",194338,35.07,TRUE,0,45.28,
68,2018,Kabupaten Nganjuk,3,Wakil Bupati,"Drs. Ainul Yakin, M.Si",56593,10.21,TRUE,1,,45.28
69,2018,Kabupaten Pamekasan,1,Wakil Bupati,"Raja'E, S.Hi",259444,53.34,TRUE,0,100,
69,2018,Kabupaten Pamekasan,2,Wakil Bupati,"Fathor Rohman, M.Si",226935,46.66,TRUE,1,,100
