Provinsi,Kabupaten/Kota,Indikator,Jumlah
Sumatera Utara,Tapanuli Tengah,Jumlah TPS,553
Sumatera Utara,Tapanuli Utara,Jumlah TPS,627
Sumatera Utara,Toba Samosir,Jumlah TPS,470
Aceh,Aceh Selatan,Jumlah Pemilih Laki-Laki,73355
Aceh,Kota Subulussalam,Jumlah Pemilih Laki-Laki,24702
Aceh,Pidie Jaya,Jumlah Pemilih Laki-Laki,51658
Bali,Badung,Jumlah Pemilih Laki-Laki,176955
Bali,Bangli,Jumlah Pemilih Laki-Laki,92534
Bali,Buleleng,Jumlah Pemilih Laki-Laki,279849
Bali,Gianyar,Jumlah Pemilih Laki-Laki,180808
Bali,Jembrana,Jumlah Pemilih Laki-Laki,111834
Bali,Karangasem,Jumlah Pemilih Laki-Laki,190256
Bali,Klungkung,Jumlah Pemilih Laki-Laki,77395
Bali,Kota Denpasar,Jumlah Pemilih Laki-Laki,201768
Bali,Tabanan,Jumlah Pemilih Laki-Laki,176423
Banten,Kota Serang,Jumlah Pemilih Laki-Laki,213538
Banten,Kota Tangerang,Jumlah Pemilih Laki-Laki,514146
Banten,Lebak,Jumlah Pemilih Laki-Laki,47306
Banten,Tangerang,Jumlah Pemilih Laki-Laki,931676
Bengkulu,Kota Bengkulu,Jumlah Pemilih Laki-Laki,113867
Gorontalo,Gorontalo Utara,Jumlah Pemilih Laki-Laki,41609
Gorontalo,Kota Gorontalo,Jumlah Pemilih Laki-Laki,6147
Jambi,Kerinci,Jumlah Pemilih Laki-Laki,101555
Jambi,Kota Jambi,Jumlah Pemilih Laki-Laki,189564
Jambi,Merangin,Jumlah Pemilih Laki-Laki,124352
Jawa Barat,Bandung,Jumlah Pemilih Laki-Laki,1179431
Jawa Barat,Bandung Barat,Jumlah Pemilih Laki-Laki,584455
Jawa Barat,Bekasi,Jumlah Pemilih Laki-Laki,922362
Jawa Barat,Bogor,Jumlah Pemilih Laki-Laki,1688275
Jawa Barat,Ciamis,Jumlah Pemilih Laki-Laki,458015
Jawa Barat,Cianjur,Jumlah Pemilih Laki-Laki,840398
Jawa Barat,Cirebon,Jumlah Pemilih Laki-Laki,822972
Jawa Barat,Garut,Jumlah Pemilih Laki-Laki,915896
Jawa Barat,Indramayu,Jumlah Pemilih Laki-Laki,654832
Jawa Barat,Karawang,Jumlah Pemilih Laki-Laki,802216
Jawa Barat,Kota Bandung,Jumlah Pemilih Laki-Laki,826393
Jawa Barat,Kota Banjar,Jumlah Pemilih Laki-Laki,7077
Jawa Barat,Kota Bekasi,Jumlah Pemilih Laki-Laki,713848
Jawa Barat,Kota Bogor,Jumlah Pemilih Laki-Laki,338072
Jawa Barat,Kota Cimahi,Jumlah Pemilih Laki-Laki,180788
Jawa Barat,Kota Cirebon,Jumlah Pemilih Laki-Laki,113843
Jawa Barat,Kota Depok,Jumlah Pemilih Laki-Laki,573547
Jawa Barat,Kota Sukabumi,Jumlah Pemilih Laki-Laki,111857
Jawa Barat,Kota Tasikmalaya,Jumlah Pemilih Laki-Laki,238749
Jawa Barat,Kuningan,Jumlah Pemilih Laki-Laki,421957
Jawa Barat,Majalengka,Jumlah Pemilih Laki-Laki,472841
Jawa Barat,Pangandaran,Jumlah Pemilih Laki-Laki,154051
Jawa Barat,Purwakarta,Jumlah Pemilih Laki-Laki,327798
Jawa Barat,Subang,Jumlah Pemilih Laki-Laki,547239
Jawa Barat,Sukabumi,Jumlah Pemilih Laki-Laki,908542
Jawa Barat,Sumedang,Jumlah Pemilih Laki-Laki,415751
Jawa Barat,Tasikmalaya,Jumlah Pemilih Laki-Laki,660595
Jawa Tengah,Banjarnegara,Jumlah Pemilih Laki-Laki,387839
Jawa Tengah,Banyumas,Jumlah Pemilih Laki-Laki,649154
Jawa Tengah,Batang,Jumlah Pemilih Laki-Laki,293597
Jawa Tengah,Blora,Jumlah Pemilih Laki-Laki,339858
Jawa Tengah,Boyolali,Jumlah Pemilih Laki-Laki,386354
Jawa Tengah,Brebes,Jumlah Pemilih Laki-Laki,731008
Jawa Tengah,Cilacap,Jumlah Pemilih Laki-Laki,721803
Jawa Tengah,Demak,Jumlah Pemilih Laki-Laki,423283
Jawa Tengah,Grobogan,Jumlah Pemilih Laki-Laki,540361
Jawa Tengah,Jepara,Jumlah Pemilih Laki-Laki,422492
Jawa Tengah,Karanganyar,Jumlah Pemilih Laki-Laki,336726
Jawa Tengah,Kebumen,Jumlah Pemilih Laki-Laki,529827
Jawa Tengah,Kendal,Jumlah Pemilih Laki-Laki,376757
Jawa Tengah,Klaten,Jumlah Pemilih Laki-Laki,482132
Jawa Tengah,Kota Magelang,Jumlah Pemilih Laki-Laki,42976
Jawa Tengah,Kota Pekalongan,Jumlah Pemilih Laki-Laki,108496
Jawa Tengah,Kota Salatiga,Jumlah Pemilih Laki-Laki,63267
Jawa Tengah,Kota Semarang,Jumlah Pemilih Laki-Laki,541021
Jawa Tengah,Kota Surakarta,Jumlah Pemilih Laki-Laki,195144
Jawa Tengah,Kota Tegal,Jumlah Pemilih Laki-Laki,98866
Jawa Tengah,Kudus,Jumlah Pemilih Laki-Laki,301679
Jawa Tengah,Magelang,Jumlah Pemilih Laki-Laki,481347
Jawa Tengah,Pati,Jumlah Pemilih Laki-Laki,497388
Jawa Tengah,Pekalongan,Jumlah Pemilih Laki-Laki,36069
Jawa Tengah,Pemalang,Jumlah Pemilih Laki-Laki,542861
Jawa Tengah,Purbalingga,Jumlah Pemilih Laki-Laki,369133
Jawa Tengah,Purworejo,Jumlah Pemilih Laki-Laki,300444
Jawa Tengah,Rembang,Jumlah Pemilih Laki-Laki,23668
Jawa Tengah,Semarang,Jumlah Pemilih Laki-Laki,372605
Jawa Tengah,Sragen,Jumlah Pemilih Laki-Laki,377144
Jawa Tengah,Sukoharjo,Jumlah Pemilih Laki-Laki,323442
Jawa Tengah,Tegal,Jumlah Pemilih Laki-Laki,592154
Jawa Tengah,Temanggung,Jumlah Pemilih Laki-Laki,295239
Jawa Tengah,Wonogiri,Jumlah Pemilih Laki-Laki,422747
Jawa Tengah,Wonosobo,Jumlah Pemilih Laki-Laki,334488
Jawa Timur,Bangkalan,Jumlah Pemilih Laki-Laki,416083
Jawa Timur,Banyuwangi,Jumlah Pemilih Laki-Laki,62342
Jawa Timur,Blitar,Jumlah Pemilih Laki-Laki,467251
Jawa Timur,Bojonegoro,Jumlah Pemilih Laki-Laki,509497
Jawa Timur,Bondowoso,Jumlah Pemilih Laki-Laki,27818
Jawa Timur,Gresik,Jumlah Pemilih Laki-Laki,448514
Jawa Timur,Jember,Jumlah Pemilih Laki-Laki,893313
Jawa Timur,Jombang,Jumlah Pemilih Laki-Laki,488066
Jawa Timur,Kediri,Jumlah Pemilih Laki-Laki,594599
Jawa Timur,Kota Batu,Jumlah Pemilih Laki-Laki,74085
Jawa Timur,Kota Blitar,Jumlah Pemilih Laki-Laki,53879
Jawa Timur,Kota Kediri,Jumlah Pemilih Laki-Laki,97885
Jawa Timur,Kota Madiun,Jumlah Pemilih Laki-Laki,71433
