Tahun,Daerah,No Pasangan,Jabatan,Nama
2018,Kota Subulussalam,1,Walikota,Drh. Jalaluddin
2018,Kota Subulussalam,1,Wakil Walikota,Wagiman
2018,Kota Subulussalam,2,Walikota,"Hj. Sartina, Na, Se. M.Si"
2018,Kota Subulussalam,2,Wakil Walikota,"Dedi Anwar Bancin, Se"
2018,Kota Subulussalam,3,Walikota,"H. Asmauddin, Se"
2018,Kota Subulussalam,3,Wakil Walikota,"Hj. Asmidar, S.Pd"
2018,Kota Subulussalam,4,Walikota,"H. Anasri, St. Mt"
2018,Kota Subulussalam,4,Wakil Walikota,Sabaruddin S. S.Pd.I
2018,Kota Subulussalam,5,Walikota,"H. Affan Alfian, Se"
2018,Kota Subulussalam,5,Wakil Walikota,"Drs. Salmaza, M.Ap"
2018,Kabupaten Pidie Jaya,1,Bupati,Ir. H. Yusri Yusuf
2018,Kabupaten Pidie Jaya,1,Wakil Bupati,Kolonel (Purn) Saifullah
2018,Kabupaten Pidie Jaya,2,Bupati,Aiyub Bin Abbas
2018,Kabupaten Pidie Jaya,2,Wakil Bupati,"Said Mulyadi, Se, M.Si"
2018,Kabupaten Pidie Jaya,3,Bupati,Muhibbuddin M.Husen
2018,Kabupaten Pidie Jaya,3,Wakil Bupati,H. M. Yusuf Ibrahim
2018,Kabupaten Pidie Jaya,4,Bupati,Muhammad Yusuf
2018,Kabupaten Pidie Jaya,4,Wakil Bupati,Ir.Anwar Ishak
2018,Kabupaten Gianyar,1,Bupati,"Tjokorda Raka Kerthyasa, S.Sos., M.Si."
2018,Kabupaten Gianyar,1,Wakil Bupati,"Pande Istri Maharani Prima Dewi,Se.,Mm."
2018,Kabupaten Gianyar,2,Bupati,"I Made Mahayastra, Sst.Par., Map."
2018,Kabupaten Gianyar,2,Wakil Bupati,"Anak Agung Gde Mayun, Sh."
2018,Kabupaten Klungkung,1,Bupati,Tjokorda Bagus Oka
2018,Kabupaten Klungkung,1,Wakil Bupati,I Ketut Mandia
2018,Kabupaten Klungkung,2,Bupati,I Nyoman Suwirta
2018,Kabupaten Klungkung,2,Wakil Bupati,I Made Kasta
2018,Kota Serang,1,Walikota,Vera Nurlaela
2018,Kota Serang,1,Wakil Walikota,"Nurhasan, Se"
2018,Kota Serang,2,Walikota,"Samsul Hidayat, S.Pd.I"
2018,Kota Serang,2,Wakil Walikota,"Rohman, S.Pd.I, M.A."
2018,Kota Serang,3,Walikota,"H. Syafrudin, S.Sos, M.Si"
2018,Kota Serang,3,Wakil Walikota,"H. Subadri Usuludin, Sh"
2018,Kota Tangerang,1,Walikota,H. Arief R Wismansyah
2018,Kota Tangerang,1,Wakil Walikota,Drs. H. Sachrudin
2018,Kabupaten Lebak,1,Bupati,"Hj. Iti Octavia Jayabaya, Se., Mm"
2018,Kabupaten Lebak,1,Wakil Bupati,"H. Ade Sumardi, Se"
2018,Kabupaten Tangerang,1,Bupati,"Ahmed Zaki Iskandar Z, B.Bus,Se,M.Si"
2018,Kabupaten Tangerang,1,Wakil Bupati,"H. Mad Romli, Sh.,Mm"
2018,Kota Bengkulu,1,Walikota,David Suardi
2018,Kota Bengkulu,1,Wakil Walikota,"Drs. Bakhsir, Mm"
2018,Kota Bengkulu,2,Walikota,"Hj. Erna Sari Dewi, S.E"
2018,Kota Bengkulu,2,Wakil Walikota,"H. Ahmad Zarkasi, S.P., M.Si"
2018,Kota Bengkulu,3,Walikota,"H. Helmi, S.E."
2018,Kota Bengkulu,3,Wakil Walikota,"Dedy Wahyudi, S.E, M.M"
2018,Kota Bengkulu,4,Walikota,Ir. Patriana Sosialinda
2018,Kota Bengkulu,4,Wakil Walikota,"Mirza, S.H., M.Kn"
2018,Kabupaten Gorontalo Utara,1,Bupati,"Dr. H. Indra Yasin, Sh., Mh"
2018,Kabupaten Gorontalo Utara,1,Wakil Bupati,"Thariq Modanggu, S.Ag., M.Pd.I"
2018,Kabupaten Gorontalo Utara,2,Bupati,"H. Idrus M.T. Mopili, Se., Mm"
2018,Kabupaten Gorontalo Utara,2,Wakil Bupati,Hj. Suhelah
2018,Kabupaten Gorontalo Utara,3,Bupati,Drs. H. Roni Imran
2018,Kabupaten Gorontalo Utara,3,Wakil Bupati,Ir. H. Ismail Patamani
2018,Kota Gorontalo,1,Walikota,"H. Adhan Dambea, Sh, S.Sos, Ma"
2018,Kota Gorontalo,1,Wakil Walikota,"Hardi Saleh Hemeto, Se, M.Si"
2018,Kota Gorontalo,2,Walikota,"H. Marten A. Taha, Se., M.Ec Dev"
2018,Kota Gorontalo,2,Wakil Walikota,"Ryan Fahrichsan Kono, B.Com"
2018,Kota Gorontalo,3,Walikota,Drs. H. Rum Pagau
2018,Kota Gorontalo,3,Wakil Walikota,Dr. Rusliyanto Monoarfa
2018,Kabupaten Kerinci,1,Bupati,"Monadi, S.Sos, M.Si"
2018,Kabupaten Kerinci,1,Wakil Bupati,"Edison, Sh"
2018,Kabupaten Kerinci,2,Bupati,"Dr. H. Adirozal, M.Si"
2018,Kabupaten Kerinci,2,Wakil Bupati,Ir. H. Ami Taher
2018,Kabupaten Kerinci,3,Bupati,"Zainal Abidin, Sh, Mh"
2018,Kabupaten Kerinci,3,Wakil Bupati,Arsal Apri
2018,Kota Jambi,1,Walikota,"Drs. H. Abdullah Sani, M.Pd.I"
2018,Kota Jambi,1,Wakil Walikota,"Kemas Alfarizi, Se"
2018,Kota Jambi,2,Walikota,"Dr. H. Syarif Fasha, Me"
2018,Kota Jambi,2,Wakil Walikota,"Dr. Dr. H. Maulana, Mkm"
2018,Kabupaten Merangin,1,Bupati,"Ir. H. Ahmad Fauzi, Mt"
2018,Kabupaten Merangin,1,Wakil Bupati,Sujarmin
2018,Kabupaten Merangin,2,Bupati,"Dr. H. Al Haris, S.Sos., Mh."
2018,Kabupaten Merangin,2,Wakil Bupati,"Mashuri, S.Pd., Mm."
2018,Kabupaten Merangin,3,Bupati,"Dr. Drs. H. Nalim.Sh.,Mm."
2018,Kabupaten Merangin,3,Wakil Bupati,"Drs. H. Abdul Khafidh.,Mm."
2018,Kabupaten Bandung Barat,1,Bupati,"Dra. Hj. Elin Suharliah, M.Si"
2018,Kabupaten Bandung Barat,1,Wakil Bupati,"Drs. Maman Sulaeman Sunjaya, M.Si"
2018,Kabupaten Bandung Barat,2,Bupati,Ir. H. Doddy Imron Cholid
2018,Kabupaten Bandung Barat,2,Wakil Bupati,"Dr. Hj. Pupu Sari Rohayati, Mh. Kes"
2018,Kabupaten Bandung Barat,3,Bupati,"Aa Umbara Sutisna, S.Ip"
2018,Kabupaten Bandung Barat,3,Wakil Bupati,Hengki Kurniawan
2018,Kabupaten Bogor,1,Bupati,"H. Fitri Putra Nugraha, Sos"
2018,Kabupaten Bogor,1,Wakil Bupati,H. R. Bayu Syahjohan
2018,Kabupaten Bogor,2,Bupati,Ade Yasin
2018,Kabupaten Bogor,2,Wakil Bupati,"H. Iwan Setiawan, Se"
2018,Kabupaten Bogor,3,Bupati,"H. Ade Ruhandi - Jaro Ade, Se"
2018,Kabupaten Bogor,3,Wakil Bupati,"Ingrid Maria Palupi Kansil, S.Sos"
2018,Kabupaten Bogor,4,Bupati,Ir. H. Gunawan Hasan
2018,Kabupaten Bogor,4,Wakil Bupati,Ficky Rhoma Irama
2018,Kabupaten Bogor,5,Bupati,"Ade Wardhana Adinata, Se.,Mm"
2018,Kabupaten Bogor,5,Wakil Bupati,"Asep Ruhiyat, S.Sos.,Mm"
2018,Kabupaten Ciamis,1,Bupati,H. Herdiat Sunarya
2018,Kabupaten Ciamis,1,Wakil Bupati,Yana Diana Putra
2018,Kabupaten Ciamis,2,Bupati,H. Iing Syam Arifin
2018,Kabupaten Ciamis,2,Wakil Bupati,H. Oih Burhanudin
2018,Kabupaten Cirebon,1,Bupati,"Drs. H. Kalinga, Mm"
2018,Kabupaten Cirebon,1,Wakil Bupati,Dian Hernawa Susanty
2018,Kabupaten Cirebon,2,Bupati,"Dr. H. Sunjaya Purwadisastra, M.M., M.Si."
2018,Kabupaten Cirebon,2,Wakil Bupati,Drs. H. Imron
2018,Kabupaten Cirebon,3,Bupati,H. Rakhmat
2018,Kabupaten Cirebon,3,Wakil Bupati,Drs. H. Yayat Ruhyat
2018,Kabupaten Cirebon,4,Bupati,"H. Mohamad Luthfi, St"
2018,Kabupaten Cirebon,4,Wakil Bupati,Nurul Qomar
2018,Kabupaten Garut,1,Bupati,"H. Rudy Gunawan, Sh., Mh., Mp"
2018,Kabupaten Garut,1,Wakil Bupati,Helmi Budiman
2018,Kabupaten Garut,2,Bupati,Iman Alirahman
2018,Kabupaten Garut,2,Wakil Bupati,"Dedi Hasan, Se"
2018,Kabupaten Garut,3,Bupati,"Suryana, S.Ag"
2018,Kabupaten Garut,3,Wakil Bupati,"Wiwin Suwindaryati, Sh"
2018,Kabupaten Garut,4,Bupati,"H. Agus Hamdani Gs, S.Pd.I"
2018,Kabupaten Garut,4,Wakil Bupati,Pradana Aditya Wicaksana
2018,Kota Bandung,1,Walikota,Nurul Qomaril Arifin
2018,Kota Bandung,1,Wakil Walikota,Chairul Yaqin Hidayat
2018,Kota Bandung,2,Walikota,"Dr. H. Yossi Irianto, M.Si"
2018,Kota Bandung,2,Wakil Walikota,"Aries Supriyatna, Sh., Mh"
2018,Kota Bandung,3,Walikota,Oded Mohamad Danial
2018,Kota Bandung,3,Wakil Walikota,H. Yana Mulyana
2018,Kota Banjar,1,Walikota,"Hj. Ade Uu Sukaesih, S.Ip, M.Si"
2018,Kota Banjar,1,Wakil Walikota,Nana Suryana
2018,Kota Banjar,2,Walikota,Maman Suryaman
2018,Kota Banjar,2,Wakil Walikota,Dr. Hj. Irma Darmawatie Bastaman
2018,Kota Bekasi,1,Walikota,Dr. Rahmat Effendi
2018,Kota Bekasi,1,Wakil Walikota,"Dr. Tri Adhianto Tjahyono, Se, Mm"
2018,Kota Bekasi,2,Walikota,"Dr. Nur Supriyanto, Mm"
2018,Kota Bekasi,2,Wakil Walikota,"Dr. H. Adhy Firdaus Saady, Mm"
2018,Kota Bogor,1,Walikota,"Drh. H. Achmad Ru'Yat, M.Si"
2018,Kota Bogor,1,Wakil Walikota,Zaenul Mutaqin
2018,Kota Bogor,2,Walikota,"H. Edgar Suratman, Se., Mm"
2018,Kota Bogor,2,Wakil Walikota,Sefwelly Gynanjar Djoyodiningrat
2018,Kota Bogor,3,Walikota,Dr. H. Bima Arya Sugiarto
2018,Kota Bogor,3,Wakil Walikota,"Drs. Dedie A Rachim, Ma"
2018,Kota Bogor,4,Walikota,"H. Dadang Iskandar Danubrata, S.E"
2018,Kota Bogor,4,Wakil Walikota,"Sugeng Teguh Santoso, S.H"
2018,Kota Cirebon,1,Walikota,"Bamunas Setiawan Boediman, Mba"
2018,Kota Cirebon,1,Wakil Walikota,"Effendi Edo, Sap., M.Si"
2018,Kota Cirebon,2,Walikota,"Drs. Nashrudin Azis, Sh"
2018,Kota Cirebon,2,Wakil Walikota,Dra. Hj. Eti Herawati
2018,Kota Sukabumi,1,Walikota,"Jona Arizona, S.Ip., Mm."
2018,Kota Sukabumi,1,Wakil Walikota,"Dr. H. Muhamad Noor Hanafie Zain, M.Si."
2018,Kota Sukabumi,2,Walikota,H. Achmad Fahmi
2018,Kota Sukabumi,2,Wakil Walikota,H. Andri Setiawan Hamami
2018,Kota Sukabumi,3,Walikota,"Dr. H. Mulyono, Mm."
2018,Kota Sukabumi,3,Wakil Walikota,Hj. Ima Slamet
2018,Kota Sukabumi,4,Walikota,"Dedi Rantjani Widjaja, Se., Mm."
2018,Kota Sukabumi,4,Wakil Walikota,"Hikmat Nuristawan, Se., Mm."
2018,Kabupaten Kuningan,1,Bupati,Dr. Toto Taufikurohman Kosim
2018,Kabupaten Kuningan,1,Wakil Bupati,"H. Yosa Octora Santono, S.Si,. M.M."
2018,Kabupaten Kuningan,2,Bupati,"H. Dudy Pamuji, S.E, M.Si"
2018,Kabupaten Kuningan,2,Wakil Bupati,"H. Udin Kusnedi, S.E., M.Si."
2018,Kabupaten Kuningan,3,Bupati,"H. Acep Purnama, S.H., M.H."
2018,Kabupaten Kuningan,3,Wakil Bupati,"Muhammad Ridho Suganda, S.H., M.Si."
2018,Kabupaten Majalengka,1,Bupati,Maman Imanul Haq
2018,Kabupaten Majalengka,1,Wakil Bupati,Jefry Romdonny
2018,Kabupaten Majalengka,2,Bupati,"Dr. H. Karna Sobahi, M.M.Pd."
2018,Kabupaten Majalengka,2,Wakil Bupati,Tarsono D. Mardiana
2018,Kabupaten Majalengka,3,Bupati,"Dr. H. Sanwasi, Mm."
2018,Kabupaten Majalengka,3,Wakil Bupati,Drs. H.M. Taufan Ansyar
2018,Kabupaten Purwakarta,1,Bupati,"Drs. H. Padil Karsoma, M.Si"
2018,Kabupaten Purwakarta,1,Wakil Bupati,Acep Maman
2018,Kabupaten Purwakarta,2,Bupati,Hj. Anne Ratna Mustika
2018,Kabupaten Purwakarta,2,Wakil Bupati,H. Aming
2018,Kabupaten Purwakarta,3,Bupati,"H. Zainal Arifin, Mt. Ir"
2018,Kabupaten Purwakarta,3,Wakil Bupati,"Luthfi, A. Md"
2018,Kabupaten Subang,1,Bupati,H. Ruhimat
2018,Kabupaten Subang,1,Wakil Bupati,"Ir. Agus Masykur Rosyadi, S.Si"
2018,Kabupaten Subang,2,Bupati,"Hj. Imas Aryumningsih, Se"
2018,Kabupaten Subang,2,Wakil Bupati,Sutarno
2018,Kabupaten Subang,3,Bupati,"Drs. Dedi Junaedi, Sh"
2018,Kabupaten Subang,3,Wakil Bupati,"Dr. Drs. H. Budi Setiadi, M.Si"
2018,Kabupaten Sumedang,1,Bupati,"H. Dony Ahmad Munir, S.T., M.M."
2018,Kabupaten Sumedang,1,Wakil Bupati,"Erwan Setiawan, S.E."
2018,Kabupaten Sumedang,2,Bupati,"H. Setya Widodo, S.H."
2018,Kabupaten Sumedang,2,Wakil Bupati,"Sonia Sugian, S.H."
2018,Kabupaten Sumedang,3,Bupati,"Drs. H. Zaenal Alimin, M.M."
2018,Kabupaten Sumedang,3,Wakil Bupati,"Asep Kurnia, S.H., M.H."
2018,Kabupaten Sumedang,4,Bupati,Irwansyah Putra
2018,Kabupaten Sumedang,4,Wakil Bupati,"Sidik Jafar, S.E."
2018,Kabupaten Sumedang,5,Bupati,"Ir. H. Eka Setiawan, Dipl., S.E., M.M."
2018,Kabupaten Sumedang,5,Wakil Bupati,"Mohamad Agung Anugrah, S.E., Ak."
2018,Kabupaten Banyumas,1,Bupati,"Drs. H. Mardjoko, Mm"
2018,Kabupaten Banyumas,1,Wakil Bupati,"Dr. Ir. H. Ifan Haryanto, M.Sc"
2018,Kabupaten Banyumas,2,Bupati,Ir. H. Achmad Husein
2018,Kabupaten Banyumas,2,Wakil Bupati,Drs. H. Sadewo Tri Lastiono
2018,Kabupaten Karanganyar,1,Bupati,"H. Rohadi Widodo, Sp."
2018,Kabupaten Karanganyar,1,Wakil Bupati,"Ida Retno Wahyuningsih, Se"
2018,Kabupaten Karanganyar,2,Bupati,"Drs. H. Juliyatmono, Mm."
2018,Kabupaten Karanganyar,2,Wakil Bupati,"H. Rober Christanto, Se"
2018,Kota Tegal,1,Walikota,H.M. Nursholeh
2018,Kota Tegal,1,Wakil Walikota,H. Wartono
2018,Kota Tegal,2,Walikota,H. A. Ghautsun
2018,Kota Tegal,2,Wakil Walikota,Dr. H. Muslih Dahlan
2018,Kota Tegal,3,Walikota,"H. Dedy Yon Supriyono, S.E., M.M."
2018,Kota Tegal,3,Wakil Walikota,"Muhamad Jumadi, S.T., M.M."
2018,Kota Tegal,4,Walikota,"K. H. Habib Ali Zaenal Abidin, S.E., M.H."
2018,Kota Tegal,4,Wakil Walikota,"Hj. Tanty Prasetyo Ningrum, S.H., M.M."
2018,Kota Tegal,5,Walikota,"Herujito, S.I.P."
2018,Kota Tegal,5,Wakil Walikota,Sugono
2018,Kabupaten Kudus,1,Bupati,"Masan, Se, Mm"
2018,Kabupaten Kudus,1,Wakil Bupati,"Drs. H. Noor Yasin, Mm"
