Nomor,Tahun,Daerah,No Pasangan,Jabatan,Nama,Jumlah Suara,Persentase Suara
20,2018,Kabupaten Pidie Jaya,4,Bupati,Muhammad Yusuf,6.014,7.57%
20,2018,Kabupaten Pidie Jaya,4,Wakil Bupati,Ir.Anwar Ishak,6.014,7.57%
21,2018,Kabupaten Gianyar,1,Bupati,"Tjokorda Raka Kerthyasa, S.Sos., M.Si.",94.666,32.96%
21,2018,Kabupaten Gianyar,1,Wakil Bupati,"Pande Istri Maharani Prima Dewi,Se.,Mm.",94.666,32.96%
21,2018,Kabupaten Gianyar,2,Bupati,"I Made Mahayastra, Sst.Par., Map.",192.533,67.04%
21,2018,Kabupaten Gianyar,2,Wakil Bupati,"Anak Agung Gde Mayun, Sh.",192.533,67.04%
22,2018,Kabupaten Klungkung,1,Bupati,Tjokorda Bagus Oka,29.173,23.94%
22,2018,Kabupaten Klungkung,1,Wakil Bupati,I Ketut Mandia,29.173,23.94%
22,2018,Kabupaten Klungkung,2,Bupati,I Nyoman Suwirta,92.699,76.06%
22,2018,Kabupaten Klungkung,2,Wakil Bupati,I Made Kasta,92.699,76.06%
23,2018,Kota Serang,1,Walikota,Vera Nurlaela,24.341,30.08%
23,2018,Kota Serang,1,Wakil Walikota,"Nurhasan, Se",24.341,30.08%
23,2018,Kota Serang,2,Walikota,"Samsul Hidayat, S.Pd.I",21.743,26.87%
23,2018,Kota Serang,2,Wakil Walikota,"Rohman, S.Pd.I, M.A.",21.743,26.87%
23,2018,Kota Serang,3,Walikota,"H. Syafrudin, S.Sos, M.Si",34.828,43.04%
23,2018,Kota Serang,3,Wakil Walikota,"H. Subadri Usuludin, Sh",34.828,43.04%
24,2018,Kota Tangerang,1,Walikota,H. Arief R Wismansyah,604.108,85.58%
24,2018,Kota Tangerang,1,Wakil Walikota,Drs. H. Sachrudin,604.108,85.58%
25,2018,Kabupaten Lebak,1,Bupati,"Hj. Iti Octavia Jayabaya, Se., Mm",453.299,76.99%
25,2018,Kabupaten Lebak,1,Wakil Bupati,"H. Ade Sumardi, Se",453.299,76.99%
26,2018,Kabupaten Tangerang,1,Bupati,"Ahmed Zaki Iskandar Z, B.Bus,Se,M.Si",941.111,83.73%
26,2018,Kabupaten Tangerang,1,Wakil Bupati,"H. Mad Romli, Sh.,Mm",941.111,83.73%
27,2018,Kota Bengkulu,1,Walikota,David Suardi,29.688,22.30%
27,2018,Kota Bengkulu,1,Wakil Walikota,"Drs. Bakhsir, Mm",29.688,22.30%
27,2018,Kota Bengkulu,2,Walikota,"Hj. Erna Sari Dewi, S.E",22.699,17.05%
27,2018,Kota Bengkulu,2,Wakil Walikota,"H. Ahmad Zarkasi, S.P., M.Si",22.699,17.05%
27,2018,Kota Bengkulu,3,Walikota,"H. Helmi, S.E.",44.254,33.24%
27,2018,Kota Bengkulu,3,Wakil Walikota,"Dedy Wahyudi, S.E, M.M",44.254,33.24%
27,2018,Kota Bengkulu,4,Walikota,Ir. Patriana Sosialinda,36.506,27.42%
27,2018,Kota Bengkulu,4,Wakil Walikota,"Mirza, S.H., M.Kn",36.506,27.42%
28,2018,Kabupaten Gorontalo Utara,1,Bupati,"Dr. H. Indra Yasin, Sh., Mh",31.391,43.54%
28,2018,Kabupaten Gorontalo Utara,1,Wakil Bupati,"Thariq Modanggu, S.Ag., M.Pd.I",31.391,43.54%
28,2018,Kabupaten Gorontalo Utara,2,Bupati,"H. Idrus M.T. Mopili, Se., Mm",17.502,24.27%
28,2018,Kabupaten Gorontalo Utara,2,Wakil Bupati,Hj. Suhelah,17.502,24.27%
28,2018,Kabupaten Gorontalo Utara,3,Bupati,Drs. H. Roni Imran,23.208,32.19%
28,2018,Kabupaten Gorontalo Utara,3,Wakil Bupati,Ir. H. Ismail Patamani,23.208,32.19%
29,2018,Kota Gorontalo,1,Walikota,"H. Adhan Dambea, Sh, S.Sos, Ma",37.032,36.05%
29,2018,Kota Gorontalo,1,Wakil Walikota,"Hardi Saleh Hemeto, Se, M.Si",37.032,36.05%
29,2018,Kota Gorontalo,2,Walikota,"H. Marten A. Taha, Se., M.Ec Dev",42.399,41.28%
29,2018,Kota Gorontalo,2,Wakil Walikota,"Ryan Fahrichsan Kono, B.Com",42.399,41.28%
29,2018,Kota Gorontalo,3,Walikota,Drs. H. Rum Pagau,23.282,22.67%
29,2018,Kota Gorontalo,3,Wakil Walikota,Dr. Rusliyanto Monoarfa,23.282,22.67%
30,2018,Kabupaten Kerinci,1,Bupati,"Monadi, S.Sos, M.Si",42.686,28.84%
30,2018,Kabupaten Kerinci,1,Wakil Bupati,"Edison, Sh",42.686,28.84%
30,2018,Kabupaten Kerinci,2,Bupati,"Dr. H. Adirozal, M.Si",55.341,37.39%
30,2018,Kabupaten Kerinci,2,Wakil Bupati,Ir. H. Ami Taher,55.341,37.39%
30,2018,Kabupaten Kerinci,3,Bupati,"Zainal Abidin, Sh, Mh",49.989,33.77%
30,2018,Kabupaten Kerinci,3,Wakil Bupati,Arsal Apri,49.989,33.77%
31,2018,Kota Jambi,1,Walikota,"Drs. H. Abdullah Sani, M.Pd.I",116.554,44.27%
31,2018,Kota Jambi,1,Wakil Walikota,"Kemas Alfarizi, Se",116.554,44.27%
31,2018,Kota Jambi,2,Walikota,"Dr. H. Syarif Fasha, Me",146.704,55.73%
31,2018,Kota Jambi,2,Wakil Walikota,"Dr. Dr. H. Maulana, Mkm",146.704,55.73%
32,2018,Kabupaten Merangin,1,Bupati,"Ir. H. Ahmad Fauzi, Mt",37.333,19.88%
32,2018,Kabupaten Merangin,1,Wakil Bupati,Sujarmin,37.333,19.88%
32,2018,Kabupaten Merangin,2,Bupati,"Dr. H. Al Haris, S.Sos., Mh.",84.068,44.77%
32,2018,Kabupaten Merangin,2,Wakil Bupati,"Mashuri, S.Pd., Mm.",84.068,44.77%
32,2018,Kabupaten Merangin,3,Bupati,"Dr. Drs. H. Nalim.Sh.,Mm.",66.392,35.35%
32,2018,Kabupaten Merangin,3,Wakil Bupati,"Drs. H. Abdul Khafidh.,Mm.",66.392,35.35%
33,2018,Kabupaten Bandung Barat,1,Bupati,"Dra. Hj. Elin Suharliah, M.Si",195.763,22.62%
33,2018,Kabupaten Bandung Barat,1,Wakil Bupati,"Drs. Maman Sulaeman Sunjaya, M.Si",195.763,22.62%
33,2018,Kabupaten Bandung Barat,2,Bupati,Ir. H. Doddy Imron Cholid,250.355,28.93%
33,2018,Kabupaten Bandung Barat,2,Wakil Bupati,"Dr. Hj. Pupu Sari Rohayati, Mh. Kes",250.355,28.93%
33,2018,Kabupaten Bandung Barat,3,Bupati,"Aa Umbara Sutisna, S.Ip",419.225,48.45%
33,2018,Kabupaten Bandung Barat,3,Wakil Bupati,Hengki Kurniawan,419.225,48.45%
34,2018,Kabupaten Bogor,1,Bupati,"H. Fitri Putra Nugraha, Sos",183.55,8.26%
34,2018,Kabupaten Bogor,1,Wakil Bupati,H. R. Bayu Syahjohan,183.55,8.26%
34,2018,Kabupaten Bogor,2,Bupati,Ade Yasin,903.231,40.63%
34,2018,Kabupaten Bogor,2,Wakil Bupati,"H. Iwan Setiawan, Se",903.231,40.63%
34,2018,Kabupaten Bogor,3,Bupati,"H. Ade Ruhandi - Jaro Ade, Se",860.958,38.73%
34,2018,Kabupaten Bogor,3,Wakil Bupati,"Ingrid Maria Palupi Kansil, S.Sos",860.958,38.73%
34,2018,Kabupaten Bogor,4,Bupati,Ir. H. Gunawan Hasan,101.711,4.58%
34,2018,Kabupaten Bogor,4,Wakil Bupati,Ficky Rhoma Irama,101.711,4.58%
34,2018,Kabupaten Bogor,5,Bupati,"Ade Wardhana Adinata, Se.,Mm",173.378,7.80%
34,2018,Kabupaten Bogor,5,Wakil Bupati,"Asep Ruhiyat, S.Sos.,Mm",173.378,7.80%
35,2018,Kabupaten Ciamis,1,Bupati,H. Herdiat Sunarya,414.56,59.59%
35,2018,Kabupaten Ciamis,1,Wakil Bupati,Yana Diana Putra,414.56,59.59%
35,2018,Kabupaten Ciamis,2,Bupati,H. Iing Syam Arifin,281.177,40.41%
35,2018,Kabupaten Ciamis,2,Wakil Bupati,H. Oih Burhanudin,281.177,40.41%
36,2018,Kabupaten Cirebon,1,Bupati,"Drs. H. Kalinga, Mm",272.429,27.28%
36,2018,Kabupaten Cirebon,1,Wakil Bupati,Dian Hernawa Susanty,272.429,27.28%
36,2018,Kabupaten Cirebon,2,Bupati,"Dr. H. Sunjaya Purwadisastra, M.M., M.Si.",309.048,30.94%
36,2018,Kabupaten Cirebon,2,Wakil Bupati,Drs. H. Imron,309.048,30.94%
36,2018,Kabupaten Cirebon,3,Bupati,H. Rakhmat,153.524,15.37%
36,2018,Kabupaten Cirebon,3,Wakil Bupati,Drs. H. Yayat Ruhyat,153.524,15.37%
36,2018,Kabupaten Cirebon,4,Bupati,"H. Mohamad Luthfi, St",263.788,26.41%
36,2018,Kabupaten Cirebon,4,Wakil Bupati,Nurul Qomar,263.788,26.41%
37,2018,Kabupaten Garut,1,Bupati,"H. Rudy Gunawan, Sh., Mh., Mp",427.463,35.83%
37,2018,Kabupaten Garut,1,Wakil Bupati,Helmi Budiman,427.463,35.83%
37,2018,Kabupaten Garut,2,Bupati,Iman Alirahman,391.393,32.81%
37,2018,Kabupaten Garut,2,Wakil Bupati,"Dedi Hasan, Se",391.393,32.81%
37,2018,Kabupaten Garut,3,Bupati,"Suryana, S.Ag",133.317,11.18%
37,2018,Kabupaten Garut,3,Wakil Bupati,"Wiwin Suwindaryati, Sh",133.317,11.18%
37,2018,Kabupaten Garut,4,Bupati,"H. Agus Hamdani Gs, S.Pd.I",240.702,20.18%
37,2018,Kabupaten Garut,4,Wakil Bupati,Pradana Aditya Wicaksana,240.702,20.18%
38,2018,Kota Bandung,1,Walikota,Nurul Qomaril Arifin,302.291,23.90%
38,2018,Kota Bandung,1,Wakil Walikota,Chairul Yaqin Hidayat,302.291,23.90%
38,2018,Kota Bandung,2,Walikota,"Dr. H. Yossi Irianto, M.Si",329.878,26.08%
38,2018,Kota Bandung,2,Wakil Walikota,"Aries Supriyatna, Sh., Mh",329.878,26.08%
38,2018,Kota Bandung,3,Walikota,Oded Mohamad Danial,632.723,50.02%
38,2018,Kota Bandung,3,Wakil Walikota,H. Yana Mulyana,632.723,50.02%
39,2018,Kota Banjar,1,Walikota,"Hj. Ade Uu Sukaesih, S.Ip, M.Si",58.02,52.36%
39,2018,Kota Banjar,1,Wakil Walikota,Nana Suryana,58.02,52.36%
39,2018,Kota Banjar,2,Walikota,Maman Suryaman,52.784,47.64%
39,2018,Kota Banjar,2,Wakil Walikota,Dr. Hj. Irma Darmawatie Bastaman,52.784,47.64%
40,2018,Kota Bekasi,1,Walikota,Dr. Rahmat Effendi,694.446,67.50%
40,2018,Kota Bekasi,1,Wakil Walikota,"Dr. Tri Adhianto Tjahyono, Se, Mm",694.446,67.50%
40,2018,Kota Bekasi,2,Walikota,"Dr. Nur Supriyanto, Mm",334.389,32.50%
40,2018,Kota Bekasi,2,Wakil Walikota,"Dr. H. Adhy Firdaus Saady, Mm",334.389,32.50%
41,2018,Kota Bogor,1,Walikota,"Drh. H. Achmad Ru'Yat, M.Si",146.929,31.03%
41,2018,Kota Bogor,1,Wakil Walikota,Zaenul Mutaqin,146.929,31.03%
41,2018,Kota Bogor,2,Walikota,"H. Edgar Suratman, Se., Mm",59.456,12.56%
41,2018,Kota Bogor,2,Wakil Walikota,Sefwelly Gynanjar Djoyodiningrat,59.456,12.56%
41,2018,Kota Bogor,3,Walikota,Dr. H. Bima Arya Sugiarto,205.686,43.44%
41,2018,Kota Bogor,3,Wakil Walikota,"Drs. Dedie A Rachim, Ma",205.686,43.44%
