Website,Kategori,Tahun,Bulan,Hari,Jam,Menit,Nama Toko,Nama Barang,Jumlah Transaksi,Transaksi Sukses,Barang Terkirim,Dilihat,Lokasi,Kondisi
Tokopedia,Fashion Pria,2018,9,3,15,49,YUZNA CELL,"SINGLET PRIA CROCODILE 801 V SALUR KAOS DALAM PAKAIAN DALAM SINGLET - Putih, M",957,99.79%,"3,5rb","15,8rb",Kota Depok,Baru
Tokopedia,Fashion Pria,2018,9,3,15,50,Laqu_shop,Original 100% Xiaomi Crossbody Sling Bag - Abu-abu,"1,4rb",99.63%,"2,1rb","46,8rb",Kota Batam,Baru
Tokopedia,Fashion Pria,2018,9,3,15,50,ILKA BATIK,Batik Primis Exclusive | Grosir Batik Murah Berkualitas | Kemeja Kerja,776,100%,"4,2rb","2,5rb",Kota Pekalongan,Baru
Tokopedia,Fashion Pria,2018,9,3,15,50,tirstore,Tas Selempang Pria / Tas Bahu Kulit,"1,1rb",99.47%,"1,3rb","21,3rb",Kab. Tangerang,Baru
Tokopedia,Fashion Pria,2018,9,3,15,50,Army colection,jaket TAD,"4,5rb",97.46%,5rb,"214,4rb",DKI Jakarta,Baru
Tokopedia,Fashion Pria,2018,9,3,15,50,Sally Shop Fashion,Kaos Polos Katun Bambu (Cotton Bamboo) V-Neck,"2,1rb",99.53%,"5,5rb","51,7rb",Kota Bandung,Baru
Tokopedia,Fashion Pria,2018,9,3,15,51,CERIA SMART,"Mini Koper, Korean Style (Koper tambahan saat traveling)","1,2rb",99.32%,"1,6rb","22,3rb",DKI Jakarta,Baru
Tokopedia,Fashion Pria,2018,9,3,15,51,Sally Shop Fashion,Kaos Polos Katun Bambu (Cotton Bamboo T-Shirt),"7,2rb",99.5%,"20,4rb","274,7rb",Kota Bandung,Baru
Tokopedia,Fashion Pria,2018,9,3,15,51,YUZNA CELL,"CELANA DALAM GT MAN S M L XL STYLE 704BW PROMOSI GROSIRAN - Putih, M","2,8rb",99.2%,"17,1rb","44,4rb",Kota Depok,Baru
Tokopedia,Fashion Pria,2018,9,3,15,51,TOKO YUZNA 2,"CELANA DALAM PRIA GT MAN RPG704BW UK SMLXL PROMO GROSIRAN - Mix, M",1rb,99.03%,"6,1rb","21,3rb",Kota Depok,Baru
Tokopedia,Fashion Pria,2018,9,3,15,51,IMPORT SPECIALIST,DOMPET KULIT PRIA WANITA PANJANG IMPORT BAELLERRY 22 CARD BLACK BROWN - Hitam,"1,6rb",99.74%,"2,5rb","30,9rb",DKI Jakarta,Baru
Tokopedia,Fashion Pria,2018,9,3,15,52,Supplier Kaos ID,Kaos Polos Lengan Panjang Combed 30s,"1,5rb",99.8%,"6,5rb","25,9rb",DKI Jakarta,Baru
Tokopedia,Fashion Pria,2018,9,3,15,52,YUZNA CELL,"SINGLET DALEMAN KAOS KUTANG PRIA GT MAN RPG 302 B UK 32 34 36 - Putih, 32",946,98.84%,4rb,"16,9rb",Kota Depok,Baru
Tokopedia,Fashion Pria,2018,9,3,15,52,Bravo Projects,Celana Chino Pendek Premium ( Original ),"1,6rb",98.71%,"2,2rb","28,6rb",Kota Bandung,Baru
