Provinsi,Tahun,Jalur,Tahap,Sekolah,Jurusan,Pilihan,Peminat
Yogyakarta,2018,Reguler,-,SMAN 1 TEMON,IPA,2,42
Yogyakarta,2018,Reguler,-,SMAN 1 TEMON,IPA,3,25
Yogyakarta,2018,Reguler,-,SMAN 1 TEMON,IPS,1,46
Yogyakarta,2018,Reguler,-,SMAN 1 TEMON,IPS,2,61
Yogyakarta,2018,Reguler,-,SMAN 1 TEMON,IPS,3,34
Yogyakarta,2018,Reguler,-,SMAN 1 DEPOK,IPA,1,120
Yogyakarta,2018,Reguler,-,SMAN 1 DEPOK,IPA,2,125
Yogyakarta,2018,Reguler,-,SMAN 1 DEPOK,IPA,3,110
Yogyakarta,2018,Reguler,-,SMAN 1 DEPOK,IPS,1,109
Yogyakarta,2018,Reguler,-,SMAN 1 DEPOK,IPS,2,97
Yogyakarta,2018,Reguler,-,SMAN 1 DEPOK,IPS,3,50
Yogyakarta,2018,Reguler,-,SMAN 1 NGAGLIK,IPA,1,82
Yogyakarta,2018,Reguler,-,SMAN 1 NGAGLIK,IPA,2,107
Yogyakarta,2018,Reguler,-,SMAN 1 NGAGLIK,IPA,3,126
Yogyakarta,2018,Reguler,-,SMAN 1 NGAGLIK,IPS,1,77
Yogyakarta,2018,Reguler,-,SMAN 1 NGAGLIK,IPS,2,133
Yogyakarta,2018,Reguler,-,SMAN 1 NGAGLIK,IPS,3,172
Yogyakarta,2018,Reguler,-,SMAN 1 YOGYAKARTA,IPA,1,399
Yogyakarta,2018,Reguler,-,SMAN 1 YOGYAKARTA,IPA,2,107
Yogyakarta,2018,Reguler,-,SMAN 1 YOGYAKARTA,IPA,3,15
Yogyakarta,2018,Reguler,-,SMAN 1 YOGYAKARTA,IPS,1,62
Yogyakarta,2018,Reguler,-,SMAN 1 YOGYAKARTA,IPS,2,24
Yogyakarta,2018,Reguler,-,SMAN 1 YOGYAKARTA,IPS,3,7
Yogyakarta,2018,Reguler,-,SMAN 2 YOGYAKARTA,IPA,1,294
Yogyakarta,2018,Reguler,-,SMAN 2 YOGYAKARTA,IPA,2,228
Yogyakarta,2018,Reguler,-,SMAN 2 YOGYAKARTA,IPA,3,107
Yogyakarta,2018,Reguler,-,SMAN 2 YOGYAKARTA,IPS,1,100
Yogyakarta,2018,Reguler,-,SMAN 2 YOGYAKARTA,IPS,2,35
Yogyakarta,2018,Reguler,-,SMAN 2 YOGYAKARTA,IPS,3,26
Yogyakarta,2018,Reguler,-,SMAN 3 YOGYAKARTA,IPA,1,322
Yogyakarta,2018,Reguler,-,SMAN 3 YOGYAKARTA,IPA,2,22
Yogyakarta,2018,Reguler,-,SMAN 3 YOGYAKARTA,IPA,3,6
Yogyakarta,2018,Reguler,-,SMAN 3 YOGYAKARTA,IPS,1,56
Yogyakarta,2018,Reguler,-,SMAN 3 YOGYAKARTA,IPS,2,22
Yogyakarta,2018,Reguler,-,SMAN 3 YOGYAKARTA,IPS,3,7
Yogyakarta,2018,Reguler,-,SMAN 4 YOGYAKARTA,IPA,1,162
Yogyakarta,2018,Reguler,-,SMAN 4 YOGYAKARTA,IPA,2,254
Yogyakarta,2018,Reguler,-,SMAN 4 YOGYAKARTA,IPA,3,199
Yogyakarta,2018,Reguler,-,SMAN 4 YOGYAKARTA,IPS,1,103
Yogyakarta,2018,Reguler,-,SMAN 4 YOGYAKARTA,IPS,2,112
Yogyakarta,2018,Reguler,-,SMAN 4 YOGYAKARTA,IPS,3,73
Yogyakarta,2018,Reguler,-,SMAN 5 YOGYAKARTA,IPA,1,260
Yogyakarta,2018,Reguler,-,SMAN 5 YOGYAKARTA,IPA,2,196
Yogyakarta,2018,Reguler,-,SMAN 5 YOGYAKARTA,IPA,3,123
Yogyakarta,2018,Reguler,-,SMAN 5 YOGYAKARTA,IPS,1,120
Yogyakarta,2018,Reguler,-,SMAN 5 YOGYAKARTA,IPS,2,65
Yogyakarta,2018,Reguler,-,SMAN 5 YOGYAKARTA,IPS,3,28
Yogyakarta,2018,Reguler,-,SMAN 6 YOGYAKARTA,IPA,1,269
Yogyakarta,2018,Reguler,-,SMAN 6 YOGYAKARTA,IPA,2,321
Yogyakarta,2018,Reguler,-,SMAN 6 YOGYAKARTA,IPA,3,263
Yogyakarta,2018,Reguler,-,SMAN 6 YOGYAKARTA,IPS,1,56
Yogyakarta,2018,Reguler,-,SMAN 6 YOGYAKARTA,IPS,2,54
Yogyakarta,2018,Reguler,-,SMAN 6 YOGYAKARTA,IPS,3,32
Yogyakarta,2018,Reguler,-,SMAN 7 YOGYAKARTA,IPA,1,235
Yogyakarta,2018,Reguler,-,SMAN 7 YOGYAKARTA,IPA,2,236
Yogyakarta,2018,Reguler,-,SMAN 7 YOGYAKARTA,IPA,3,241
Yogyakarta,2018,Reguler,-,SMAN 7 YOGYAKARTA,IPS,1,120
Yogyakarta,2018,Reguler,-,SMAN 7 YOGYAKARTA,IPS,2,100
Yogyakarta,2018,Reguler,-,SMAN 7 YOGYAKARTA,IPS,3,54
Yogyakarta,2018,Reguler,-,SMAN 8 YOGYAKARTA,IPA,1,347
Yogyakarta,2018,Reguler,-,SMAN 8 YOGYAKARTA,IPA,2,287
Yogyakarta,2018,Reguler,-,SMAN 8 YOGYAKARTA,IPA,3,95
Yogyakarta,2018,Reguler,-,SMAN 8 YOGYAKARTA,IPS,1,62
Yogyakarta,2018,Reguler,-,SMAN 8 YOGYAKARTA,IPS,2,53
Yogyakarta,2018,Reguler,-,SMAN 8 YOGYAKARTA,IPS,3,14
Yogyakarta,2018,Reguler,-,SMAN 9 YOGYAKARTA,IPA,1,190
Yogyakarta,2018,Reguler,-,SMAN 9 YOGYAKARTA,IPA,2,250
Yogyakarta,2018,Reguler,-,SMAN 9 YOGYAKARTA,IPA,3,196
Yogyakarta,2018,Reguler,-,SMAN 9 YOGYAKARTA,IPS,1,66
Yogyakarta,2018,Reguler,-,SMAN 9 YOGYAKARTA,IPS,2,70
Yogyakarta,2018,Reguler,-,SMAN 9 YOGYAKARTA,IPS,3,33
Yogyakarta,2018,Reguler,-,SMAN 10 YOGYAKARTA,IPA,1,119
Yogyakarta,2018,Reguler,-,SMAN 10 YOGYAKARTA,IPA,2,183
Yogyakarta,2018,Reguler,-,SMAN 10 YOGYAKARTA,IPA,3,316
Yogyakarta,2018,Reguler,-,SMAN 10 YOGYAKARTA,IPS,1,120
Yogyakarta,2018,Reguler,-,SMAN 10 YOGYAKARTA,IPS,2,146
Yogyakarta,2018,Reguler,-,SMAN 10 YOGYAKARTA,IPS,3,188
Yogyakarta,2018,Reguler,-,SMAN 11 YOGYAKARTA,IPA,1,228
Yogyakarta,2018,Reguler,-,SMAN 11 YOGYAKARTA,IPA,2,268
Yogyakarta,2018,Reguler,-,SMAN 11 YOGYAKARTA,IPA,3,368
Yogyakarta,2018,Reguler,-,SMAN 11 YOGYAKARTA,IPS,1,131
Yogyakarta,2018,Reguler,-,SMAN 11 YOGYAKARTA,IPS,2,158
Yogyakarta,2018,Reguler,-,SMAN 11 YOGYAKARTA,IPS,3,147
Yogyakarta,2018,Reguler,-,SMAN 1 SEWON,IPA,1,192
Yogyakarta,2018,Reguler,-,SMAN 1 SEWON,IPA,2,206
Yogyakarta,2018,Reguler,-,SMAN 1 SEWON,IPA,3,232
Yogyakarta,2018,Reguler,-,SMAN 1 SEWON,IPS,1,105
Yogyakarta,2018,Reguler,-,SMAN 1 SEWON,IPS,2,122
Yogyakarta,2018,Reguler,-,SMAN 1 SEWON,IPS,3,76
Yogyakarta,2018,Reguler,-,SMAN 1 SEDAYU,IPA,1,162
Yogyakarta,2018,Reguler,-,SMAN 1 SEDAYU,IPA,2,122
Yogyakarta,2018,Reguler,-,SMAN 1 SEDAYU,IPA,3,140
Yogyakarta,2018,Reguler,-,SMAN 1 SEDAYU,IPS,1,118
Yogyakarta,2018,Reguler,-,SMAN 1 SEDAYU,IPS,2,184
Yogyakarta,2018,Reguler,-,SMAN 1 SEDAYU,IPS,3,91
Yogyakarta,2018,Reguler,-,SMAN 1 SEDAYU,Bahasa,1,28
Yogyakarta,2018,Reguler,-,SMAN 1 SEDAYU,Bahasa,2,64
Yogyakarta,2018,Reguler,-,SMAN 1 SEDAYU,Bahasa,3,99
Yogyakarta,2018,Reguler,-,SMAN 1 SANDEN,IPA,1,156
Yogyakarta,2018,Reguler,-,SMAN 1 SANDEN,IPA,2,68
Yogyakarta,2018,Reguler,-,SMAN 1 SANDEN,IPA,3,45
Yogyakarta,2018,Reguler,-,SMAN 1 SANDEN,IPS,1,107
Yogyakarta,2018,Reguler,-,SMAN 1 SANDEN,IPS,2,100
Yogyakarta,2018,Reguler,-,SMAN 1 SANDEN,IPS,3,47
Yogyakarta,2018,Reguler,-,SMAN 1 SANDEN,Bahasa,1,44
Yogyakarta,2018,Reguler,-,SMAN 1 SANDEN,Bahasa,2,29
Yogyakarta,2018,Reguler,-,SMAN 1 SANDEN,Bahasa,3,39
Yogyakarta,2018,Reguler,-,SMAN 1 PUNDONG,IPA,1,120
Yogyakarta,2018,Reguler,-,SMAN 1 PUNDONG,IPA,2,45
Yogyakarta,2018,Reguler,-,SMAN 1 PUNDONG,IPA,3,68
Yogyakarta,2018,Reguler,-,SMAN 1 PUNDONG,IPS,1,117
Yogyakarta,2018,Reguler,-,SMAN 1 PUNDONG,IPS,2,133
Yogyakarta,2018,Reguler,-,SMAN 1 PUNDONG,IPS,3,84
Yogyakarta,2018,Reguler,-,SMAN 1 PLERET,IPA,1,93
Yogyakarta,2018,Reguler,-,SMAN 1 PLERET,IPA,2,118
Yogyakarta,2018,Reguler,-,SMAN 1 PLERET,IPA,3,174
Yogyakarta,2018,Reguler,-,SMAN 1 PLERET,IPS,1,84
Yogyakarta,2018,Reguler,-,SMAN 1 PLERET,IPS,2,140
Yogyakarta,2018,Reguler,-,SMAN 1 PLERET,IPS,3,157
Yogyakarta,2018,Reguler,-,SMAN 1 PIYUNGAN,IPA,1,67
Yogyakarta,2018,Reguler,-,SMAN 1 PIYUNGAN,IPA,2,89
Yogyakarta,2018,Reguler,-,SMAN 1 PIYUNGAN,IPA,3,194
Yogyakarta,2018,Reguler,-,SMAN 1 PIYUNGAN,IPS,1,66
Yogyakarta,2018,Reguler,-,SMAN 1 PIYUNGAN,IPS,2,107
Yogyakarta,2018,Reguler,-,SMAN 1 PIYUNGAN,IPS,3,146
Yogyakarta,2018,Reguler,-,SMAN 1 PAJANGAN,IPA,1,64
Yogyakarta,2018,Reguler,-,SMAN 1 PAJANGAN,IPA,2,91
Yogyakarta,2018,Reguler,-,SMAN 1 PAJANGAN,IPA,3,126
Yogyakarta,2018,Reguler,-,SMAN 1 PAJANGAN,IPS,1,54
Yogyakarta,2018,Reguler,-,SMAN 1 PAJANGAN,IPS,2,91
Yogyakarta,2018,Reguler,-,SMAN 1 PAJANGAN,IPS,3,117
Yogyakarta,2018,Reguler,-,SMAN 1 KRETEK,IPA,1,46
Yogyakarta,2018,Reguler,-,SMAN 1 KRETEK,IPA,2,82
Yogyakarta,2018,Reguler,-,SMAN 1 KRETEK,IPA,3,112
Yogyakarta,2018,Reguler,-,SMAN 1 KRETEK,IPS,1,37
Yogyakarta,2018,Reguler,-,SMAN 1 KRETEK,IPS,2,88
Yogyakarta,2018,Reguler,-,SMAN 1 KRETEK,IPS,3,127
Yogyakarta,2018,Reguler,-,SMAN 1 SRANDAKAN,IPA,1,40
Yogyakarta,2018,Reguler,-,SMAN 1 SRANDAKAN,IPA,2,70
Yogyakarta,2018,Reguler,-,SMAN 1 SRANDAKAN,IPA,3,66
Yogyakarta,2018,Reguler,-,SMAN 1 SRANDAKAN,IPS,1,68
Yogyakarta,2018,Reguler,-,SMAN 1 SRANDAKAN,IPS,2,66
Yogyakarta,2018,Reguler,-,SMAN 1 SRANDAKAN,IPS,3,78
Yogyakarta,2018,Reguler,-,SMAN 2 BANGUNTAPAN,IPA,1,111
Yogyakarta,2018,Reguler,-,SMAN 2 BANGUNTAPAN,IPA,2,183
Yogyakarta,2018,Reguler,-,SMAN 2 BANGUNTAPAN,IPA,3,186
Yogyakarta,2018,Reguler,-,SMAN 2 BANGUNTAPAN,IPS,1,141
Yogyakarta,2018,Reguler,-,SMAN 2 BANGUNTAPAN,IPS,2,164
Yogyakarta,2018,Reguler,-,SMAN 2 BANGUNTAPAN,IPS,3,114
Yogyakarta,2018,Reguler,-,SMAN 1 DLINGO,IPA,1,73
Yogyakarta,2018,Reguler,-,SMAN 1 DLINGO,IPA,2,6
Yogyakarta,2018,Reguler,-,SMAN 1 DLINGO,IPA,3,15
Yogyakarta,2018,Reguler,-,SMAN 1 DLINGO,IPS,1,50
Yogyakarta,2018,Reguler,-,SMAN 1 DLINGO,IPS,2,47
Yogyakarta,2018,Reguler,-,SMAN 1 DLINGO,IPS,3,4
Yogyakarta,2018,Reguler,-,SMAN 3 BANTUL,IPA,1,67
Yogyakarta,2018,Reguler,-,SMAN 3 BANTUL,IPA,2,120
Yogyakarta,2018,Reguler,-,SMAN 3 BANTUL,IPA,3,225
Yogyakarta,2018,Reguler,-,SMAN 3 BANTUL,IPS,1,103
Yogyakarta,2018,Reguler,-,SMAN 3 BANTUL,IPS,2,123
Yogyakarta,2018,Reguler,-,SMAN 3 BANTUL,IPS,3,101
Yogyakarta,2018,Reguler,-,SMAN 1 KASIHAN,IPA,1,226
Yogyakarta,2018,Reguler,-,SMAN 1 KASIHAN,IPA,2,144
Yogyakarta,2018,Reguler,-,SMAN 1 KASIHAN,IPA,3,172
Yogyakarta,2018,Reguler,-,SMAN 1 KASIHAN,IPS,1,103
Yogyakarta,2018,Reguler,-,SMAN 1 KASIHAN,IPS,2,115
Yogyakarta,2018,Reguler,-,SMAN 1 KASIHAN,IPS,3,65
Yogyakarta,2018,Reguler,-,SMAN 1 JETIS,IPA,1,176
Yogyakarta,2018,Reguler,-,SMAN 1 JETIS,IPA,2,154
Yogyakarta,2018,Reguler,-,SMAN 1 JETIS,IPA,3,157
Yogyakarta,2018,Reguler,-,SMAN 1 JETIS,IPS,1,135
Yogyakarta,2018,Reguler,-,SMAN 1 JETIS,IPS,2,136
Yogyakarta,2018,Reguler,-,SMAN 1 JETIS,IPS,3,64
Yogyakarta,2018,Reguler,-,SMAN 1 IMOGIRI,IPA,1,91
Yogyakarta,2018,Reguler,-,SMAN 1 IMOGIRI,IPA,2,118
Yogyakarta,2018,Reguler,-,SMAN 1 IMOGIRI,IPA,3,96
Yogyakarta,2018,Reguler,-,SMAN 1 IMOGIRI,IPS,1,96
Yogyakarta,2018,Reguler,-,SMAN 1 IMOGIRI,IPS,2,166
Yogyakarta,2018,Reguler,-,SMAN 1 IMOGIRI,IPS,3,107
Yogyakarta,2018,Reguler,-,SMAN 1 BANGUNTAPAN,IPA,1,193
Yogyakarta,2018,Reguler,-,SMAN 1 BANGUNTAPAN,IPA,2,136
Yogyakarta,2018,Reguler,-,SMAN 1 BANGUNTAPAN,IPA,3,126
Yogyakarta,2018,Reguler,-,SMAN 1 BANGUNTAPAN,IPS,1,159
Yogyakarta,2018,Reguler,-,SMAN 1 BANGUNTAPAN,IPS,2,128
Yogyakarta,2018,Reguler,-,SMAN 1 BANGUNTAPAN,IPS,3,96
Yogyakarta,2018,Reguler,-,SMAN 1 BAMBANGLIPURO,IPA,1,95
Yogyakarta,2018,Reguler,-,SMAN 1 BAMBANGLIPURO,IPA,2,95
Yogyakarta,2018,Reguler,-,SMAN 1 BAMBANGLIPURO,IPA,3,138
Yogyakarta,2018,Reguler,-,SMAN 1 BAMBANGLIPURO,IPS,1,72
Yogyakarta,2018,Reguler,-,SMAN 1 BAMBANGLIPURO,IPS,2,175
Yogyakarta,2018,Reguler,-,SMAN 1 BAMBANGLIPURO,IPS,3,107
Yogyakarta,2018,Reguler,-,SMAN 1 WATES,IPA,1,229
Yogyakarta,2018,Reguler,-,SMAN 1 WATES,IPA,2,11
Yogyakarta,2018,Reguler,-,SMAN 1 WATES,IPA,3,16
Yogyakarta,2018,Reguler,-,SMAN 1 WATES,IPS,1,72
Yogyakarta,2018,Reguler,-,SMAN 1 WATES,IPS,2,91
Yogyakarta,2018,Reguler,-,SMAN 1 WATES,IPS,3,32
Yogyakarta,2018,Reguler,-,SMAN 1 SENTOLO,IPA,1,117
Yogyakarta,2018,Reguler,-,SMAN 1 SENTOLO,IPA,2,58
Yogyakarta,2018,Reguler,-,SMAN 1 SENTOLO,IPA,3,62
Yogyakarta,2018,Reguler,-,SMAN 1 SENTOLO,IPS,1,62
Yogyakarta,2018,Reguler,-,SMAN 1 SENTOLO,IPS,2,71
Yogyakarta,2018,Reguler,-,SMAN 1 SENTOLO,IPS,3,59
Yogyakarta,2018,Reguler,-,SMAN 1 GALUR,IPA,1,49
Yogyakarta,2018,Reguler,-,SMAN 1 GALUR,IPA,2,51
Yogyakarta,2018,Reguler,-,SMAN 1 GALUR,IPA,3,68
Yogyakarta,2018,Reguler,-,SMAN 1 GALUR,IPS,1,48
Yogyakarta,2018,Reguler,-,SMAN 1 GALUR,IPS,2,71
Yogyakarta,2018,Reguler,-,SMAN 1 GALUR,IPS,3,57
Yogyakarta,2018,Reguler,-,SMAN 1 GIRIMULYO,IPA,1,34
Yogyakarta,2018,Reguler,-,SMAN 1 GIRIMULYO,IPA,2,31
Yogyakarta,2018,Reguler,-,SMAN 1 GIRIMULYO,IPA,3,25
Yogyakarta,2018,Reguler,-,SMAN 1 GIRIMULYO,IPS,1,38
Yogyakarta,2018,Reguler,-,SMAN 1 GIRIMULYO,IPS,2,52
Yogyakarta,2018,Reguler,-,SMAN 1 GIRIMULYO,IPS,3,32
Yogyakarta,2018,Reguler,-,SMAN 1 KALIBAWANG,IPA,1,52
Yogyakarta,2018,Reguler,-,SMAN 1 KALIBAWANG,IPA,2,29
Yogyakarta,2018,Reguler,-,SMAN 1 KALIBAWANG,IPA,3,36
Yogyakarta,2018,Reguler,-,SMAN 1 KALIBAWANG,IPS,1,27
Yogyakarta,2018,Reguler,-,SMAN 1 KALIBAWANG,IPS,2,71
Yogyakarta,2018,Reguler,-,SMAN 1 KALIBAWANG,IPS,3,26
Yogyakarta,2018,Reguler,-,SMAN 1 KOKAP,IPA,1,13
Yogyakarta,2018,Reguler,-,SMAN 1 KOKAP,IPA,2,12
Yogyakarta,2018,Reguler,-,SMAN 1 KOKAP,IPA,3,32
Yogyakarta,2018,Reguler,-,SMAN 1 KOKAP,IPS,1,28
Yogyakarta,2018,Reguler,-,SMAN 1 KOKAP,IPS,2,19
Yogyakarta,2018,Reguler,-,SMAN 1 KOKAP,IPS,3,25
Yogyakarta,2018,Reguler,-,SMAN 1 LENDAH,IPA,1,105
Yogyakarta,2018,Reguler,-,SMAN 1 LENDAH,IPA,2,72
Yogyakarta,2018,Reguler,-,SMAN 1 LENDAH,IPA,3,83
Yogyakarta,2018,Reguler,-,SMAN 1 LENDAH,IPS,1,58
Yogyakarta,2018,Reguler,-,SMAN 1 LENDAH,IPS,2,110
Yogyakarta,2018,Reguler,-,SMAN 1 LENDAH,IPS,3,52
Yogyakarta,2018,Reguler,-,SMAN 1 PENGASIH,IPA,1,116
Yogyakarta,2018,Reguler,-,SMAN 1 PENGASIH,IPA,2,119
Yogyakarta,2018,Reguler,-,SMAN 1 PENGASIH,IPA,3,155
Yogyakarta,2018,Reguler,-,SMAN 1 PENGASIH,IPS,1,55
Yogyakarta,2018,Reguler,-,SMAN 1 PENGASIH,IPS,2,91
Yogyakarta,2018,Reguler,-,SMAN 1 PENGASIH,IPS,3,78
Yogyakarta,2018,Reguler,-,SMAN 1 SAMIGALUH,IPA,1,23
Yogyakarta,2018,Reguler,-,SMAN 1 SAMIGALUH,IPA,2,12
Yogyakarta,2018,Reguler,-,SMAN 1 SAMIGALUH,IPA,3,6
Yogyakarta,2018,Reguler,-,SMAN 1 SAMIGALUH,IPS,1,35
Yogyakarta,2018,Reguler,-,SMAN 1 SAMIGALUH,IPS,2,5
Yogyakarta,2018,Reguler,-,SMAN 1 SAMIGALUH,IPS,3,1
Yogyakarta,2018,Reguler,-,SMAN 1 SEMIN,IPA,1,152
Yogyakarta,2018,Reguler,-,SMAN 1 SEMIN,IPA,2,69
Yogyakarta,2018,Reguler,-,SMAN 1 SEMIN,IPA,3,20
Yogyakarta,2018,Reguler,-,SMAN 1 SEMIN,IPS,1,121
Yogyakarta,2018,Reguler,-,SMAN 1 SEMIN,IPS,2,136
Yogyakarta,2018,Reguler,-,SMAN 1 SEMIN,IPS,3,17
Yogyakarta,2018,Reguler,-,SMAN 1 SEMANU,IPA,1,45
Yogyakarta,2018,Reguler,-,SMAN 1 SEMANU,IPA,2,42
Yogyakarta,2018,Reguler,-,SMAN 1 SEMANU,IPA,3,59
Yogyakarta,2018,Reguler,-,SMAN 1 SEMANU,IPS,1,37
Yogyakarta,2018,Reguler,-,SMAN 1 SEMANU,IPS,2,47
Yogyakarta,2018,Reguler,-,SMAN 1 SEMANU,IPS,3,38
Yogyakarta,2018,Reguler,-,SMAN 1 RONGKOP,IPA,1,40
Yogyakarta,2018,Reguler,-,SMAN 1 RONGKOP,IPA,2,3
Yogyakarta,2018,Reguler,-,SMAN 1 RONGKOP,IPA,3,9
Yogyakarta,2018,Reguler,-,SMAN 1 RONGKOP,IPS,1,39
Yogyakarta,2018,Reguler,-,SMAN 1 RONGKOP,IPS,2,1
Yogyakarta,2018,Reguler,-,SMAN 1 RONGKOP,IPS,3,2
Yogyakarta,2018,Reguler,-,SMAN 1 PLAYEN,IPA,1,36
Yogyakarta,2018,Reguler,-,SMAN 1 PLAYEN,IPA,2,39
Yogyakarta,2018,Reguler,-,SMAN 1 PLAYEN,IPA,3,42
Yogyakarta,2018,Reguler,-,SMAN 1 PLAYEN,IPS,1,62
Yogyakarta,2018,Reguler,-,SMAN 1 PLAYEN,IPS,2,66
Yogyakarta,2018,Reguler,-,SMAN 1 PLAYEN,IPS,3,68
Yogyakarta,2018,Reguler,-,SMAN 1 PANGGANG,IPA,1,75
Yogyakarta,2018,Reguler,-,SMAN 1 PANGGANG,IPA,2,21
Yogyakarta,2018,Reguler,-,SMAN 1 PANGGANG,IPA,3,7
Yogyakarta,2018,Reguler,-,SMAN 1 PANGGANG,IPS,1,94
Yogyakarta,2018,Reguler,-,SMAN 1 PANGGANG,IPS,2,30
Yogyakarta,2018,Reguler,-,SMAN 1 PANGGANG,IPS,3,7
Yogyakarta,2018,Reguler,-,SMAN 1 KARANGMOJO,IPA,1,113
Yogyakarta,2018,Reguler,-,SMAN 1 KARANGMOJO,IPA,2,65
Yogyakarta,2018,Reguler,-,SMAN 1 KARANGMOJO,IPA,3,43
Yogyakarta,2018,Reguler,-,SMAN 1 KARANGMOJO,IPS,1,58
Yogyakarta,2018,Reguler,-,SMAN 1 KARANGMOJO,IPS,2,118
Yogyakarta,2018,Reguler,-,SMAN 1 KARANGMOJO,IPS,3,34
Yogyakarta,2018,Reguler,-,SMAN 2 PLAYEN,IPA,1,70
Yogyakarta,2018,Reguler,-,SMAN 2 PLAYEN,IPA,2,57
Yogyakarta,2018,Reguler,-,SMAN 2 PLAYEN,IPA,3,102
Yogyakarta,2018,Reguler,-,SMAN 2 PLAYEN,IPS,1,83
Yogyakarta,2018,Reguler,-,SMAN 2 PLAYEN,IPS,2,89
Yogyakarta,2018,Reguler,-,SMAN 2 PLAYEN,IPS,3,108
Yogyakarta,2018,Reguler,-,SMAN 2 WONOSARI,IPA,1,122
Yogyakarta,2018,Reguler,-,SMAN 2 WONOSARI,IPA,2,126
Yogyakarta,2018,Reguler,-,SMAN 2 WONOSARI,IPA,3,91
Yogyakarta,2018,Reguler,-,SMAN 2 WONOSARI,IPS,1,66
Yogyakarta,2018,Reguler,-,SMAN 2 WONOSARI,IPS,2,118
Yogyakarta,2018,Reguler,-,SMAN 2 WONOSARI,IPS,3,50
Yogyakarta,2018,Reguler,-,SMAN 2 WONOSARI,Bahasa,1,44
Yogyakarta,2018,Reguler,-,SMAN 2 WONOSARI,Bahasa,2,22
Yogyakarta,2018,Reguler,-,SMAN 2 WONOSARI,Bahasa,3,37
Yogyakarta,2018,Reguler,-,SMAN 1 TANJUNGSARI,IPA,1,32
Yogyakarta,2018,Reguler,-,SMAN 1 TANJUNGSARI,IPA,2,23
Yogyakarta,2018,Reguler,-,SMAN 1 TANJUNGSARI,IPA,3,5
Yogyakarta,2018,Reguler,-,SMAN 1 TANJUNGSARI,IPS,1,27
Yogyakarta,2018,Reguler,-,SMAN 1 TANJUNGSARI,IPS,2,32
Yogyakarta,2018,Reguler,-,SMAN 1 TANJUNGSARI,IPS,3,12
Yogyakarta,2018,Reguler,-,SMAN 1 TURI KAB. SLEMAN,IPA,1,57
Yogyakarta,2018,Reguler,-,SMAN 1 TURI KAB. SLEMAN,IPA,2,48
Yogyakarta,2018,Reguler,-,SMAN 1 TURI KAB. SLEMAN,IPA,3,100
Yogyakarta,2018,Reguler,-,SMAN 1 TURI KAB. SLEMAN,IPS,1,44
Yogyakarta,2018,Reguler,-,SMAN 1 TURI KAB. SLEMAN,IPS,2,93
Yogyakarta,2018,Reguler,-,SMAN 1 TURI KAB. SLEMAN,IPS,3,80
Yogyakarta,2018,Reguler,-,SMAN 1 TEMPEL KAB. SLEMAN,IPA,1,42
