nama_sekolah,kecamatan,kota,jumlah_siswa,jumlah_guru,latitude,longitude,perbandinganSiswaGuru
SMA Negeri 13,K o j a,jakarta utara,935,52,-6.100956,106.897552,18
SMA Negeri 15,Tanjung Priok,jakarta utara,671,38,-6.120073,106.863907,18
SMA Negeri 18,Tanjung Priok,jakarta utara,745,44,-6.099591,106.883133,17
SMA Negeri 40,Pademangan,jakarta utara,641,36,-6.12849,106.840858,18
SMA Negeri 41,Tanjung Priok,jakarta utara,635,35,-6.112307,106.8731,18
SMA Negeri 45,Kelapa Gading,jakarta utara,855,51,-6.167692,106.904671,17
SMA Negeri 5,Kemayoran,jakarta utara,851,47,-6.158845,106.866791,18
SMA Negeri 52,Cilincing,jakarta utara,852,48,-6.122282,106.923836,18
SMA Negeri 72,Kelapa Gading,jakarta utara,755,47,-6.165924,106.882843,16
SMA Negeri 73,Cilincing,jakarta utara,674,42,-6.111403,106.92453,16
SMA Negeri 75,Cilincing,jakarta utara,735,46,-6.152633,106.926872,16
SMA Negeri 80,Tanjung Priok,jakarta utara,788,44,-6.227593,106.931595,18
SMA Negeri 83,Cilincing,jakarta utara,629,40,-6.142944,106.927132,16
SMA Negeri 92,Cilincing,jakarta utara,817,48,-6.099591,106.926392,17
SMA Negeri 34,Cilandak,jakarta selatan,857,56,-6.3134,106.7948,15
SMA Negeri 69 Pulau Pramuka,Kepulauan Seribu Utara,kepualauan seribu,492,30,-6.112904,106.745514,16
