Kode,Provinsi,Kabupaten,Bahasa Indonesia,Bahasa Inggris,Matematika,Ekonomi,Sosiologi,Geografi
3272,Jawa Barat,Sukabumi,60.8,39.99,36.21,34.82,46.59,41.98
3278,Jawa Barat,Tasikmalaya,65.02,43.99,38.98,40.27,60.13,43.91
3304,Jawa Tengah,Banjarnegara,69.22,42.1,40.32,43.97,65.2,49.05
3302,Jawa Tengah,Banyumas,71.06,47.46,48.05,46.67,63.96,46.21
3325,Jawa Tengah,Batang,61.18,43.69,34.88,45.6,53.63,38.58
3316,Jawa Tengah,Blora,66.53,38.91,39.63,29.08,58.57,43.1
3309,Jawa Tengah,Boyolali,66.19,39.39,40.45,41.73,62.06,39.49
3329,Jawa Tengah,Brebes,60.65,34.1,29.03,30.37,55.29,29.36
3301,Jawa Tengah,Cilacap,67,38.74,39.67,42.4,62.84,44.67
3321,Jawa Tengah,Demak,56.15,38.52,31.95,12.92,49.79,16.31
3315,Jawa Tengah,Grobogan,58.86,34.2,32.7,23.03,48.45,33.62
3320,Jawa Tengah,Jepara,64.95,38.52,36.12,42.15,60.67,42.01
3313,Jawa Tengah,Karanganyar,68.83,41.58,43.13,50.28,64.88,51.57
3305,Jawa Tengah,Kebumen,71.15,43.68,46.76,43.87,62.81,53.54
3324,Jawa Tengah,Kendal,63.52,38.28,37.05,40.56,58.64,39.16
3310,Jawa Tengah,Klaten,65.12,41.95,40.84,42.14,57.78,42.35
3319,Jawa Tengah,Kudus,65.87,43.67,41.95,46.97,60.74,40.99
3308,Jawa Tengah,Magelang,71.75,46.06,48.34,48.62,60.96,55.74
3318,Jawa Tengah,Pati,63.75,38.6,40.41,34.68,58.79,34.5
3326,Jawa Tengah,Pekalongan,64.7,39.26,33.31,38.5,60.22,43.88
3327,Jawa Tengah,Pemalang,62.09,37.25,36.3,37.15,54.45,33.04
3303,Jawa Tengah,Purbalingga,71.35,42,47.09,46.52,59.79,56.42
3306,Jawa Tengah,Purworejo,71.12,45.28,48.97,47.94,63.67,45.71
3317,Jawa Tengah,Rembang,66.42,39.69,41.55,40.58,58.13,52.08
3322,Jawa Tengah,Semarang,66.9,41,41.64,42.27,62.26,45.25
3314,Jawa Tengah,Sragen,64.05,38.53,37.56,41.9,57.12,45.01
3311,Jawa Tengah,Sukoharjo,69.97,48.05,47.89,46.84,68.19,45.15
3328,Jawa Tengah,Tegal,62.82,37.09,33.45,35.3,55,41.19
3323,Jawa Tengah,Temanggung,67.21,45.52,42.38,44.2,56.36,48.79
3312,Jawa Tengah,Wonogiri,69.73,43,44.6,47.05,62.39,53.47
3307,Jawa Tengah,Wonosobo,68.9,41.02,40.84,38.88,64.62,54.74
3371,Jawa Tengah,Magelang,73.78,55.45,55.31,58.2,68.53,49.53
3375,Jawa Tengah,Pekalongan,70.88,52.6,53.62,47.1,66.84,52.31
3373,Jawa Tengah,Salatiga,72.84,53.29,49.37,54.7,68.81,48.67
3374,Jawa Tengah,Semarang,66.87,47.69,43.59,48.2,59.45,43.38
3372,Jawa Tengah,Surakarta,71.67,50.75,51.36,46.06,63.52,47.41
3376,Jawa Tengah,Tegal,67.33,45.7,45.03,48.09,63.13,59.27
3526,Jawa Timur,Bangkalan,50.73,31.7,32.42,17.58,36.28,17.16
3510,Jawa Timur,Banyuwangi,58.96,35.54,34.05,40.02,49.97,43.72
3505,Jawa Timur,Blitar,64.96,38.56,37.08,45.95,56.57,48.34
3522,Jawa Timur,Bojonegoro,59.55,34.8,34.43,30.63,49.02,34.38
3511,Jawa Timur,Bondowoso,55.46,30.5,31.69,24.56,39.73,27.36
3525,Jawa Timur,Gresik,60.28,37.91,36.33,34.82,50.57,28.97
3509,Jawa Timur,Jember,57.38,35.52,33.78,31.25,50.68,31.9
3517,Jawa Timur,Jombang,62.76,39.13,37.51,29.9,55.34,38.61
3506,Jawa Timur,Kediri,64.58,37.52,35.07,38.97,57.84,45.06
3524,Jawa Timur,Lamongan,56.23,33.63,33.26,25.45,48.28,27.45
3508,Jawa Timur,Lumajang,58.23,33.08,32.73,29.14,54.48,25.94
3519,Jawa Timur,Madiun,66.65,43.58,43.6,53.56,62.59,55.02
3520,Jawa Timur,Magetan,64.37,40.38,39.16,45.18,57.08,52
3507,Jawa Timur,Malang,64.88,37.5,35.99,36.26,54.51,42.41
3516,Jawa Timur,Mojokerto,61.51,37.19,36.41,23.53,43.7,34.2
3518,Jawa Timur,Nganjuk,61.3,37.34,36.69,37.57,52.21,49.81
3521,Jawa Timur,Ngawi,61.19,35.01,33.61,24.74,54.08,31.17
3501,Jawa Timur,Pacitan,64.71,38.56,36.89,52.58,62.33,59.46
3528,Jawa Timur,Pamekasan,48.76,33.46,34.52,26.51,44.22,24.67
3514,Jawa Timur,Pasuruan,59.89,37.73,36.29,36.86,45.17,42.31
3502,Jawa Timur,Ponorogo,65.74,39.2,35.89,32.09,61.33,42.32
3513,Jawa Timur,Probolinggo,51.78,32.03,32.14,15.11,42.85,18.1
3527,Jawa Timur,Sampang,44.21,29.79,30.81,14.7,30.89,17.45
3515,Jawa Timur,Sidoarjo,61.43,42.82,38.68,35.9,57.34,35.85
3529,Jawa Timur,Sumenep,49.93,32.5,35.18,14.5,42.09,15.28
3503,Jawa Timur,Trenggalek,63.58,37.92,35.81,35.84,57.74,39.83
3523,Jawa Timur,Tuban,61.23,35.92,36.27,31.13,53.4,38.86
3504,Jawa Timur,Tulungagung,63.44,40.68,37.12,40.14,56.72,39.88
3579,Jawa Timur,Batu,68.15,42.1,42.15,46.85,61.06,54.15
3572,Jawa Timur,Blitar,67.58,43.2,37.39,41.42,49.33,39.98
3571,Jawa Timur,Kediri,62.79,41.03,39.35,35.7,57.67,38.12
3577,Jawa Timur,Madiun,67.81,47.72,38.66,39.53,58.57,32.12
3573,Jawa Timur,Malang,71.68,51.59,49.61,46.99,64.31,48.52
3576,Jawa Timur,Mojokerto,64.52,42.6,39.64,44.71,59.45,42.69
3575,Jawa Timur,Pasuruan,65.12,43.14,37.28,49.88,58.96,40.11
3578,Jawa Timur,Surabaya,65.87,50.13,42.76,45.62,57.53,41.14
6102,Kalimantan Barat,Bengkayang,53.9,29.1,25.33,31.22,45.86,40.69
6108,Kalimantan Barat,Kapuas Hulu,58.6,29.76,25.79,32.78,44.77,35.82
6111,Kalimantan Barat,Kayong Utara,59.47,28.49,26.92,35.38,54.51,39.54
6106,Kalimantan Barat,Ketapang,56.92,29.83,27.55,36.46,48.19,33.02
6112,Kalimantan Barat,Kuburaya,55.94,32.95,31.08,28.4,47.13,28.04
6103,Kalimantan Barat,Landak,50.53,25.48,24.12,25.04,43.25,33.47
6110,Kalimantan Barat,Melawi,55.8,27.72,24.2,24.29,49.23,32.93
6104,Kalimantan Barat,Mempawah,49.68,31.33,26.61,32.24,43.22,35.85
6101,Kalimantan Barat,Sambas,61.33,31.02,29.09,40.63,52.08,37.48
6109,Kalimantan Barat,Sekadau,61.02,40.11,38.97,31.91,55.53,30.15
6171,Kalimantan Barat,Pontianak,60.31,37.5,33.93,39.91,55.06,41.22
6172,Kalimantan Barat,Singkawang,60.66,31.7,28.89,26.87,50.75,32.42
6311,Kalimantan Selatan,Balangan,56.46,33.01,28.34,20.72,50.94,28.33
6303,Kalimantan Selatan,Banjar,62.81,40.53,28.83,30.74,50.75,31.24
6304,Kalimantan Selatan,Barito Kuala,61.18,40.06,33.42,39.81,55.74,47.05
6306,Kalimantan Selatan,Hulu Sungai Selatan,64.25,41.43,32.17,42.73,57.27,28.66
6309,Kalimantan Selatan,Tabalong,58.84,35.91,31.23,37.01,52.86,48.67
6310,Kalimantan Selatan,Tanah Bumbu,62.14,40.16,32.58,33.38,50.82,49.11
6301,Kalimantan Selatan,Tanah Laut,62.03,36.39,28.28,29.3,55.02,29.76
6372,Kalimantan Selatan,Banjarbaru,66.88,49.09,39.42,57.64,59.76,59.39
6371,Kalimantan Selatan,Banjarmasin,61.86,44.66,36.47,40.66,57.08,43.56
6204,Kalimantan Tengah,Barito Selatan,61.16,49.44,53.14,38.69,44.48,35.68
6212,Kalimantan Tengah,Barito Timur,53.68,33.19,30.98,28.35,44.04,33.49
6205,Kalimantan Tengah,Barito Utara,54.37,36.41,35.75,10.51,45.1,25.03
6211,Kalimantan Tengah,Gunung Mas,55.48,43.53,46.52,31.66,53.47,37.81
6203,Kalimantan Tengah,Kapuas,60.47,48.13,45.5,37.39,41.6,38.3
6209,Kalimantan Tengah,Katingan,57.27,36.82,32.96,26.49,34.65,28.51
6202,Kalimantan Tengah,Kotawaringin Timur,58.3,36.33,32.01,36.43,48.82,40.65
6207,Kalimantan Tengah,Lamandau,54.02,34.64,31.51,29.31,47.73,38.46
6213,Kalimantan Tengah,Murung Raya,57.06,46.36,43.41,16.02,28.56,28.18
6210,Kalimantan Tengah,Pulang Pisau,55.91,44.69,42.68,32.19,43.83,28.28
6208,Kalimantan Tengah,Seruyan,54.38,28.64,24.13,30.72,49.39,29.38
6271,Kalimantan Tengah,Palangka Raya,52.9,36.81,28.62,17.43,47.18,25.67
6405,Kalimantan Timur,Berau,57.47,41.49,30.09,34.51,51.67,41.15
6402,Kalimantan Timur,Kutai Barat,54.81,43.72,33.63,32.15,49.31,28.14
6403,Kalimantan Timur,Kutai Kartanegara,57.34,47.85,43.42,35.66,52.96,40.52
6404,Kalimantan Timur,Kutai Timur,60.56,45.91,34.73,36.78,53.13,36.85
6401,Kalimantan Timur,Paser,57.72,40.32,27.6,27.41,51.55,39.38
6409,Kalimantan Timur,Penajam Paser Utara,66.73,40.6,36.3,47.66,60.06,55.51
6471,Kalimantan Timur,Balikpapan,64.82,49.9,36.4,41.29,56.28,42.17
6474,Kalimantan Timur,Bontang,70.2,54.6,48.5,44.19,59.92,53.7
6472,Kalimantan Timur,Samarinda,61.77,46.61,34.59,41.51,54.56,41.42
6502,Kalimantan Utara,Bulungan,55.32,34.06,31.83,40.64,50.14,41.01
6501,Kalimantan Utara,Malinau,52.86,34.77,30.58,20.04,30.43,27.88
6504,Kalimantan Utara,Nunukan,55.28,37.99,32.74,32.75,44.97,39.49
6571,Kalimantan Utara,Tarakan,64.71,38.01,34.26,40.14,57.93,47.39
2102,Kepulauan Riau,Bintan,63.39,37.51,36.44,42.44,56.55,40.57
2101,Kepulauan Riau,Karimun,60.25,44.63,37.65,49.47,53.76,47.02
2171,Kepulauan Riau,Batam,67.65,54.51,47.84,40.99,59.23,37.68
2172,Kepulauan Riau,Tanjungpinang,65.28,48.59,39.84,46.64,50.01,37.31
1803,Lampung,Lampung Selatan,56.2,35.09,31.32,24.81,43.88,29.55
1805,Lampung,Lampung Tengah,58.05,34.32,29.77,27.72,47.47,26.38
1804,Lampung,Lampung Timur,55.1,31.9,26.31,27.43,44.83,28.31
1806,Lampung,Lampung Utara,53.75,32.04,27.09,25.52,44.46,30.2
1810,Lampung,Pringsewu,62.11,33.57,33.42,37.21,52.12,42.32
1802,Lampung,Tanggamus,53.34,30.08,29.08,22.6,49.34,27.4
1808,Lampung,Tulang Bawang,53.29,30.93,27.65,26.78,49.53,27.62
1807,Lampung,Way Kanan,54.2,31.18,31.6,24.03,43.11,27.44
1871,Lampung,Bandar Lampung,59.18,41.65,37.58,39.55,52.21,36.03
1872,Lampung,Metro,61.76,37.3,35.97,41.29,57.7,41.58
8109,Maluku,Buru Selatan,57.46,56.02,55.76,36.37,44.95,55.5
8103,Maluku,Maluku Tengah,54.93,57.37,55.16,50.01,54.51,52.64
8102,Maluku,Maluku Tenggara,41.84,30.23,24.11,35.03,36.57,35.65
8101,Maluku,Maluku Tenggara Barat,37.26,30.94,21.74,30.41,35.48,34.1
8106,Maluku,Seram Bagian Barat,57.61,59.91,59.03,48.16,59.44,50.5
8171,Maluku,Ambon,47.68,45.66,29.34,40.63,45.84,39.71
8201,Maluku Utara,Halmahera Barat,43.24,41.55,37.67,20.04,29.89,34.7
8204,Maluku Utara,Halmahera Selatan,50.32,45.61,38.21,24.71,36.52,40.21
8202,Maluku Utara,Halmahera Tengah,57.39,54.19,54.86,31.9,37.18,13.65
8206,Maluku Utara,Halmahera Timur,49.82,49.66,38.42,30.62,26.13,38.33
8205,Maluku Utara,halmahera Utara,37.9,40.7,33.12,21.48,31.31,34.47
8207,Maluku Utara,Kepulauan Morotai,46.29,43.1,46.77,16.57,29.2,35.92
8203,Maluku Utara,Kepulauan Sula,62.23,58.15,58.94,40.18,55.68,39.75
8271,Maluku Utara,Ternate,47.1,30.97,28.2,33.03,37.88,41.65
8272,Maluku Utara,Tidore Kepulauan,57.36,55.41,61.09,32.76,56.18,47.95
5206,Nusa Tenggara Barat,Bima,36.63,32.15,25.69,16.04,30.14,22.6
5205,Nusa Tenggara Barat,Dompu,35.56,31.89,22.51,25.16,30.04,32.44
5201,Nusa Tenggara Barat,Lombok Barat,49.51,34.79,26.29,21.57,41.27,25.67
5202,Nusa Tenggara Barat,Lombok Tengah,48.83,38.31,32.37,19.53,38.53,26.29
5203,Nusa Tenggara Barat,Lombok Timur,54.75,33.38,31.85,32.88,45.55,32.18
5208,Nusa Tenggara Barat,Lombok Utara,47.93,31.95,24.86,20.17,36.04,21.23
5204,Nusa Tenggara Barat,Sumbawa,52.84,36.53,29.74,32.1,43.16,30.92
5207,Nusa Tenggara Barat,Sumbawa Barat,56.04,36.78,30.94,36.48,48.92,29.41
5272,Nusa Tenggara Barat,Bima,40.26,27.81,27.62,23.44,39.89,27.96
5271,Nusa Tenggara Barat,Mataram,57.07,38.5,32.62,36.08,44.85,34.04
5307,Nusa Tenggara Timur,Alor,43.28,35.42,27.46,24.66,34.22,33.63
5306,Nusa Tenggara Timur,Belu,48.61,30.96,27.22,32.48,42.66,29.98
5311,Nusa Tenggara Timur,Ende,51.9,31.37,25.5,34.47,44.13,41.11
5309,Nusa Tenggara Timur,Flores Timur,53.86,35.26,27.02,34.05,46.03,44.66
5303,Nusa Tenggara Timur,Kupang,42.67,37.8,29.81,31.88,38.12,34.49
5313,Nusa Tenggara Timur,Manggarai,52.69,40.67,34.93,43.85,50.1,48.92
5315,Nusa Tenggara Timur,Manggarai Barat,54.3,44.87,45.35,40.21,52.17,50.19
5319,Nusa Tenggara Timur,Manggarai Timur,57.43,48.7,46.01,35.39,55.74,46
5318,Nusa Tenggara Timur,Nagakeo,52.19,32.17,27.03,41.65,48.15,45.67
5314,Nusa Tenggara Timur,Rote-Ndao,46.65,38.85,32.35,40.24,46.91,36.18
5310,Nusa Tenggara Timur,Sikka,55.89,34.44,28.35,37,50.26,42.16
5301,Nusa Tenggara Timur,Sumba Barat,43.34,31.72,24.34,33.59,41.26,38.91
5316,Nusa Tenggara Timur,Sumba Tengah,40.09,27.16,21.73,31.34,37.47,35.31
5302,Nusa Tenggara Timur,Sumba Timur,46.44,33.18,23.87,34.64,41.97,38.95
5304,Nusa Tenggara Timur,Timor Tengah Selatan,50.87,50.54,48.15,45.19,47.39,44.43
5371,Nusa Tenggara Timur,Kupang,49.15,37.01,29.7,33.05,42.86,36.1
9409,Papua,Biak Numfor,42.28,32.88,34.59,25.45,34.98,27.5
9408,Papua,Kepulauan Yapen,41.51,30.57,27.64,18.44,31.49,32.67
9412,Papua,Mimika,47.2,34.98,33.49,28.97,43.21,40.05
9404,Papua,Nabire,43.94,37.8,30.73,31.56,33.05,37.33
9403,Papua,Jayapura,46.42,32.8,28.23,25.32,45.42,35.23
9107,Papua Barat,Sorong,56.62,54.93,52.81,32.11,40.44,29.76
1408,Riau,Bengkalis,56.64,36.91,33.76,29.61,42.27,28.55
1403,Riau,Indragiri Hilir,60.15,42.53,45.36,31.2,45.16,36.36
1402,Riau,Indragiri Hulu,59.1,31.8,27.81,23.33,48.54,37.67
1406,Riau,Kampar,56.06,35.04,29.09,20.76,46.05,27.04
1410,Riau,Kepulauan Meranti,54.55,31.41,30.52,29.7,36.39,36.68
1401,Riau,Kuantan Singingi,60.09,31.77,26.97,34.79,51.32,28.86
1404,Riau,Pelalawan,62.42,37.88,34.02,36.92,54.96,29.31
1409,Riau,Rokan Hilir,57.26,36.69,35.86,31.43,48.64,28.03
1407,Riau,Rokan Hulu,60.46,34.7,36.45,27.73,48.77,42.75
1405,Riau,Siak,60.22,33.93,34.53,39,52.15,43.12
1473,Riau,Dumai,62.98,35.78,32.46,40.01,55.66,45.21
1471,Riau,Pekanbaru,64.22,45.34,40.47,39.56,55.91,37.41
7601,Sulawesi Barat,Majene,50.22,36.66,27.91,37.66,45.27,38.63
7603,Sulawesi Barat,Mamasa,56.1,44.46,38.72,24.79,36.6,25.18
7604,Sulawesi Barat,Mamuju,50.02,37.04,30.56,9.84,43.31,17.73
7606,Sulawesi Barat,Mamuju Tengah,46.58,33.47,24,8.83,38.68,21.95
7605,Sulawesi Barat,Mamuju Utara,46.84,32.43,23.45,28.03,40.04,28.43
7602,Sulawesi Barat,Polewali Mandar,49.77,32.42,29.53,28.22,45.85,26.63
7303,Sulawesi Selatan,Bantaeng,48.57,36,26.22,22.9,38.23,30.8
7310,Sulawesi Selatan,Barru,53.79,31.39,29.65,21.9,42.25,27.35
7311,Sulawesi Selatan,Bone,65.37,73.56,65.95,33.09,57.95,47.21
7302,Sulawesi Selatan,Bulukumba,48.73,48.14,32.6,29.02,39.5,30.05
7316,Sulawesi Selatan,Enrekang,54.8,62.75,32.6,30.65,49.75,53.15
7306,Sulawesi Selatan,Gowa,45.22,37.5,22.33,18.65,37.59,29.11
7304,Sulawesi Selatan,Jeneponto,44.17,43.71,29.29,20.49,37.99,26.5
7301,Sulawesi Selatan,Kepulauan Selayar,55.16,50.08,36.67,46.78,40.46,31.91
7317,Sulawesi Selatan,Luwu,46.78,34.14,26.22,36.15,41.79,25.71
7325,Sulawesi Selatan,Luwu Timur,53.17,39.73,26.1,35.19,49,34.49
7322,Sulawesi Selatan,Luwu Utara,53.22,40.97,37.77,39.75,37.23,26.56
7308,Sulawesi Selatan,Maros,45.51,41.62,24.88,17.57,35.25,19.58
7309,Sulawesi Selatan,Pangkajene Kepulauan,55.99,44.86,40.68,18.08,33.66,31.8
7315,Sulawesi Selatan,Pinrang,52.2,40.79,30.71,35.63,41.05,28.16
7314,Sulawesi Selatan,Sidenreng Rappang,50.77,49.93,29.58,21.9,42.77,22.77
7307,Sulawesi Selatan,Sinjai,52.24,56.28,32.56,31.95,43.46,30.27
7312,Sulawesi Selatan,Soppeng,51.79,48.64,36.06,41.42,41.88,33.65
7305,Sulawesi Selatan,Takalar,43.86,44.68,30.36,20.21,39.16,30.53
7318,Sulawesi Selatan,Tana Toraja,57.38,41.77,39.71,37.76,52.51,43.54
7326,Sulawesi Selatan,Toraja Utara,53.79,37.15,34.74,41.06,45.65,30.65
7313,Sulawesi Selatan,Wajo,56.87,46.1,43.84,38.14,44.64,48.53
7371,Sulawesi Selatan,Makassar,50.17,43.9,30.1,24.7,44.69,20.29
7373,Sulawesi Selatan,Palopo,50.69,38.35,31.97,35.43,47.14,32.33
7372,Sulawesi Selatan,Parepare,48.24,36.06,25.43,24.56,34.86,26.13
7202,Sulawesi Tengah,Banggai,51.7,43.53,35.28,29.31,43.29,30
7201,Sulawesi Tengah,Banggai Kepulauan,60.15,49.17,43.61,31.38,44.82,33.44
7207,Sulawesi Tengah,Buol,47.17,33.68,22.2,28.77,39.04,33.37
7205,Sulawesi Tengah,Donggala,48.62,35.28,22.73,31.95,42.55,32.43
7203,Sulawesi Tengah,Morowali,57.92,47.63,43.83,47.37,50.43,51.18
7212,Sulawesi Tengah,Morowali Utara,58.06,41.03,28.71,28.72,45.72,43.21
7208,Sulawesi Tengah,Parigi Moutong,52.91,35.29,31.7,36.45,50.69,38.11
7204,Sulawesi Tengah,Poso,58.96,42.85,32.45,32.18,53.56,43.81
