Provinsi,Tahun,Jalur,Tahap,Sekolah,Jurusan,Indikator,Nilai Akhir
Yogyakarta,2017,Reguler,-,SMAN 2 Yogya,-,Tertinggi,397.00
Yogyakarta,2017,Reguler,-,SMAN 2 Yogya,-,Rata - Rata,380.79
Yogyakarta,2017,Reguler,-,SMAN 3 Yogyakarta,-,Terendah,357.00
Yogyakarta,2017,Reguler,-,SMAN 3 Yogyakarta,-,Tertinggi,417.00
Yogyakarta,2017,Reguler,-,SMAN 3 Yogyakarta,-,Rata - Rata,398.03
Yogyakarta,2017,Reguler,-,SMAN 4 Yogyakarta,-,Terendah,236.50
Yogyakarta,2017,Reguler,-,SMAN 4 Yogyakarta,-,Tertinggi,382.50
Yogyakarta,2017,Reguler,-,SMAN 4 Yogyakarta,-,Rata - Rata,361.70
Yogyakarta,2017,Reguler,-,SMAN 5 Yogyakarta,-,Terendah,273.50
Yogyakarta,2017,Reguler,-,SMAN 5 Yogyakarta,-,Tertinggi,398.00
Yogyakarta,2017,Reguler,-,SMAN 5 Yogyakarta,-,Rata - Rata,373.68
Yogyakarta,2017,Reguler,-,SMAN 6 Yogyakarta,-,Terendah,290.50
Yogyakarta,2017,Reguler,-,SMAN 6 Yogyakarta,-,Tertinggi,392.00
Yogyakarta,2017,Reguler,-,SMAN 6 Yogyakarta,-,Rata - Rata,374.90
Yogyakarta,2017,Reguler,-,SMAN 7 Yogyakarta,-,Terendah,252.00
Yogyakarta,2017,Reguler,-,SMAN 7 Yogyakarta,-,Tertinggi,389.50
Yogyakarta,2017,Reguler,-,SMAN 7 Yogyakarta,-,Rata - Rata,364.52
Yogyakarta,2017,Reguler,-,SMAN 8 Yogyakarta,-,Terendah,331.00
Yogyakarta,2017,Reguler,-,SMAN 8 Yogyakarta,-,Tertinggi,406.50
Yogyakarta,2017,Reguler,-,SMAN 8 Yogyakarta,-,Rata - Rata,386.40
Yogyakarta,2017,Reguler,-,SMAN 9 Yogyakarta,-,Terendah,314.00
Yogyakarta,2017,Reguler,-,SMAN 9 Yogyakarta,-,Tertinggi,388.00
Yogyakarta,2017,Reguler,-,SMAN 9 Yogyakarta,-,Rata - Rata,371.01
Yogyakarta,2017,Reguler,-,SMAN 10 Yogyakarta,-,Terendah,263.00
Yogyakarta,2017,Reguler,-,SMAN 10 Yogyakarta,-,Tertinggi,369.50
Yogyakarta,2017,Reguler,-,SMAN 10 Yogyakarta,-,Rata - Rata,351.77
Yogyakarta,2017,Reguler,-,SMAN 11 Yogyakarta,-,Terendah,228.50
Yogyakarta,2017,Reguler,-,SMAN 11 Yogyakarta,-,Tertinggi,375.00
Yogyakarta,2017,Reguler,-,SMAN 11 Yogyakarta,-,Rata - Rata,357.31
Yogyakarta,2017,Reguler,-,SMAN 1 Sewon,-,Terendah,239.50
Yogyakarta,2017,Reguler,-,SMAN 1 Sewon,-,Tertinggi,389.00
Yogyakarta,2017,Reguler,-,SMAN 1 Sewon,-,Rata - Rata,344.23
Yogyakarta,2017,Reguler,-,SMAN 1 Sedayu,-,Terendah,177.50
Yogyakarta,2017,Reguler,-,SMAN 1 Sedayu,-,Tertinggi,367.00
Yogyakarta,2017,Reguler,-,SMAN 1 Sedayu,-,Rata - Rata,275.20
Yogyakarta,2017,Reguler,-,SMAN 1 Sanden,-,Terendah,275.00
Yogyakarta,2017,Reguler,-,SMAN 1 Sanden,-,Tertinggi,385.00
Yogyakarta,2017,Reguler,-,SMAN 1 Sanden,-,Rata - Rata,315.87
Yogyakarta,2017,Reguler,-,SMAN 1 Pundong,-,Terendah,228.00
Yogyakarta,2017,Reguler,-,SMAN 1 Pundong,-,Tertinggi,385.00
Yogyakarta,2017,Reguler,-,SMAN 1 Pundong,-,Rata - Rata,309.80
Yogyakarta,2017,Reguler,-,SMAN 1 Pleret,-,Terendah,228.00
Yogyakarta,2017,Reguler,-,SMAN 1 Pleret,-,Tertinggi,343.50
Yogyakarta,2017,Reguler,-,SMAN 1 Pleret,-,Rata - Rata,293.82
Yogyakarta,2017,Reguler,-,SMAN 1 Piyungan,-,Terendah,215.50
Yogyakarta,2017,Reguler,-,SMAN 1 Piyungan,-,Tertinggi,335.00
Yogyakarta,2017,Reguler,-,SMAN 1 Piyungan,-,Rata - Rata,270.48
Yogyakarta,2017,Reguler,-,SMAN 1 Pajangan,-,Terendah,198.00
Yogyakarta,2017,Reguler,-,SMAN 1 Pajangan,-,Tertinggi,388.00
Yogyakarta,2017,Reguler,-,SMAN 1 Pajangan,-,Rata - Rata,277.73
Yogyakarta,2017,Reguler,-,SMAN 1 Kretek,-,Terendah,186.50
Yogyakarta,2017,Reguler,-,SMAN 1 Kretek,-,Tertinggi,291.00
Yogyakarta,2017,Reguler,-,SMAN 1 Kretek,-,Rata - Rata,241.04
Yogyakarta,2017,Reguler,-,SMAN 1 Srandakan,-,Terendah,165.50
Yogyakarta,2017,Reguler,-,SMAN 1 Srandakan,-,Tertinggi,311.50
Yogyakarta,2017,Reguler,-,SMAN 1 Srandakan,-,Rata - Rata,223.32
Yogyakarta,2017,Reguler,-,SMAN 2 Banguntapan,-,Terendah,214.00
Yogyakarta,2017,Reguler,-,SMAN 2 Banguntapan,-,Tertinggi,369.00
Yogyakarta,2017,Reguler,-,SMAN 2 Banguntapan,-,Rata - Rata,315.00
Yogyakarta,2017,Reguler,-,SMAN 1 Dlingo,-,Terendah,196.00
Yogyakarta,2017,Reguler,-,SMAN 1 Dlingo,-,Tertinggi,330.50
Yogyakarta,2017,Reguler,-,SMAN 1 Dlingo,-,Rata - Rata,237.00
Yogyakarta,2017,Reguler,-,SMAN 3 Bantul,-,Terendah,248.00
Yogyakarta,2017,Reguler,-,SMAN 3 Bantul,-,Tertinggi,367.00
Yogyakarta,2017,Reguler,-,SMAN 3 Bantul,-,Rata - Rata,319.58
Yogyakarta,2017,Reguler,-,SMAN 1 Kasihan,-,Terendah,280.50
Yogyakarta,2017,Reguler,-,SMAN 1 Kasihan,-,Tertinggi,387.50
Yogyakarta,2017,Reguler,-,SMAN 1 Kasihan,-,Rata - Rata,342.97
Yogyakarta,2017,Reguler,-,SMAN 1 Jetis,-,Terendah,242.50
Yogyakarta,2017,Reguler,-,SMAN 1 Jetis,-,Tertinggi,387.00
Yogyakarta,2017,Reguler,-,SMAN 1 Jetis,-,Rata - Rata,344.20
Yogyakarta,2017,Reguler,-,SMAN 1 Imogiri,-,Terendah,213.50
Yogyakarta,2017,Reguler,-,SMAN 1 Imogiri,-,Tertinggi,358.50
Yogyakarta,2017,Reguler,-,SMAN 1 Imogiri,-,Rata - Rata,283.04
Yogyakarta,2017,Reguler,-,SMAN 1 Banguntapan,-,Terendah,237.50
Yogyakarta,2017,Reguler,-,SMAN 1 Banguntapan,-,Tertinggi,383.00
Yogyakarta,2017,Reguler,-,SMAN 1 Banguntapan,-,Rata - Rata,337.62
Yogyakarta,2017,Reguler,-,SMAN 1 Bambanglipuro,-,Terendah,189.00
Yogyakarta,2017,Reguler,-,SMAN 1 Bambanglipuro,-,Tertinggi,362.00
Yogyakarta,2017,Reguler,-,SMAN 1 Bambanglipuro,-,Rata - Rata,272.28
Yogyakarta,2017,Reguler,-,SMAN 1 Wates,-,Terendah,303.50
Yogyakarta,2017,Reguler,-,SMAN 1 Wates,-,Tertinggi,406.50
Yogyakarta,2017,Reguler,-,SMAN 1 Wates,-,Rata - Rata,368.12
Yogyakarta,2017,Reguler,-,SMAN 1 Sentolo,-,Terendah,272.00
Yogyakarta,2017,Reguler,-,SMAN 1 Sentolo,-,Tertinggi,383.00
Yogyakarta,2017,Reguler,-,SMAN 1 Sentolo,-,Rata - Rata,305.79
Yogyakarta,2017,Reguler,-,SMAN 1 Galur,-,Terendah,173.00
Yogyakarta,2017,Reguler,-,SMAN 1 Galur,-,Tertinggi,311.50
Yogyakarta,2017,Reguler,-,SMAN 1 Galur,-,Rata - Rata,226.24
Yogyakarta,2017,Reguler,-,SMAN 1 Girimulyo,-,Terendah,173.00
Yogyakarta,2017,Reguler,-,SMAN 1 Girimulyo,-,Tertinggi,344.50
Yogyakarta,2017,Reguler,-,SMAN 1 Girimulyo,-,Rata - Rata,230.21
Yogyakarta,2017,Reguler,-,SMAN 1 Kalibawang,-,Terendah,184.50
Yogyakarta,2017,Reguler,-,SMAN 1 Kalibawang,-,Tertinggi,360.50
Yogyakarta,2017,Reguler,-,SMAN 1 Kalibawang,-,Rata - Rata,246.98
Yogyakarta,2017,Reguler,-,SMAN 1 Kokap,-,Terendah,129.00
Yogyakarta,2017,Reguler,-,SMAN 1 Kokap,-,Tertinggi,329.50
Yogyakarta,2017,Reguler,-,SMAN 1 Kokap,-,Rata - Rata,230.98
Yogyakarta,2017,Reguler,-,SMAN 1 Lendah,-,Terendah,227.00
Yogyakarta,2017,Reguler,-,SMAN 1 Lendah,-,Tertinggi,369.50
Yogyakarta,2017,Reguler,-,SMAN 1 Lendah,-,Rata - Rata,271.55
Yogyakarta,2017,Reguler,-,SMAN 1 Pengasih,-,Terendah,279.00
Yogyakarta,2017,Reguler,-,SMAN 1 Pengasih,-,Tertinggi,367.50
Yogyakarta,2017,Reguler,-,SMAN 1 Pengasih,-,Rata - Rata,326.92
Yogyakarta,2017,Reguler,-,SMAN 1 Samigaluh,-,Terendah,146.00
Yogyakarta,2017,Reguler,-,SMAN 1 Samigaluh,-,Tertinggi,360.50
Yogyakarta,2017,Reguler,-,SMAN 1 Samigaluh,-,Rata - Rata,245.39
Yogyakarta,2017,Reguler,-,SMAN 1 Semin,-,Terendah,216.00
Yogyakarta,2017,Reguler,-,SMAN 1 Semin,-,Tertinggi,368.50
Yogyakarta,2017,Reguler,-,SMAN 1 Semin,-,Rata - Rata,270.43
Yogyakarta,2017,Reguler,-,SMAN 1 Semanu,-,Terendah,166.00
Yogyakarta,2017,Reguler,-,SMAN 1 Semanu,-,Tertinggi,335.50
Yogyakarta,2017,Reguler,-,SMAN 1 Semanu,-,Rata - Rata,235.25
Yogyakarta,2017,Reguler,-,SMAN 1 Rongkop,-,Terendah,168.00
Yogyakarta,2017,Reguler,-,SMAN 1 Rongkop,-,Tertinggi,375.00
Yogyakarta,2017,Reguler,-,SMAN 1 Rongkop,-,Rata - Rata,241.27
Yogyakarta,2017,Reguler,-,SMAN 1 Playen,-,Terendah,148.50
Yogyakarta,2017,Reguler,-,SMAN 1 Playen,-,Tertinggi,322.00
Yogyakarta,2017,Reguler,-,SMAN 1 Playen,-,Rata - Rata,239.69
Yogyakarta,2017,Reguler,-,SMAN 1 Panggang,-,Terendah,167.50
Yogyakarta,2017,Reguler,-,SMAN 1 Panggang,-,Tertinggi,376.50
Yogyakarta,2017,Reguler,-,SMAN 1 Panggang,-,Rata - Rata,255.91
Yogyakarta,2017,Reguler,-,SMAN 1 Karangmojo,-,Terendah,233.00
Yogyakarta,2017,Reguler,-,SMAN 1 Karangmojo,-,Tertinggi,385.50
Yogyakarta,2017,Reguler,-,SMAN 1 Karangmojo,-,Rata - Rata,286.10
Yogyakarta,2017,Reguler,-,SMAN 2 Playen,-,Terendah,289.00
Yogyakarta,2017,Reguler,-,SMAN 2 Playen,-,Tertinggi,365.50
Yogyakarta,2017,Reguler,-,SMAN 2 Playen,-,Rata - Rata,323.67
Yogyakarta,2017,Reguler,-,SMAN 2 Wonosari,-,Terendah,328.50
Yogyakarta,2017,Reguler,-,SMAN 2 Wonosari,-,Tertinggi,393.50
Yogyakarta,2017,Reguler,-,SMAN 2 Wonosari,-,Rata - Rata,350.91
Yogyakarta,2017,Reguler,-,SMAN 1 Tanjungsari,-,Terendah,149.00
Yogyakarta,2017,Reguler,-,SMAN 1 Tanjungsari,-,Tertinggi,312.50
Yogyakarta,2017,Reguler,-,SMAN 1 Tanjungsari,-,Rata - Rata,226.38
Yogyakarta,2017,Reguler,-,SMAN 1 Turi Kab. Sleman,-,Terendah,259.00
Yogyakarta,2017,Reguler,-,SMAN 1 Turi Kab. Sleman,-,Tertinggi,374.50
Yogyakarta,2017,Reguler,-,SMAN 1 Turi Kab. Sleman,-,Rata - Rata,284.51
Yogyakarta,2017,Reguler,-,SMAN 1 Tempel Kab. Sleman,-,Terendah,241.00
Yogyakarta,2017,Reguler,-,SMAN 1 Tempel Kab. Sleman,-,Tertinggi,356.00
Yogyakarta,2017,Reguler,-,SMAN 1 Tempel Kab. Sleman,-,Rata - Rata,281.63
Yogyakarta,2017,Reguler,-,SMAN 1 Sleman Kab. Sleman,-,Terendah,346.50
Yogyakarta,2017,Reguler,-,SMAN 1 Sleman Kab. Sleman,-,Tertinggi,392.50
Yogyakarta,2017,Reguler,-,SMAN 1 Sleman Kab. Sleman,-,Rata - Rata,362.29
Yogyakarta,2017,Reguler,-,SMAN 1 Seyegan Kab. Sleman,-,Terendah,269.50
Yogyakarta,2017,Reguler,-,SMAN 1 Seyegan Kab. Sleman,-,Tertinggi,373.50
Yogyakarta,2017,Reguler,-,SMAN 1 Seyegan Kab. Sleman,-,Rata - Rata,328.48
Yogyakarta,2017,Reguler,-,SMAN 1 Prambanan Kab. Sleman,-,Terendah,296.50
Yogyakarta,2017,Reguler,-,SMAN 1 Prambanan Kab. Sleman,-,Tertinggi,364.50
Yogyakarta,2017,Reguler,-,SMAN 1 Prambanan Kab. Sleman,-,Rata - Rata,321.13
Yogyakarta,2017,Reguler,-,SMAN 1 Pakem Kab. Sleman,-,Terendah,311.50
Yogyakarta,2017,Reguler,-,SMAN 1 Pakem Kab. Sleman,-,Tertinggi,393.50
Yogyakarta,2017,Reguler,-,SMAN 1 Pakem Kab. Sleman,-,Rata - Rata,350.85
Yogyakarta,2017,Reguler,-,SMAN 1 Ngemplak Kab. Sleman,-,Terendah,273.00
Yogyakarta,2017,Reguler,-,SMAN 1 Ngemplak Kab. Sleman,-,Tertinggi,353.00
Yogyakarta,2017,Reguler,-,SMAN 1 Ngemplak Kab. Sleman,-,Rata - Rata,307.06
Yogyakarta,2017,Reguler,-,SMAN 1 Mlati Kab. Sleman,-,Terendah,328.00
Yogyakarta,2017,Reguler,-,SMAN 1 Mlati Kab. Sleman,-,Tertinggi,383.00
Yogyakarta,2017,Reguler,-,SMAN 1 Mlati Kab. Sleman,-,Rata - Rata,341.79
Yogyakarta,2017,Reguler,-,SMAN 1 Minggir Sleman,-,Terendah,223.50
Yogyakarta,2017,Reguler,-,SMAN 1 Minggir Sleman,-,Tertinggi,349.00
Yogyakarta,2017,Reguler,-,SMAN 1 Minggir Sleman,-,Rata - Rata,259.98
Yogyakarta,2017,Reguler,-,SMAN 2 Ngaglik Kab. Sleman,-,Terendah,320.00
Yogyakarta,2017,Reguler,-,SMAN 2 Ngaglik Kab. Sleman,-,Tertinggi,375.00
Yogyakarta,2017,Reguler,-,SMAN 2 Ngaglik Kab. Sleman,-,Rata - Rata,335.86
Yogyakarta,2017,Reguler,-,SMAN 2 Sleman,-,Terendah,300.00
Yogyakarta,2017,Reguler,-,SMAN 2 Sleman,-,Tertinggi,366.50
Yogyakarta,2017,Reguler,-,SMAN 2 Sleman,-,Rata - Rata,323.21
Yogyakarta,2017,Reguler,-,SMAN 1 Kalasan Kab. Sleman,-,Terendah,341.50
Yogyakarta,2017,Reguler,-,SMAN 1 Kalasan Kab. Sleman,-,Tertinggi,400.00
Yogyakarta,2017,Reguler,-,SMAN 1 Kalasan Kab. Sleman,-,Rata - Rata,361.37
Yogyakarta,2017,Reguler,-,SMAN 1 Godean Kab. Sleman,-,Terendah,339.50
Yogyakarta,2017,Reguler,-,SMAN 1 Godean Kab. Sleman,-,Tertinggi,388.50
Yogyakarta,2017,Reguler,-,SMAN 1 Godean Kab. Sleman,-,Rata - Rata,365.37
Yogyakarta,2017,Reguler,-,SMAN 1 Gamping Kab Sleman,-,Terendah,297.50
Yogyakarta,2017,Reguler,-,SMAN 1 Gamping Kab Sleman,-,Tertinggi,369.50
Yogyakarta,2017,Reguler,-,SMAN 1 Gamping Kab Sleman,-,Rata - Rata,314.28
Yogyakarta,2017,Reguler,-,SMAN 1 Cangkringan Kab Sleman,-,Terendah,251.50
Yogyakarta,2017,Reguler,-,SMAN 1 Cangkringan Kab Sleman,-,Tertinggi,358.50
Yogyakarta,2017,Reguler,-,SMAN 1 Cangkringan Kab Sleman,-,Rata - Rata,283.81
